Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"What is the value of this resistance?";"images/electric-resistencia-1_0.png";"320";"1.0Ω";"10Ω";"1.0kΩ";"101Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-1_2.png";"320";"1.2Ω";"12Ω";"1.2kΩ";"121Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-1_5.png";"320";"1.5Ω";"15Ω";"1.5kΩ";"151Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-1_8.png";"320";"1.8Ω";"18Ω";"1.8kΩ";"181Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-2_2.png";"320";"2.2Ω";"22Ω";"2.2kΩ";"221Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-2_7.png";"320";"2.7Ω";"27Ω";"2.7kΩ";"271Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-3_3.png";"320";"3.3Ω";"33Ω";"3.3kΩ";"331Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-3_9.png";"320";"3.9Ω";"39Ω";"3.9kΩ";"391Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-4_7.png";"320";"4.7Ω";"47Ω";"4.7kΩ";"471Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-5_6.png";"320";"5.6Ω";"56Ω";"5.6kΩ";"561Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-6_8.png";"320";"6.8Ω";"68Ω";"6.8kΩ";"681Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-8_2.png";"320";"8.2Ω";"82Ω";"8.2kΩ";"821Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-10.png";"320";"10Ω";"1.0Ω";"10kΩ";"100Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-12.png";"320";"12Ω";"1.2Ω";"12kΩ";"120Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-15.png";"320";"15Ω";"1.5Ω";"15kΩ";"150Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-18.png";"320";"18Ω";"1.8Ω";"18kΩ";"180Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-22.png";"320";"22Ω";"2.2Ω";"22kΩ";"220Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-27.png";"320";"27Ω";"2.7Ω";"27kΩ";"270Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-33.png";"320";"33Ω";"3.3Ω";"33kΩ";"330Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-39.png";"320";"39Ω";"3.9Ω";"39kΩ";"390Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-47.png";"320";"47Ω";"4.7Ω";"47kΩ";"470Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-56.png";"320";"56Ω";"5.6Ω";"56kΩ";"560Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-68.png";"320";"68Ω";"6.8Ω";"68kΩ";"680Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-82.png";"320";"82Ω";"8.2Ω";"82kΩ";"820Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-100.png";"320";"100Ω";"10Ω";"10kΩ";"101Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-120.png";"320";"120Ω";"12Ω";"12kΩ";"121Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-150.png";"320";"150Ω";"15Ω";"15kΩ";"151Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-180.png";"320";"180Ω";"18Ω";"18kΩ";"181Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-220.png";"320";"220Ω";"22Ω";"22kΩ";"221Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-270.png";"320";"270Ω";"27Ω";"27kΩ";"271Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-330.png";"320";"330Ω";"33Ω";"33kΩ";"331Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-390.png";"320";"390Ω";"39Ω";"39kΩ";"391Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-470.png";"320";"470Ω";"47Ω";"47kΩ";"471Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-560.png";"320";"560Ω";"56Ω";"56kΩ";"561Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-680.png";"320";"680Ω";"68Ω";"68kΩ";"681Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-820.png";"320";"820Ω";"82Ω";"82kΩ";"821Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-1000.png";"320";"1.0kΩ";"10Ω";"10kΩ";"102Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-1200.png";"320";"1.2kΩ";"12Ω";"12kΩ";"122Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-1500.png";"320";"1.5kΩ";"15Ω";"15kΩ";"152Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-1800.png";"320";"1.8kΩ";"18Ω";"18kΩ";"182Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-2200.png";"320";"2.2kΩ";"22Ω";"22kΩ";"222Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-2700.png";"320";"2.7kΩ";"27Ω";"27kΩ";"272Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-3300.png";"320";"3.3kΩ";"33Ω";"33kΩ";"332Ω";"";"";"en_electric_color_code_1"
"What is the value of this resistance?";"images/electric-resistencia-3900.png";"320";"3.9kΩ";"39Ω";"39kΩ";"392Ω";"";"";"en_electric_color_code_1"
