Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Qué colores tendrá una resistencia de 1.0Ω?";"";"";"Marrón, Negro, Oro, Oro";"Marrón, Negro, Negro, Oro";"Marrón, Negro, Marrón, Oro";"Marrón, Negro, Rojo, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 1.2Ω?";"";"";"Marrón, Rojo, Oro, Oro";"Marrón, Rojo, Negro, Oro";"Marrón, Rojo, Marrón, Oro";"Marrón, Rojo, Rojo, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 1.5Ω?";"";"";"Marrón, Verde, Oro, Oro";"Marrón, Verde, Negro, Oro";"Marrón, Verde, Marrón, Oro";"Marrón, Verde, Rojo, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 1.8Ω?";"";"";"Marrón, Gris, Oro, Oro";"Marrón, Gris, Negro, Oro";"Marrón, Gris, Marrón, Oro";"Marrón, Gris, Rojo, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 2.2Ω?";"";"";"Rojo, Rojo, Oro, Oro";"Rojo, Rojo, Negro, Oro";"Rojo, Rojo, Marrón, Oro";"Rojo, Rojo, Rojo, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 2.7Ω?";"";"";"Rojo, Violeta, Oro, Oro";"Rojo, Violeta, Negro, Oro";"Rojo, Violeta, Marrón, Oro";"Rojo, Violeta, Rojo, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 3.3Ω?";"";"";"Naranja, Naranja, Oro, Oro";"Naranja, Naranja, Negro, Oro";"Naranja, Naranja, Marrón, Oro";"Naranja, Naranja, Rojo, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 3.9Ω?";"";"";"Naranja, Blanco, Oro, Oro";"Naranja, Blanco, Negro, Oro";"Naranja, Blanco, Marrón, Oro";"Naranja, Blanco, Rojo, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 4.7Ω?";"";"";"Amarillo, Violeta, Oro, Oro";"Amarillo, Violeta, Negro, Oro";"Amarillo, Violeta, Marrón, Oro";"Amarillo, Violeta, Rojo, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 5.6Ω?";"";"";"Verde, Azul, Oro, Oro";"Verde, Azul, Negro, Oro";"Verde, Azul, Marrón, Oro";"Verde, Azul, Rojo, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 6.8Ω?";"";"";"Azul, Gris, Oro, Oro";"Azul, Gris, Negro, Oro";"Azul, Gris, Marrón, Oro";"Azul, Gris, Rojo, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 8.2Ω?";"";"";"Gris, Rojo, Oro, Oro";"Gris, Rojo, Negro, Oro";"Gris, Rojo, Marrón, Oro";"Gris, Rojo, Rojo, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 10Ω?";"";"";"Marrón, Negro, Negro, Oro";"Marrón, Negro, Oro, Oro";"Marrón, Negro, Marrón, Oro";"Marrón, Negro, Rojo, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 12Ω?";"";"";"Marrón, Rojo, Negro, Oro";"Marrón, Rojo, Oro, Oro";"Marrón, Rojo, Marrón, Oro";"Marrón, Rojo, Rojo, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 15Ω?";"";"";"Marrón, Verde, Negro, Oro";"Marrón, Verde, Oro, Oro";"Marrón, Verde, Marrón, Oro";"Marrón, Verde, Rojo, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 18Ω?";"";"";"Marrón, Gris, Negro, Oro";"Marrón, Gris, Oro, Oro";"Marrón, Gris, Marrón, Oro";"Marrón, Gris, Rojo, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 22Ω?";"";"";"Rojo, Rojo, Negro, Oro";"Rojo, Rojo, Oro, Oro";"Rojo, Rojo, Marrón, Oro";"Rojo, Rojo, Rojo, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 27Ω?";"";"";"Rojo, Violeta, Negro, Oro";"Rojo, Violeta, Oro, Oro";"Rojo, Violeta, Marrón, Oro";"Rojo, Violeta, Rojo, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 33Ω?";"";"";"Naranja, Naranja, Negro, Oro";"Naranja, Naranja, Oro, Oro";"Naranja, Naranja, Marrón, Oro";"Naranja, Naranja, Rojo, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 39Ω?";"";"";"Naranja, Blanco, Negro, Oro";"Naranja, Blanco, Oro, Oro";"Naranja, Blanco, Marrón, Oro";"Naranja, Blanco, Rojo, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 47Ω?";"";"";"Amarillo, Violeta, Negro, Oro";"Amarillo, Violeta, Oro, Oro";"Amarillo, Violeta, Marrón, Oro";"Amarillo, Violeta, Rojo, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 56Ω?";"";"";"Verde, Azul, Negro, Oro";"Verde, Azul, Oro, Oro";"Verde, Azul, Marrón, Oro";"Verde, Azul, Rojo, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 68Ω?";"";"";"Azul, Gris, Negro, Oro";"Azul, Gris, Oro, Oro";"Azul, Gris, Marrón, Oro";"Azul, Gris, Rojo, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 82Ω?";"";"";"Gris, Rojo, Negro, Oro";"Gris, Rojo, Oro, Oro";"Gris, Rojo, Marrón, Oro";"Gris, Rojo, Rojo, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 100Ω?";"";"";"Marrón, Negro, Marrón, Oro";"Marrón, Negro, Negro, Oro";"Marrón, Negro, Naranja, Oro";"Marrón, Negro, Amarillo, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 120Ω?";"";"";"Marrón, Rojo, Marrón, Oro";"Marrón, Rojo, Negro, Oro";"Marrón, Rojo, Naranja, Oro";"Marrón, Rojo, Amarillo, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 150Ω?";"";"";"Marrón, Verde, Marrón, Oro";"Marrón, Verde, Negro, Oro";"Marrón, Verde, Naranja, Oro";"Marrón, Verde, Amarillo, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 180Ω?";"";"";"Marrón, Gris, Marrón, Oro";"Marrón, Gris, Negro, Oro";"Marrón, Gris, Naranja, Oro";"Marrón, Gris, Amarillo, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 220Ω?";"";"";"Rojo, Rojo, Marrón, Oro";"Rojo, Rojo, Negro, Oro";"Rojo, Rojo, Naranja, Oro";"Rojo, Rojo, Amarillo, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 270Ω?";"";"";"Rojo, Violeta, Marrón, Oro";"Rojo, Violeta, Negro, Oro";"Rojo, Violeta, Naranja, Oro";"Rojo, Violeta, Amarillo, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 330Ω?";"";"";"Naranja, Naranja, Marrón, Oro";"Naranja, Naranja, Negro, Oro";"Naranja, Naranja, Naranja, Oro";"Naranja, Naranja, Amarillo, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 390Ω?";"";"";"Naranja, Blanco, Marrón, Oro";"Naranja, Blanco, Negro, Oro";"Naranja, Blanco, Naranja, Oro";"Naranja, Blanco, Amarillo, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 470Ω?";"";"";"Amarillo, Violeta, Marrón, Oro";"Amarillo, Violeta, Negro, Oro";"Amarillo, Violeta, Naranja, Oro";"Amarillo, Violeta, Amarillo, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 560Ω?";"";"";"Verde, Azul, Marrón, Oro";"Verde, Azul, Negro, Oro";"Verde, Azul, Naranja, Oro";"Verde, Azul, Amarillo, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 680Ω?";"";"";"Azul, Gris, Marrón, Oro";"Azul, Gris, Negro, Oro";"Azul, Gris, Naranja, Oro";"Azul, Gris, Amarillo, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 820Ω?";"";"";"Gris, Rojo, Marrón, Oro";"Gris, Rojo, Negro, Oro";"Gris, Rojo, Naranja, Oro";"Gris, Rojo, Amarillo, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 1.0kΩ?";"";"";"Marrón, Negro, Rojo, Oro";"Marrón, Negro, Negro, Oro";"Marrón, Negro, Amarillo, Oro";"Marrón, Negro, Verde, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 1.2kΩ?";"";"";"Marrón, Rojo, Rojo, Oro";"Marrón, Rojo, Negro, Oro";"Marrón, Rojo, Amarillo, Oro";"Marrón, Rojo, Verde, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 1.5kΩ?";"";"";"Marrón, Verde, Rojo, Oro";"Marrón, Verde, Negro, Oro";"Marrón, Verde, Amarillo, Oro";"Marrón, Verde, Verde, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 1.8kΩ?";"";"";"Marrón, Gris, Rojo, Oro";"Marrón, Gris, Negro, Oro";"Marrón, Gris, Amarillo, Oro";"Marrón, Gris, Verde, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 2.2kΩ?";"";"";"Rojo, Rojo, Rojo, Oro";"Rojo, Rojo, Negro, Oro";"Rojo, Rojo, Amarillo, Oro";"Rojo, Rojo, Verde, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 2.7kΩ?";"";"";"Rojo, Violeta, Rojo, Oro";"Rojo, Violeta, Negro, Oro";"Rojo, Violeta, Amarillo, Oro";"Rojo, Violeta, Verde, Oro";"";"";"es_electric_color_code_2"
"¿Qué colores tendrá una resistencia de 3.3kΩ?";"";"";"Naranja, Naranja, Rojo, Oro";"Naranja, Naranja, Negro, Oro";"Naranja, Naranja, Amarillo, Oro";"Naranja, Naranja, Verde, Oro";"";"";"es_electric_color_code_2"
