Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"Cal será o valor da resistencia da figura?";"images/electric-1kOhm.png";"409";"1 KΩ";"10 KΩ";"10000 Ω";"100 Ω";"";"";"gal_electric_color_code_1"
"Cal será o valor da resistencia da figura?";"images/electric-1MOhm.png";"409";"1 MΩ";"100KΩ";"10000000 Ω";"10 MΩ";"";"";"gal_electric_color_code_1"
"Cal será o valor da resistencia da figura?";"images/electric-2k2Ohm.png";"409";"2200 Ω";"220 Ω";"22 KΩ";"222 Ω";"";"";"gal_electric_color_code_1"
"Cal será o valor da resistencia da figura?";"images/electric-2K7Ohm.png";"346";"2,7 KΩ";"272 Ω";"27000 Ω";"270 Ω";"";"";"gal_electric_color_code_1"
"Cal será o valor da resistencia da figura?";"images/electric-3Ohm.png";"409";"3 Ω";"30 Ω";"0,3 Ω";"3 KΩ";"";"";"gal_electric_color_code_1"
"Cal será o valor da resistencia da figura?";"images/electric-10KOhm.png";"409";"10 KΩ";"1 KΩ";"100 KΩ";"103 Ω";"";"";"gal_electric_color_code_1"
"Cal será o valor da resistencia da figura?";"images/electric-15KOhm.png";"409";"15000 Ω";"1,5 KΩ";"1500 Ω";"150 Ω";"";"";"gal_electric_color_code_1"
"Cal será o valor da resistencia da figura?";"images/electric-33Ohm.png";"409";"33 Ω";"3,3 Ω";"0,33 Ω";"330 Ω";"";"";"gal_electric_color_code_1"
"Cal será o valor da resistencia da figura?";"images/electric-82MOhm.png";"346";"82000000 Ω";"8200000Ω";"820000000 Ω";"820 MΩ";"";"";"gal_electric_color_code_1"
"Cal será o valor da resistencia da figura?";"images/electric-100Ohm.png";"346";"100 Ω";"101 Ω";"10 Ω";"1000 Ω";"";"";"gal_electric_color_code_1"
"Cal será o valor da resistencia da figura?";"images/electric-220Ohm.png";"346";"220 Ω";"22 Ω";"222 Ω";"2,2KΩ";"";"";"gal_electric_color_code_1"
