Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"Cantos ohmnios son 13 KΩ?";"";"";"13000Ω";"1300Ω";"130Ω";"13Ω";"";"";"gal_electric_units_magnitudes"
"Cantos ohmnios son 2,2 KΩ?";"";"";"2200Ω";"22000Ω";"22,0000Ω";"220Ω";"";"";"gal_electric_units_magnitudes"
"Cantos ohmnios son 47 KΩ?";"";"";"47000Ω";"4700Ω";"470Ω";"4,7Ω";"";"";"gal_electric_units_magnitudes"
"Cantos ohmnios son 0,33KΩ?";"";"";"330Ω";"3300Ω";"33000Ω";"33Ω";"";"";"gal_electric_units_magnitudes"
"Cantos KΩ son 4700Ω?";"";"";"4,7KΩ";"47KΩ";"470KΩ";"0,47KΩ";"";"";"gal_electric_units_magnitudes"
"Cantos KΩ son 100000Ω?";"";"";"100KΩ";"10KΩ";"1000KΩ";"1KΩ";"";"";"gal_electric_units_magnitudes"
"Cantos KΩ son 680Ω?";"";"";"0,68KΩ";"6,8KΩ";"0,068KΩ";"0,0068KΩ";"";"";"gal_electric_units_magnitudes"
"Cantos microfaradios terá un Faradio?";"";"";"1000000";"10000000";"1000";"0,000001";"";"";"gal_electric_units_magnitudes"
"Cantos faradios é un microfaradio?";"";"";"0,000001";"0,0000001";"1000000";"0,001";"";"";"gal_electric_units_magnitudes"
"Cantos  µF son 0,01 F?";"";"";"10000";"1000";"100000";"1000000";"";"";"gal_electric_units_magnitudes"
"Cantos F son 220 µF?";"";"";"0,00022";"0,0022";"0,022";"0,22";"";"";"gal_electric_units_magnitudes"
