Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"How is the following circuit connected?";"../images/electric-serie-paralelo-c01.png";"240";"In series";"In parallel";"Short circuit in the battery";"Short circuit in the light bulb";"";"";"en_electric_series_parallel_identify"
"How is the following circuit connected?";"../images/electric-serie-paralelo-c02.png";"240";"In parallel";"In series";"Short circuit in the battery";"Short circuit in the light bulb";"";"";"en_electric_series_parallel_identify"
"How is the following circuit connected?";"../images/electric-serie-paralelo-c03.png";"240";"Short circuit in the battery";"In parallel";"In series";"Short circuit in the light bulb";"";"";"en_electric_series_parallel_identify"
"How is the following circuit connected?";"../images/electric-serie-paralelo-c04.png";"240";"In parallel";"In series";"Short circuit in the battery";"Short circuit in the light bulb";"";"";"en_electric_series_parallel_identify"
"How is the following circuit connected?";"../images/electric-serie-paralelo-c05.png";"240";"In parallel";"In series";"Short circuit in the battery";"Short circuit in the light bulb";"";"";"en_electric_series_parallel_identify"
"How is the following circuit connected?";"../images/electric-serie-paralelo-c06.png";"240";"Short circuit in the battery";"In parallel";"In series";"Short circuit in the light bulb";"";"";"en_electric_series_parallel_identify"
"How is the following circuit connected?";"../images/electric-serie-paralelo-c07.png";"240";"In series";"In parallel";"Short circuit in the battery";"Short circuit in the light bulb";"";"";"en_electric_series_parallel_identify"
"How is the following circuit connected?";"../images/electric-serie-paralelo-c08.png";"240";"In parallel";"In series";"Short circuit in the battery";"Short circuit in the light bulb";"";"";"en_electric_series_parallel_identify"
"How is the following circuit connected?";"../images/electric-serie-paralelo-c09.png";"240";"In parallel";"In series";"Short circuit in the battery";"Short circuit in the light bulb";"";"";"en_electric_series_parallel_identify"
"How is the following circuit connected?";"../images/electric-serie-paralelo-c10.png";"240";"In series";"In parallel";"Short circuit in the battery";"Short circuit in the light bulb";"";"";"en_electric_series_parallel_identify"
"How is the following circuit connected?";"../images/electric-serie-paralelo-c11.png";"240";"In parallel";"Short circuit in the battery";"In series";"Short circuit in the light bulb";"";"";"en_electric_series_parallel_identify"
"How is the following circuit connected?";"../images/electric-serie-paralelo-c12.png";"240";"Short circuit in the battery";"In parallel";"In series";"Short circuit in the light bulb";"";"";"en_electric_series_parallel_identify"
"How is the following circuit connected?";"../images/electric-serie-paralelo-c13.png";"240";"In parallel";"In series";"Short circuit in the battery";"Short circuit in the light bulb";"";"";"en_electric_series_parallel_identify"
"How is the following circuit connected?";"../images/electric-serie-paralelo-c14.png";"240";"In parallel";"In series";"Short circuit in the battery";"Short circuit in the light bulb";"";"";"en_electric_series_parallel_identify"
"How is the following circuit connected?";"../images/electric-serie-paralelo-c15.png";"240";"Short circuit in the light bulb";"In parallel";"In series";"Short circuit in the battery";"";"";"en_electric_series_parallel_identify"
"How is the following circuit connected?";"../images/electric-serie-paralelo-c16.png";"240";"In series";"In parallel";"Short circuit in the battery";"Short circuit in the light bulb";"";"";"en_electric_series_parallel_identify"
"How is the following circuit connected?";"../images/electric-serie-paralelo-c17.png";"240";"Short circuit in the battery";"In parallel";"In series";"Short circuit in the light bulb";"";"";"en_electric_series_parallel_identify"
"How is the following circuit connected?";"../images/electric-serie-paralelo-c18.png";"240";"In parallel";"In series";"Short circuit in the battery";"Short circuit in the light bulb";"";"";"en_electric_series_parallel_identify"
"How is the following circuit connected?";"../images/electric-serie-paralelo-c19.png";"240";"In series";"In parallel";"Short circuit in the battery";"Short circuit in the light bulb";"";"";"en_electric_series_parallel_identify"
"How is the following circuit connected?";"../images/electric-serie-paralelo-c20.png";"240";"Short circuit in the light bulb";"In parallel";"In series";"Short circuit in the battery";"";"";"en_electric_series_parallel_identify"
"How is the following circuit connected?";"../images/electric-serie-paralelo-c21.png";"240";"In parallel";"In series";"Short circuit in the battery";"Short circuit in the light bulb";"";"";"en_electric_series_parallel_identify"
"How is the following circuit connected?";"../images/electric-serie-paralelo-c22.png";"240";"Short circuit in the battery";"In parallel";"In series";"Short circuit in the light bulb";"";"";"en_electric_series_parallel_identify"
"How is the following circuit connected?";"../images/electric-serie-paralelo-c23.png";"240";"In parallel";"In series";"Short circuit in the battery";"Short circuit in the light bulb";"";"";"en_electric_series_parallel_identify"
"How is the following circuit connected?";"../images/electric-serie-paralelo-c24.png";"240";"In parallel";"In series";"Short circuit in the battery";"Short circuit in the light bulb";"";"";"en_electric_series_parallel_identify"
"How is the following circuit connected?";"../images/electric-serie-paralelo-c25.png";"240";"Short circuit in the battery";"In parallel";"In series";"Short circuit in the light bulb";"";"";"en_electric_series_parallel_identify"
"How is the following circuit connected?";"../images/electric-serie-paralelo-c26.png";"240";"Short circuit in the light bulb";"Short circuit in the battery";"In parallel";"In series";"";"";"en_electric_series_parallel_identify"
"How is the following circuit connected?";"../images/electric-serie-paralelo-c27.png";"240";"Short circuit in the light bulb";"In parallel";"In series";"Short circuit in the battery";"";"";"en_electric_series_parallel_identify"
"How is the following circuit connected?";"../images/electric-serie-paralelo-c28.png";"240";"In parallel";"In series";"Short circuit in the battery";"Short circuit in the light bulb";"";"";"en_electric_series_parallel_identify"
"How is the following circuit connected?";"../images/electric-serie-paralelo-c29.png";"240";"In parallel";"Short circuit in the battery";"In series";"Short circuit in the light bulb";"";"";"en_electric_series_parallel_identify"
"How is the following circuit connected?";"../images/electric-serie-paralelo-c30.png";"240";"Short circuit in the battery";"In parallel";"In series";"Short circuit in the light bulb";"";"";"en_electric_series_parallel_identify"
"How is the following circuit connected?";"../images/electric-serie-paralelo-c31.png";"240";"In series";"In parallel";"Short circuit in the battery";"Short circuit in the light bulb";"";"";"en_electric_series_parallel_identify"
"How is the following circuit connected?";"../images/electric-serie-paralelo-c32.png";"240";"In parallel";"In series";"Short circuit in the battery";"Short circuit in the light bulb";"";"";"en_electric_series_parallel_identify"
"How is the following circuit connected?";"../images/electric-serie-paralelo-c33.png";"240";"In parallel";"In series";"Short circuit in the battery";"Short circuit in the light bulb";"";"";"en_electric_series_parallel_identify"
"How is the following circuit connected?";"../images/electric-serie-paralelo-c34.png";"240";"In parallel";"In series";"Short circuit in the battery";"Short circuit in the light bulb";"";"";"en_electric_series_parallel_identify"
"How is the following circuit connected?";"../images/electric-serie-paralelo-c35.png";"240";"In parallel";"In series";"Short circuit in the battery";"Short circuit in the light bulb";"";"";"en_electric_series_parallel_identify"
"How is the following circuit connected?";"../images/electric-serie-paralelo-c36.png";"240";"In parallel";"In series";"Short circuit in the battery";"Short circuit in the light bulb";"";"";"en_electric_series_parallel_identify"
"How is the following circuit connected?";"../images/electric-serie-paralelo-c37.png";"240";"Short circuit in the battery";"In parallel";"In series";"Short circuit in the light bulb";"";"";"en_electric_series_parallel_identify"
"How is the following circuit connected?";"../images/electric-serie-paralelo-c38.png";"240";"Short circuit in the battery";"In parallel";"In series";"Short circuit in the light bulb";"";"";"en_electric_series_parallel_identify"
"How is the following circuit connected?";"../images/electric-serie-paralelo-c39.png";"240";"In parallel";"In series";"Short circuit in the battery";"Short circuit in the light bulb";"";"";"en_electric_series_parallel_identify"
"How is the following circuit connected?";"../images/electric-serie-paralelo-c40.png";"240";"Short circuit in the battery";"In parallel";"In series";"Short circuit in the light bulb";"";"";"en_electric_series_parallel_identify"
