Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Qué valor tiene esta resistencia?";"../images/electric-resistencia-1_0.png";"320";"1.0Ω";"10Ω";"1.0kΩ";"101Ω";"";"";"es-electric-color-code-1"
"¿Qué valor tiene esta resistencia?";"../images/electric-resistencia-1_2.png";"320";"1.2Ω";"12Ω";"1.2kΩ";"121Ω";"";"";"es-electric-color-code-1"
"¿Qué valor tiene esta resistencia?";"../images/electric-resistencia-1_5.png";"320";"1.5Ω";"15Ω";"1.5kΩ";"151Ω";"";"";"es-electric-color-code-1"
"¿Qué valor tiene esta resistencia?";"../images/electric-resistencia-1_8.png";"320";"1.8Ω";"18Ω";"1.8kΩ";"181Ω";"";"";"es-electric-color-code-1"
"¿Qué valor tiene esta resistencia?";"../images/electric-resistencia-2_2.png";"320";"2.2Ω";"22Ω";"2.2kΩ";"221Ω";"";"";"es-electric-color-code-1"
"¿Qué valor tiene esta resistencia?";"../images/electric-resistencia-2_7.png";"320";"2.7Ω";"27Ω";"2.7kΩ";"271Ω";"";"";"es-electric-color-code-1"
"¿Qué valor tiene esta resistencia?";"../images/electric-resistencia-3_3.png";"320";"3.3Ω";"33Ω";"3.3kΩ";"331Ω";"";"";"es-electric-color-code-1"
"¿Qué valor tiene esta resistencia?";"../images/electric-resistencia-3_9.png";"320";"3.9Ω";"39Ω";"3.9kΩ";"391Ω";"";"";"es-electric-color-code-1"
"¿Qué valor tiene esta resistencia?";"../images/electric-resistencia-4_7.png";"320";"4.7Ω";"47Ω";"4.7kΩ";"471Ω";"";"";"es-electric-color-code-1"
"¿Qué valor tiene esta resistencia?";"../images/electric-resistencia-5_6.png";"320";"5.6Ω";"56Ω";"5.6kΩ";"561Ω";"";"";"es-electric-color-code-1"
"¿Qué valor tiene esta resistencia?";"../images/electric-resistencia-6_8.png";"320";"6.8Ω";"68Ω";"6.8kΩ";"681Ω";"";"";"es-electric-color-code-1"
"¿Qué valor tiene esta resistencia?";"../images/electric-resistencia-8_2.png";"320";"8.2Ω";"82Ω";"8.2kΩ";"821Ω";"";"";"es-electric-color-code-1"
"¿Qué valor tiene esta resistencia?";"../images/electric-resistencia-10.png";"320";"10Ω";"1.0Ω";"10kΩ";"100Ω";"";"";"es-electric-color-code-1"
"¿Qué valor tiene esta resistencia?";"../images/electric-resistencia-12.png";"320";"12Ω";"1.2Ω";"12kΩ";"120Ω";"";"";"es-electric-color-code-1"
"¿Qué valor tiene esta resistencia?";"../images/electric-resistencia-15.png";"320";"15Ω";"1.5Ω";"15kΩ";"150Ω";"";"";"es-electric-color-code-1"
"¿Qué valor tiene esta resistencia?";"../images/electric-resistencia-18.png";"320";"18Ω";"1.8Ω";"18kΩ";"180Ω";"";"";"es-electric-color-code-1"
"¿Qué valor tiene esta resistencia?";"../images/electric-resistencia-22.png";"320";"22Ω";"2.2Ω";"22kΩ";"220Ω";"";"";"es-electric-color-code-1"
"¿Qué valor tiene esta resistencia?";"../images/electric-resistencia-27.png";"320";"27Ω";"2.7Ω";"27kΩ";"270Ω";"";"";"es-electric-color-code-1"
"¿Qué valor tiene esta resistencia?";"../images/electric-resistencia-33.png";"320";"33Ω";"3.3Ω";"33kΩ";"330Ω";"";"";"es-electric-color-code-1"
"¿Qué valor tiene esta resistencia?";"../images/electric-resistencia-39.png";"320";"39Ω";"3.9Ω";"39kΩ";"390Ω";"";"";"es-electric-color-code-1"
"¿Qué valor tiene esta resistencia?";"../images/electric-resistencia-47.png";"320";"47Ω";"4.7Ω";"47kΩ";"470Ω";"";"";"es-electric-color-code-1"
"¿Qué valor tiene esta resistencia?";"../images/electric-resistencia-56.png";"320";"56Ω";"5.6Ω";"56kΩ";"560Ω";"";"";"es-electric-color-code-1"
"¿Qué valor tiene esta resistencia?";"../images/electric-resistencia-68.png";"320";"68Ω";"6.8Ω";"68kΩ";"680Ω";"";"";"es-electric-color-code-1"
"¿Qué valor tiene esta resistencia?";"../images/electric-resistencia-82.png";"320";"82Ω";"8.2Ω";"82kΩ";"820Ω";"";"";"es-electric-color-code-1"
"¿Qué valor tiene esta resistencia?";"../images/electric-resistencia-100.png";"320";"100Ω";"10Ω";"10kΩ";"101Ω";"";"";"es-electric-color-code-1"
