Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"Calcula la resistencia equivalente del siguiente circuito";"../images/electric-resistencias-serie-paralelo-21.png";"480";"2Ω";"Ω";"Ω";"Ω";"";"";"es-electric-series-parallel-calc-2"
"Calcula la resistencia equivalente del siguiente circuito";"../images/electric-resistencias-serie-paralelo-22.png";"480";"3Ω";"Ω";"Ω";"Ω";"";"";"es-electric-series-parallel-calc-2"
"Calcula la resistencia equivalente del siguiente circuito";"../images/electric-resistencias-serie-paralelo-23.png";"480";"15Ω";"Ω";"Ω";"Ω";"";"";"es-electric-series-parallel-calc-2"
"Calcula la resistencia equivalente del siguiente circuito";"../images/electric-resistencias-serie-paralelo-24.png";"480";"200Ω";"Ω";"Ω";"Ω";"";"";"es-electric-series-parallel-calc-2"
"Calcula la resistencia equivalente del siguiente circuito";"../images/electric-resistencias-serie-paralelo-25.png";"480";"300Ω";"Ω";"Ω";"Ω";"";"";"es-electric-series-parallel-calc-2"
"Calcula la resistencia equivalente del siguiente circuito";"../images/electric-resistencias-serie-paralelo-26.png";"480";"1500Ω";"Ω";"Ω";"Ω";"";"";"es-electric-series-parallel-calc-2"
"Calcula la resistencia equivalente del siguiente circuito";"../images/electric-resistencias-serie-paralelo-27.png";"480";"1Ω";"Ω";"Ω";"Ω";"";"";"es-electric-series-parallel-calc-2"
"Calcula la resistencia equivalente del siguiente circuito";"../images/electric-resistencias-serie-paralelo-28.png";"480";"2Ω";"Ω";"Ω";"Ω";"";"";"es-electric-series-parallel-calc-2"
"Calcula la resistencia equivalente del siguiente circuito";"../images/electric-resistencias-serie-paralelo-29.png";"480";"4Ω";"Ω";"Ω";"Ω";"";"";"es-electric-series-parallel-calc-2"
"Calcula la resistencia equivalente del siguiente circuito";"../images/electric-resistencias-serie-paralelo-30.png";"480";"50Ω";"Ω";"Ω";"Ω";"";"";"es-electric-series-parallel-calc-2"
"Calcula la resistencia equivalente del siguiente circuito";"../images/electric-resistencias-serie-paralelo-31.png";"480";"60Ω";"Ω";"Ω";"Ω";"";"";"es-electric-series-parallel-calc-2"
"Calcula la resistencia equivalente del siguiente circuito";"../images/electric-resistencias-serie-paralelo-32.png";"480";"200Ω";"Ω";"Ω";"Ω";"";"";"es-electric-series-parallel-calc-2"
"Calcula la resistencia equivalente del siguiente circuito";"../images/electric-resistencias-serie-paralelo-33.png";"480";"6Ω";"19Ω";"5Ω";"7Ω";"";"";"es-electric-series-parallel-calc-2"
"Calcula la resistencia equivalente del siguiente circuito";"../images/electric-resistencias-serie-paralelo-34.png";"480";"Ω";"Ω";"Ω";"Ω";"";"";"es-electric-series-parallel-calc-2"
"Calcula la resistencia equivalente del siguiente circuito";"../images/electric-resistencias-serie-paralelo-35.png";"480";"Ω";"Ω";"Ω";"Ω";"";"";"es-electric-series-parallel-calc-2"
"Calcula la resistencia equivalente del siguiente circuito";"../images/electric-resistencias-serie-paralelo-41.png";"480";"Ω";"Ω";"Ω";"Ω";"";"";"es-electric-series-parallel-calc-2"
"Calcula la resistencia equivalente del siguiente circuito";"../images/electric-resistencias-serie-paralelo-42.png";"480";"Ω";"Ω";"Ω";"Ω";"";"";"es-electric-series-parallel-calc-2"
"Calcula la resistencia equivalente del siguiente circuito";"../images/electric-resistencias-serie-paralelo-43.png";"480";"Ω";"Ω";"Ω";"Ω";"";"";"es-electric-series-parallel-calc-2"
"Calcula la resistencia equivalente del siguiente circuito";"../images/electric-resistencias-serie-paralelo-44.png";"480";"Ω";"Ω";"Ω";"Ω";"";"";"es-electric-series-parallel-calc-2"
"Calcula la resistencia equivalente del siguiente circuito";"../images/electric-resistencias-serie-paralelo-45.png";"480";"Ω";"Ω";"Ω";"Ω";"";"";"es-electric-series-parallel-calc-2"
"Calcula la resistencia equivalente del siguiente circuito";"../images/electric-resistencias-serie-paralelo-46.png";"480";"Ω";"Ω";"Ω";"Ω";"";"";"es-electric-series-parallel-calc-2"
"Calcula la resistencia equivalente del siguiente circuito";"../images/electric-resistencias-serie-paralelo-47.png";"480";"Ω";"Ω";"Ω";"Ω";"";"";"es-electric-series-parallel-calc-2"
"Calcula la resistencia equivalente del siguiente circuito";"../images/electric-resistencias-serie-paralelo-48.png";"480";"Ω";"Ω";"Ω";"Ω";"";"";"es-electric-series-parallel-calc-2"
"Calcula la resistencia equivalente del siguiente circuito";"../images/electric-resistencias-serie-paralelo-49.png";"480";"Ω";"Ω";"Ω";"Ω";"";"";"es-electric-series-parallel-calc-2"
"Calcula la resistencia equivalente del siguiente circuito";"../images/electric-resistencias-serie-paralelo-50.png";"480";"Ω";"Ω";"Ω";"Ω";"";"";"es-electric-series-parallel-calc-2"
"Calcula la resistencia equivalente del siguiente circuito";"../images/electric-resistencias-serie-paralelo-51.png";"480";"Ω";"Ω";"Ω";"Ω";"";"";"es-electric-series-parallel-calc-2"
"Calcula la resistencia equivalente del siguiente circuito";"../images/electric-resistencias-serie-paralelo-52.png";"480";"Ω";"Ω";"Ω";"Ω";"";"";"es-electric-series-parallel-calc-2"
"Calcula la resistencia equivalente del siguiente circuito";"../images/electric-resistencias-serie-paralelo-53.png";"480";"Ω";"Ω";"Ω";"Ω";"";"";"es-electric-series-parallel-calc-2"
"Calcula la resistencia equivalente del siguiente circuito";"../images/electric-resistencias-serie-paralelo-54.png";"480";"Ω";"Ω";"Ω";"Ω";"";"";"es-electric-series-parallel-calc-2"
"Calcula la resistencia equivalente del siguiente circuito";"../images/electric-resistencias-serie-paralelo-55.png";"480";"Ω";"Ω";"Ω";"Ω";"";"";"es-electric-series-parallel-calc-2"
