Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"Si juntamos dos pilas de 1,5V de este modo... ¿Cuál será el voltaje total?";"../images/electric-circuit-46.png";"550";"3V";"1,5V";"0,75V";"0V";"";"";"es-electric-series-parallel-calc"
"Si juntamos dos resistencias de 4Ω de este modo ¿Cuál será su resistencia equivalente?";"../images/electric-circuit-10.png";"550";"2Ω";"4Ω";"8Ω";"3Ω";"";"";"es-electric-series-parallel-calc"
"¿Cuál será el voltaje total de las pilas?";"../images/electric-circuit-28.png";"550";"6V";"2V";"2/3V";"8V";"";"";"es-electric-series-parallel-calc"
"¿Cuál será el voltaje total de las pilas?";"../images/electric-circuit-22.png";"550";"2V";"6V";"2/3V";"8V";"";"";"es-electric-series-parallel-calc"
"¿Cuál será el valor de la resistencia equivalente?";"../images/electric-circuit-45.png";"550";"7Ω";"12Ω";"6/8Ω";"8/6Ω";"";"";"es-electric-series-parallel-calc"
"¿Cuál será el valor de la resistencia equivalente?";"../images/electric-circuit-44.png";"550";"2Ω";"18Ω";"0,5Ω";"3/6Ω";"";"";"es-electric-series-parallel-calc"
"¿Cuál será el valor de la resistencia equivalente?";"../images/electric-circuit-43.png";"550";"4/5Ω";"5/4Ω";"3/8Ω";"8/3Ω";"";"";"es-electric-series-parallel-calc"
"¿Cuál será el valor de la resistencia equivalente?";"../images/electric-circuit-29.png";"550";"2Ω";"0,5Ω";"9Ω";"3Ω";"";"";"es-electric-series-parallel-calc"
"¿Cuál será el valor de la resistencia equivalente?";"../images/electric-circuit-25.png";"550";"5Ω";"8Ω";"4Ω";"6Ω";"";"";"es-electric-series-parallel-calc"
"¿Cuál será el valor de la resistencia equivalente?";"../images/electric-circuit-31.png";"550";"6Ω";"13Ω";"4,5Ω";"3Ω";"";"";"es-electric-series-parallel-calc"
"¿Cuál será el valor de la resistencia equivalente?";"../images/electric-circuit-47.png";"550";"5Ω";"20 Ω";"1,2Ω";"10Ω";"";"";"es-electric-series-parallel-calc"
"¿Cuál es falsa, para el circuito de la figura?";"../images/electric-circuit-23.png";"550";"Las dos resistencias están sometidas al mismo voltaje";"Por las dos resistencias pasará siempre la misma intensidad";"Si desconecto la resistencia R2 no pasará corriente por el circuito";"Si desconecto la resistencia R1 no pasará corriente por el circuito";"";"";"es-electric-series-parallel-calc"
"¿Cuál es falsa, para el circuito de la figura?";"../images/electric-circuit-23.png";"550";"La intensidad que pasa por las dos resistencias es la misma";"Las dos resistencias están sometidas al mismo voltaje";"Si desconecto la resistencia R1, seguirá pasando corriente por la R2";"La intensidad total del circuito será la suma de la intensidad por R1 y la intensidad por R2";"";"";"es-electric-series-parallel-calc"
"¿Qué será cierto para la intensidad que pasa por la resistencia R1?";"../images/electric-circuit-23.png";"550";"Pasará el doble de intensidad que por la resistencia R2";"Pasará la misma intensidad que por la resistencia R2";"Pasará la mitad de intensidad que por la resistencia R2";"Por ella pasará la mitad de la intensidad total del circuito";"";"";"es-electric-series-parallel-calc"
"¿Por cuál de las tres resistencias pasará más intensidad?";"../images/electric-circuit-48.png";"550";"Por la R1";"Por la R2";"Por la R3";"Por todas pasará la misma";"";"";"es-electric-series-parallel-calc"
"¿Qué pasará en este circuito si conecto la resistencia R1?";"../images/electric-circuit-26.png";"550";"La intensidad total aumentará respecto a cuando había dos resistencias";"El voltaje al que están sometidas a las resistencias disminuirá respecto a cuando había dos";"El voltaje al que están sometidas las resistencias aumentará respecto a cuando había dos";"La intensidad total disminuirá respecto a cuando había dos resistencias";"";"";"es-electric-series-parallel-calc"
"¿Qué pasará cuando conectemos la resistencia R2?";"../images/electric-circuit-24.png";"550";"La intensidad total del circuito aumentará";"El voltaje al que está sometida R1 disminuirá";"La intensidad total del circuito disminuirá";"La intensidad total del circuito no variará";"";"";"es-electric-series-parallel-calc"
"¿Qué pasará cuando conectemos el interruptor S1?";"../images/electric-circuit-24.png";"550";"Por R2 pasará la misma intensidad que por R1";"El voltaje de R1 será la mitad que antes";"La resistencia equivalente en el circuito será de 4Ω";"La intensidad total del circuito no variará";"";"";"es-electric-series-parallel-calc"
"Si conectamos S1, ¿cuál será falsa?";"../images/electric-circuit-24.png";"550";"La intensidad total disminuirá";"Por R1 pasará una intensidad igual a la que pasa por R2";"El voltaje de R1 será el mismo que el de R2";"La intensidad que pasa por R1 no variará";"";"";"es-electric-series-parallel-calc"
