Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Cómo está conectado el siguiente circuito?";"../images/electric-serie-paralelo-c01.png";"240";"En serie";"En paralelo";"Tiene un cortocircuito en la pila";"Tiene un cortocircuito en una bombilla";"";"";"es-electric-series-parallel-identify"
"¿Cómo está conectado el siguiente circuito?";"../images/electric-serie-paralelo-c02.png";"240";"En paralelo";"En serie";"Tiene un cortocircuito en la pila";"Tiene un cortocircuito en una bombilla";"";"";"es-electric-series-parallel-identify"
"¿Cómo está conectado el siguiente circuito?";"../images/electric-serie-paralelo-c03.png";"240";"Tiene un cortocircuito en la pila";"En paralelo";"En serie";"Tiene un cortocircuito en una bombilla";"";"";"es-electric-series-parallel-identify"
"¿Cómo está conectado el siguiente circuito?";"../images/electric-serie-paralelo-c04.png";"240";"En paralelo";"En serie";"Tiene un cortocircuito en la pila";"Tiene un cortocircuito en una bombilla";"";"";"es-electric-series-parallel-identify"
"¿Cómo está conectado el siguiente circuito?";"../images/electric-serie-paralelo-c05.png";"240";"En paralelo";"En serie";"Tiene un cortocircuito en la pila";"Tiene un cortocircuito en una bombilla";"";"";"es-electric-series-parallel-identify"
"¿Cómo está conectado el siguiente circuito?";"../images/electric-serie-paralelo-c06.png";"240";"Tiene un cortocircuito en la pila";"En paralelo";"En serie";"Tiene un cortocircuito en una bombilla";"";"";"es-electric-series-parallel-identify"
"¿Cómo está conectado el siguiente circuito?";"../images/electric-serie-paralelo-c07.png";"240";"En serie";"En paralelo";"Tiene un cortocircuito en la pila";"Tiene un cortocircuito en una bombilla";"";"";"es-electric-series-parallel-identify"
"¿Cómo está conectado el siguiente circuito?";"../images/electric-serie-paralelo-c08.png";"240";"En paralelo";"En serie";"Tiene un cortocircuito en la pila";"Tiene un cortocircuito en una bombilla";"";"";"es-electric-series-parallel-identify"
"¿Cómo está conectado el siguiente circuito?";"../images/electric-serie-paralelo-c09.png";"240";"En paralelo";"En serie";"Tiene un cortocircuito en la pila";"Tiene un cortocircuito en una bombilla";"";"";"es-electric-series-parallel-identify"
"¿Cómo está conectado el siguiente circuito?";"../images/electric-serie-paralelo-c10.png";"240";"En serie";"En paralelo";"Tiene un cortocircuito en la pila";"Tiene un cortocircuito en una bombilla";"";"";"es-electric-series-parallel-identify"
"¿Cómo está conectado el siguiente circuito?";"../images/electric-serie-paralelo-c11.png";"240";"En paralelo";"Tiene un cortocircuito en la pila";"En serie";"Tiene un cortocircuito en una bombilla";"";"";"es-electric-series-parallel-identify"
"¿Cómo está conectado el siguiente circuito?";"../images/electric-serie-paralelo-c12.png";"240";"Tiene un cortocircuito en la pila";"En paralelo";"En serie";"Tiene un cortocircuito en una bombilla";"";"";"es-electric-series-parallel-identify"
"¿Cómo está conectado el siguiente circuito?";"../images/electric-serie-paralelo-c13.png";"240";"En paralelo";"En serie";"Tiene un cortocircuito en la pila";"Tiene un cortocircuito en una bombilla";"";"";"es-electric-series-parallel-identify"
"¿Cómo está conectado el siguiente circuito?";"../images/electric-serie-paralelo-c14.png";"240";"En paralelo";"En serie";"Tiene un cortocircuito en la pila";"Tiene un cortocircuito en una bombilla";"";"";"es-electric-series-parallel-identify"
