Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Cuántos ohmios son 13 kΩ?";"";"";"13000 Ω";"1300 Ω";"130 Ω";"13 Ω";"";"";"es-electric-units-change"
"¿Cuántos ohmios son 2,2 kΩ?";"";"";"2200 Ω";"22000 Ω";"220000 Ω";"220 Ω";"";"";"es-electric-units-change"
"¿Cuántos ohmios son 47 kΩ?";"";"";"47000 Ω";"4700 Ω";"470 Ω";"4,7 Ω";"";"";"es-electric-units-change"
"¿Cuántos ohmios son 0,33 kΩ?";"";"";"330 Ω";"3300 Ω";"33000 Ω";"33 Ω";"";"";"es-electric-units-change"
"¿Cuántos kΩ son 4700 Ω?";"";"";"4,7 kΩ";"47 kΩ";"470 kΩ";"0,47 kΩ";"";"";"es-electric-units-change"
"¿Cuántos kΩ son 100.000 Ω?";"";"";"100 kΩ";"10 kΩ";"1000 kΩ";"1 kΩ";"";"";"es-electric-units-change"
"¿Cuántos kΩ son 680 Ω?";"";"";"0,68 kΩ";"6,8 kΩ";"0,068 kΩ";"0,0068 kΩ";"";"";"es-electric-units-change"
"¿Cuántos microfaradios tendrá un faradio?";"";"";"1.000.000 uF";"10.000.000 uF";"1000 uF";"1E-06 uF";"";"";"es-electric-units-change"
"¿Cuántos faradios es un microfaradio?";"";"";"1E-06 F";"1E-07 F";"1.000.000 F";"0,1 F";"";"";"es-electric-units-change"
"¿Cuántos microfaradios son 0,01 F?";"";"";"10.000 uF";"1.000 uF";"100.000 uF";"1.000.000 uF";"";"";"es-electric-units-change"
"¿Cuántos faradios son 220 µF?";"";"";"0,00022 F";"0,0022 F";"0,022 F";"0,22 F";"";"";"es-electric-units-change"
