Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Cómo se llama esta máquina simple?";"../images/relatran-polea.png";"379";"Polea simple";"Torno";"Polipasto";"Correa";"";"";"es-machines-simple"
"La polea simple ...";"../images/relatran-polea.png";"379";"Invierte el sentido de la fuerza aplicada";"Aumenta la fuerza aplicada";"Aumenta el peso de la carga";"Se opone a la fuerza aplicada";"";"";"es-machines-simple"
"La polea simple es un/una ...";"../images/relatran-polea.png";"379";"Máquina simple";"Máquina compuesta";"Mecanismo de transmisión";"Mecanismo de transformación";"";"";"es-machines-simple"
"La polea simple ...";"../images/relatran-polea.png";"379";"Proporciona comodidad al levantar un peso";"Proporciona ventaja mecánica";"Disminuye la fuerza aplicada";"Aumenta la fuerza aplicada";"";"";"es-machines-simple"
"La polea simple suele usarse para ...";"../images/relatran-polea.png";"379";"Sacar agua de un pozo";"Arrastrar pesos en horizontal";"Subir escaleras";"Abrir puertas";"";"";"es-machines-simple"
"La longitud de la cuerda que hay que estirar es ...";"../images/relatran-polea.png";"379";"Igual a la altura que sube la carga";"El doble de la altura que sube la carga";"La mitad de la altura que sube la carga";"Igual al diámetro de la polea";"";"";"es-machines-simple"
"Con una polea simple, las pérdidas mecánicas más importantes se producen ...";"../images/relatran-polea.png";"379";"Por rozamiento";"Debido al ruido generado";"Por bloqueo";"En los extremos de la cuerda";"";"";"es-machines-simple"
"¿Cómo se llama esta máquina simple?";"../images/relatran-palanca.png";"379";"Palanca";"Leva";"Columpio";"Plano inclinado";"";"";"es-machines-simple"
"La palanca es ...";"../images/relatran-palanca.png";"379";"Una máquina simple";"Una máquina compuesta";"Un mecanismo de transmisión";"Un mecanismo de transformación";"";"";"es-machines-simple"
"Una guadaña puede considerarse una palanca de ...";"../images/relatran-palanca.png";"379";"Tercera especie";"Primera especie";"Segunda especie";"Cuarta especie";"";"";"es-machines-simple"
"¿Qué es el triángulo de la figura?";"../images/relatran-palanca.png";"379";"Un soporte o fulcro";"Un enganche";"Un forro";"Una trócola o trinquete";"";"";"es-machines-simple"
"Para obtener una gran fuerza resultante ...";"../images/relatran-palanca.png";"379";"Empujamos sobre el brazo largo de la palanca";"Empujamos sobre el brazo corto de la palanca";"Empujamos sobre el soporte";"Estiramos el brazo de la palanca";"";"";"es-machines-simple"
"En las palancas de primera especie ...";"../images/relatran-palanca.png";"379";"El soporte está en un lugar intermedio";"El soporte está en un extremo";"Hay dos soportes";"No hay soporte";"";"";"es-machines-simple"
"Un ejemplo de palanca de primera especie es ...";"../images/relatran-palanca.png";"379";"Una balanza";"Un sacacorchos";"Un cascanueces";"Un diferencial";"";"";"es-machines-simple"
"En una palanca de tercera especie, la carga ...";"../images/relatran-palanca.png";"379";"Se sitúa en un extremo";"Se sitúa en un punto intermedio";"Se sitúa sobre el soporte";"Se sitúa entre el soporte y la fuerza aplicada";"";"";"es-machines-simple"
"Un ejemplo de palanca de primera especie es ...";"../images/relatran-palanca.png";"379";"Un columpio";"Un sacacorchos";"Un ascensor";"Una carretilla";"";"";"es-machines-simple"
"En las palancas de segunda especie ...";"../images/relatran-palanca.png";"379";"El soporte está en un extremo";"El soporte está en un lugar intermedio";"No hay soporte";"Hay dos soportes";"";"";"es-machines-simple"
