Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Cómo se llama el mecanismo de la figura?";"../images/relatran-ruedas-friccion.png";"379";"Ruedas de fricción";"Ruedas deslizantes";"Ruedas de contacto";"Poleas";"";"";"es-machines-transmission3"
"Si hay que transmitir gran potencia ...";"../images/relatran-ruedas-friccion.png";"379";"Es más conveniente un engranaje";"Es más conveniente un sistema de poleas y correa";"La rueda motriz se atasca";"La rueda conducida girará más lentamente";"";"";"es-machines-transmission3"
"Los ejes de los árboles de transmisión deben ser ...";"../images/relatran-ruedas-friccion.png";"379";"Próximos";"Perpendiculares";"Tangenciales";"Normales";"";"";"es-machines-transmission3"
"¿Exísten ruedas de fricción troncocónicas?";"../images/relatran-ruedas-friccion.png";"379";"Si, pero no se usan tanto como las cilíndricas";"No, solo hay cilíndricas";"Las ruedas troncocónicas son todas dentadas";"Si, pero hay que usar una correa";"";"";"es-machines-transmission3"
"El material de contacto entre las dos ruedas ...";"../images/relatran-ruedas-friccion.png";"379";"Se desgasta con el tiempo";"Debe permitir el deslizamiento";"Debe ser blando";"Evita que haya fricción";"";"";"es-machines-transmission3"
"¿Cuál de estos aparatos incluye ruedas de fricción?";"../images/relatran-ruedas-friccion.png";"379";"Impresora";"Batidora";"Lavavajillas";"Ordenador";"";"";"es-machines-transmission3"
"Este mecanismo ...";"../images/relatran-ruedas-friccion.png";"379";"Es muy silencioso";"Produce más ruido que un engranaje recto";"Produce más ruido que un piñón-cremallera";"Produce más ruido que las poleas";"";"";"es-machines-transmission3"
"En unas ruedas de fricción, la rueda pequeña ...";"../images/relatran-ruedas-friccion.png";"379";"Gira más rápido que la rueda grande";"Es siempre motriz";"Siempre va unida al árbol resistente";"Se llama piñón";"";"";"es-machines-transmission3"
"En unas ruedas de fricción, las ruedas giran ...";"../images/relatran-ruedas-friccion.png";"379";"En sentido contrario";"En el mismo sentido";"En el sentido horario";"En el sentido antihorario";"";"";"es-machines-transmission3"
"Las ruedas de fricción son ...";"../images/relatran-ruedas-friccion.png";"379";"Un mecanismo de transmisión de movimiento";"Un mecanismo de transformación de movimiento";"Una máquina simple";"Una máquina compuesta";"";"";"es-machines-transmission3"
"Este mecanismo está formado por dos ...";"../images/relatran-sistema-poleas.png";"379";"Ruedas acanaladas simples y una doble";"Ruedas acanaladas compuestas";"Ruedas acanaladas dobles";"Ruedas dentadas dobles";"";"";"es-machines-transmission3"
"La rueda doble central gira ...";"../images/relatran-sistema-poleas.png";"379";"Si cualquiera de las otras ruedas giran";"A la misma velocidad que la motriz";"A la misma velocidad que la conducida";"A más velocidad que las otras dos";"";"";"es-machines-transmission3"
"La figura nos muestra ...";"../images/relatran-sistema-poleas.png";"379";"Un mecanismo de transmisión de movimiento";"Un mecanismo de transformación de movimiento";"Una máquina simple";"Una máquina compuesta";"";"";"es-machines-transmission3"
"Las ruedas acanaladas están unidas mediante ...";"../images/relatran-sistema-poleas.png";"379";"Correas";"Cadenas";"Hilos";"Pegamento";"";"";"es-machines-transmission3"
"Cada una de las ruedas acanaladas se llama ...";"../images/relatran-sistema-poleas.png";"379";"Polea";"Rueda dentadas";"Corona";"Rodillo";"";"";"es-machines-transmission3"
"¿Cómo se llama este tipo de ruedas?";"../images/relatran-sistema-poleas.png";"379";"Acanaladas";"Transversales";"Universales";"Dentadas";"";"";"es-machines-transmission3"
"Todas las correas deben estar ...";"../images/relatran-sistema-poleas.png";"379";"Tensas";"Ligadas";"Pegadas";"Deslizando";"";"";"es-machines-transmission3"
"Las dos ruedas acanaladas centrales ...";"../images/relatran-sistema-poleas.png";"379";"Giran a la misma velocidad";"Giran más rápido que las extremas";"No están pegadas";"Tienen el mismo diámetro";"";"";"es-machines-transmission3"
"La rueda doble central gira ...";"../images/relatran-sistema-poleas.png";"379";"En el mismo sentido que la motriz";"En sentido opuesto a la motriz";"En sentido opuesto a la conducida";"En sentido horario";"";"";"es-machines-transmission3"
"Si las correas no están suficientemente tensas ...";"../images/relatran-sistema-poleas.png";"379";"Habrá deslizamiento";"Se producirá mucho ruido";"Puede haber un accidente";"Se tensarán solas";"";"";"es-machines-transmission3"
"¿Cómo se pueden tensar las correas?";"../images/relatran-sistema-poleas.png";"379";"Con un rodillo";"Con una pinza";"Con una cadena";"Con un émbolo";"";"";"es-machines-transmission3"
"Este mecanismo suele usarse como ...";"../images/relatran-sistema-poleas.png";"379";"Reductor";"Multiplicador";"Tensor";"Lubrificador";"";"";"es-machines-transmission3"
"¿Cómo puede evitarse el deslizamiento?";"../images/relatran-sistema-poleas.png";"379";"Con ruedas y correas dentadas";"Con lubrificación";"Con ruedas acanaladas";"Con una cremallera";"";"";"es-machines-transmission3"
"Di un inconveniente de este mecanismo.";"../images/relatran-poleas-correa.png";"379";"La correa se desgasta y hay que sustituirla";"El mecanismo es muy ruidoso";"Los árboles de transmisión deben estar lejos";"Los árboles de transmisión ser paralelos";"";"";"es-machines-transmission3"
"¿Cómo se llama el mecanismo de la figura?";"../images/relatran-poleas-correa.png";"379";"Poleas y correa";"Ruedas acanaladas";"Ruedas dentadas";"Polea simple";"";"";"es-machines-transmission3"
"Es fácil ver poleas con correa en ...";"../images/relatran-poleas-correa.png";"379";"Una máquina de coser";"Un reloj digital";"Un sacacorchos";"Una tostadora";"";"";"es-machines-transmission3"
"¿Qué hay que hacerle a la correa para evitar el deslizamiento?";"../images/relatran-poleas-correa.png";"379";"Tensarla";"Estirarla";"Pegarla";"Colocarla";"";"";"es-machines-transmission3"
"Con las ruedas acanaladas no se puede usar una correa ...";"../images/relatran-poleas-correa.png";"379";"Dentada";"Trapezoidal";"De sección triangular";"De sección circular";"";"";"es-machines-transmission3"
