Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿A qué componente corresponde el símbolo de la figura?";"../images/neumatic-simbolo-compresor.png";"220";"Compresor neumático";"Motor neumático giratorio";"Manómetro";"Unidad de mantenimiento";"";"";"es-neumatic-symbol-name"
"¿A qué componente corresponde el símbolo de la figura?";"../images/neumatic-simbolo-deposito.png";"220";"Depósito o calderín";"Acumulador de agua";"Manómetro";"Pistón de simple efecto";"";"";"es-neumatic-symbol-name"
"¿A qué componente corresponde el símbolo de la figura?";"../images/neumatic-simbolo-escape.png";"220";"Escape de aire";"Fuente de presión";"Purgador de condensados";"Filtro de partículas";"";"";"es-neumatic-symbol-name"
"¿A qué componente corresponde el símbolo de la figura?";"../images/neumatic-simbolo-escape-silenciador.png";"220";"Escape con silenciador";"Filtro de partículas";"Lubricador";"Unidad de mantenimiento";"";"";"es-neumatic-symbol-name"
"¿A qué componente corresponde el símbolo de la figura?";"../images/neumatic-simbolo-filtro.png";"220";"Filtro de partículas";"Filtro de agua";"Lubricador";"Fuente de presión";"";"";"es-neumatic-symbol-name"
"¿A qué componente corresponde el símbolo de la figura?";"../images/neumatic-simbolo-fuente-presion.png";"220";"Fuente de presión";"Pilotaje por rodillo";"Depósito o calderín";"Manómetro";"";"";"es-neumatic-symbol-name"
"¿A qué componente corresponde el símbolo de la figura?";"../images/neumatic-simbolo-lubricador.png";"220";"Lubricador de aire";"Filtro de partículas";"Purgador de condensados";"Regulador de presión";"";"";"es-neumatic-symbol-name"
"¿A qué componente corresponde el símbolo de la figura?";"../images/neumatic-simbolo-manometro.png";"220";"Manómetro";"Depósito o calderín";"Regulador de presión";"Unidad de mantenimiento";"";"";"es-neumatic-symbol-name"
"¿A qué componente corresponde el símbolo de la figura?";"../images/neumatic-simbolo-motor-giratorio.png";"220";"Motor neumático giratorio";"Compresor neumático";"Pistón de doble efecto";"Pistón de simple efecto";"";"";"es-neumatic-symbol-name"
"¿A qué componente corresponde el símbolo de la figura?";"../images/neumatic-simbolo-pilotaje-electrico.png";"220";"Pilotaje eléctrico";"Pilotaje neumático";"Pilotaje con enclavamiento";"Pilotaje manual";"";"";"es-neumatic-symbol-name"
"¿A qué componente corresponde el símbolo de la figura?";"../images/neumatic-simbolo-pilotaje-enclavamiento.png";"220";"Pilotaje con enclavamiento";"Pilotaje eléctrico";"Pilotaje neumático";"Pilotaje por palanca";"";"";"es-neumatic-symbol-name"
"¿A qué componente corresponde el símbolo de la figura?";"../images/neumatic-simbolo-pilotaje-neumatico.png";"220";"Pilotaje neumático";"Pilotaje eléctrico";"Pilotaje con enclavamiento";"Pilotaje por pedal";"";"";"es-neumatic-symbol-name"
"¿A qué componente corresponde el símbolo de la figura?";"../images/neumatic-simbolo-pilotaje-palanca.png";"220";"Pilotaje por palanca";"Pilotaje por pedal";"Pilotaje neumático";"Pilotaje eléctrico";"";"";"es-neumatic-symbol-name"
"¿A qué componente corresponde el símbolo de la figura?";"../images/neumatic-simbolo-pilotaje-pedal.png";"220";"Pilotaje por pedal";"Pilotaje por palanca";"Pilotaje por pulsador";"Pilotaje eléctrico";"";"";"es-neumatic-symbol-name"
"¿A qué componente corresponde el símbolo de la figura?";"../images/neumatic-simbolo-pilotaje-pulsador.png";"220";"Pilotaje por pulsador";"Pilotaje por palanca";"Pilotaje por pedal";"Pilotaje neumático";"";"";"es-neumatic-symbol-name"
"¿A qué componente corresponde el símbolo de la figura?";"../images/neumatic-simbolo-pilotaje-rodillo.png";"220";"Pilotaje por rodillo";"Fuente de presión";"Pilotaje por palanca";"Pilotaje con enclavamiento";"";"";"es-neumatic-symbol-name"
"¿A qué componente corresponde el símbolo de la figura?";"../images/neumatic-simbolo-piston-doble-efecto.png";"220";"Pistón de doble efecto";"Pistón de simple efecto";"Pistón de triple efecto";"Pistón sin muelle";"";"";"es-neumatic-symbol-name"
"¿A qué componente corresponde el símbolo de la figura?";"../images/neumatic-simbolo-piston-simple-efecto.png";"220";"Pistón de simple efecto";"Pistón de doble efecto";"Pistón con muelle";"Motor neumático giratorio";"";"";"es-neumatic-symbol-name"
"¿A qué componente corresponde el símbolo de la figura?";"../images/neumatic-simbolo-purgador-condensados.png";"220";"Purgador de condensados";"Filtro de aire";"Lubricador";"Secador de aire";"";"";"es-neumatic-symbol-name"
"¿A qué componente corresponde el símbolo de la figura?";"../images/neumatic-simbolo-regulador-presion.png";"220";"Regulador de presión";"Unidad de mantenimiento";"Válvula de simultaneidad";"Retorno por muelle";"";"";"es-neumatic-symbol-name"
