Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Cómo están conectadas las resistencias en la breadboard?";"../images/electric-brboardSerieParalelo01.png";"479";"1 en paralelo, 2 en serie";"Las dos en serie";"Las dos en paralelo";"1 en serie, 2 en paralelo";"";"";"es_electric_breadboard"
"¿Cómo están conectadas las resistencias en la breadboard?";"../images/electric-brboardSerieParalelo02.png";"168";"Las dos en serie";"1 en serie, 2 en paralelo";"1 en paralelo, 2 en serie";"Las dos en paralelo";"";"";"es_electric_breadboard"
"¿Por qué resistencias pasará corriente?";"../images/electric-brboardBenConectadas01.png";"271";"Por 1 y 2";"Por todas";"Por 2 y 3";"Por ninguna";"";"";"es_electric_breadboard"
"¿Qué montajes se corresponden con el esquema?";"../images/electric-brboardResisCircuito.png";"686";"1";"2";"3";"Ninguno";"";"";"es_electric_breadboard"
"¿Cuándo encenderá el led verde?";"../images/electric-brBoard2PulsXeralSecundario.png";"452";"Si tengo presionados los dos pulsadores";"Si presiono el pulsador de la derecha";"Si presiono el pulsador de la izquierda";"En ningún caso";"";"";"es_electric_breadboard"
"¿Cuál es falsa para el circuito de la figura?";"../images/electric-brBoard2PulsXeralSecundario.png";"452";"Puedo encender el led verde sin que encienda el led rojo";"Para encender el led verde tengo que haber presionado el pulsador de la izquierda";"Para encender el led verde tengo que haber presionado el pulsador de la derecha";"El led rojo enciende cuando presiono el pulsador de la derecha";"";"";"es_electric_breadboard"
"¿A qué esquema se corresponde el circuito de la breadboard?";"../images/electric-brBoard2PulsXeralSecEsquemas.png";"457";"Al rosa";"Al azul";"Al verde";"Al naranja";"";"";"es_electric_breadboard"
"Quiero que el led encienda cuando presiono el pulsador. ¿Hay algún fallo?";"../images/electric-brbrUnLedPulsadorTricky.png";"191";"Los cables no están en los terminales correctos del pulsador";"El led está puesto del revés";"La resistencia no está conectada al led";"No hay fallos, va a encender";"";"";"es_electric_breadboard"
"Quiero que el led encienda solo cuando presiono los dos pulsadores. ¿Hay algún fallo?";"../images/electric-brbr2pulsadoresSerieTricky.png";"249";"Ninguno";"El led encenderá cuando presione cualquiera de los interruptores";"El cable verde no conecta los terminales correctos de los interruptores";"La resistencia no está conectada en el terminal correcto del pulsador";"";"";"es_electric_breadboard"
"¿Cuál es falsa para el circuito de la figura?";"../images/electric-brBr2IntParalelo.png";"357";"El led no encenderá nunca";"El led encenderá cuando presione el interruptor izquierdo";"El led encenderá si presiono el pulsador derecho";"Si tengo presionados los dos interruptores, el led encenderá";"";"";"es_electric_breadboard"
"¿Qué ledes se encenderán cuando presione el pulsador?";"../images/electric-brBr3Led1intCalAcende.png";"458";"El verde y el rojo";"El azul y el rojo";"El rojo";"El azul y el verde";"";"";"es_electric_breadboard"
"¿Cuál es cierta para el circuito de la figura?";"../images/electric-brBr2int2LedParalelo.png";"240";"Cada interruptor enciende un led";"No podré encender el led verde si no presiono el interruptor de la derecha";"Si presiono el pulsador de la derecha, encienden los dos leds";"El verde está siempre encendido, aunque no presione ningún pulsador";"";"";"es_electric_breadboard"
"¿Qué cable tengo que quitar para que el led encienda desde cualquiera de los dos pulsadores?";"../images/electric-2pulsParaleloQuitaCable.png";"242";"El naranja";"El verde";"El azul";"El amarillo";"";"";"es_electric_breadboard"
