Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Cuál de ellas es falsa en un circuito eléctrico?";"";"";"Siempre habrá una corriente eléctrica";"Siempre tiene que haber un generador";"Siempre tiene que haber un receptor";"Siempre habrá cables";"";"";"es_electric_circuits"
"¿Cuáles son los tipos de elementos que puedo encontrar en un circuito eléctrico?";"";"";"Generadores, conductores, receptores y elementos de control";"Generadores, conductores, aparatos eléctricos y elementos de control";"Generadores, cables, interruptores y conmutadores";"Pilas, cables, resistencias y interruptores";"";"";"es_electric_circuits"
"¿Cómo se llaman los elementos de un circuito que impulsan los electrones?";"";"";"Generadores";"Receptores";"Conductores";"Elementos de control";"";"";"es_electric_circuits"
"¿Cómo se llaman los elementos de un circuito que transforman la electricidad en otro tipo de energía útil?";"";"";"Receptores";"Generadores";"Transformadores";"Elementos de control";"";"";"es_electric_circuits"
"¿Cómo se llaman los elementos de un circuito por los que circula la corriente entre un componente y otro?";"";"";"Conductores";"Generadores";"Elementos de control";"Receptores";"";"";"es_electric_circuits"
"¿Cómo se llaman los elementos de un circuito que nos permiten hacer que la corriente circule por donde nosotros queremos?";"";"";"Elementos de control";"Generadores";"Conductores";"Receptores";"";"";"es_electric_circuits"
"¿Cuál no es un generador?";"";"";"Motor";"Pila";"Batería";"Toma de red";"";"";"es_electric_circuits"
"¿Cuál consideramos un conductor?";"";"";"Cable";"Interruptor";"Pulsador";"Aluminio";"";"";"es_electric_circuits"
"¿Cuál no sería un receptor?";"";"";"Pila";"Motor";"Lámpara";"Resistencia";"";"";"es_electric_circuits"
"¿Cuál no es un elemento de control?";"";"";"Cable";"Interruptor";"Pulsador";"Conmutador";"";"";"es_electric_circuits"
"¿Cómo están conectadas las resistencias de la figura?";"../images/electric-circuit-42.png";"550";"Serie";"Línea";"Paralelo";"Mixto";"";"";"es_electric_circuits"
"¿Cómo están conectadas las resistencias de la figura?";"../images/electric-circuit-43.png";"550";"Paralelo";"Lateral";"Serie";"Mixto";"";"";"es_electric_circuits"
"¿Cómo están conectadas las resistencias de la figura?";"../images/electric-circuit-31.png";"550";"Mixto";"Paralelo";"Serie";"Compuesto";"";"";"es_electric_circuits"
"¿Qué diferencias de funcionamiento habrá entre el circuito 1 y 2?";"../images/electric-circuit-01.png";"550";"Ninguna";"En el circuito 2, el led enciende aunque no cerremos el interruptor";"Los dos ledes encienden al presionar el interruptor, pero el 2 un instante antes";"Los dos ledes encienden al presionar el interruptor, pero el 1 un instante antes";"";"";"es_electric_circuits"
"¿Cuál es falsa, para el circuito de la figura?";"../images/electric-circuit-09.png";"550";"La bombilla L1 encenderá un instante antes que la L2";"La intensidad que circula por las dos bombillas es la misma";"Las dos bombillas se encenderán al presionar el interruptor";"Si la bombilla L1 se quema, la bombilla L2 no podrá encender";"";"";"es_electric_circuits"
"¿Cuál es falsa, para el circuito de la figura?";"../images/electric-circuit-27.png";"550";"Si cerramos uno u otro interruptor, pasará corriente por la resistencia";"Si cerramos uno y otro interruptor, pasará corriente por la resistencia";"Si cerramos los dos interruptores, pasará corriente por la resistencia";"Solo pasará corriente por la resistencia si cerramos todos los interruptores";"";"";"es_electric_circuits"
"¿Para qué podrías emplear el circuito de la figura?";"../images/electric-circuit-07.png";"550";"Una motosierra que actúa solo cuando presiono dos interruptores";"Un ventilador que se enciende desde dos puntos distintos";"Una alarma que se enciende desde cualquiera de los dos interruptores";"Un taladro que puede ser accionado con un interruptor o con otro";"";"";"es_electric_circuits"
