Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"Los primeros grupos humanos eran sedentarios.";"";"";"Falso";"Verdadero";"";"";"";"";"es_technology_society_history"
"Los recursos naturales en el paleolítico estaban sobreexplotados.";"";"";"Falso";"Verdadero";"";"";"";"";"es_technology_society_history"
"Los primeros avances tecnológicos estaban orientados a la supervivencia.";"";"";"Verdadero";"Falso";"";"";"";"";"es_technology_society_history"
"La aparición de la escritura no supone un desarrollo en la sociedad antigua.";"";"";"Falso";"Verdadero";"";"";"";"";"es_technology_society_history"
"En Mesopotamia, los sumerios inventaron la escritura cuneiforme.";"";"";"Verdadero";"Falso";"";"";"";"";"es_technology_society_history"
"El esclavismo produce grandes avances tecnológicos.";"";"";"Falso";"Verdadero";"";"";"";"";"es_technology_society_history"
"La caída de Roma supone una gran pérdida para la tecnología.";"";"";"Verdadero";"Falso";"";"";"";"";"es_technology_society_history"
"Durante la Edad Media las ciudades se desarrollan y aumenta la población.";"";"";"Falso";"Verdadero";"";"";"";"";"es_technology_society_history"
"Los árabes se encargaran de reintroducir la cultura clásica en Europa.";"";"";"Verdadero";"Falso";"";"";"";"";"es_technology_society_history"
"El progreso de la tecnología tiene un carácter acumulativo.";"";"";"Verdadero";"Falso";"";"";"";"";"es_technology_society_history"
"La sociedad moderna sigue manteniendo la economía feudal.";"";"";"Falso";"Verdadero";"";"";"";"";"es_technology_society_history"
"En la Edad Moderna la riqueza se basa en la posesión de la tierra y no en el comercio.";"";"";"Falso";"Verdadero";"";"";"";"";"es_technology_society_history"
"La invención de la imprenta favorece la difusión de la cultura.";"";"";"Verdadero";"Falso";"";"";"";"";"es_technology_society_history"
"Los galeones y las carabelas permiten la conquista de América.";"";"";"Verdadero";"Falso";"";"";"";"";"es_technology_society_history"
"En la Edad Moderna la deforestación y la extinción de especies no representan un problema.";"";"";"Falso";"Verdadero";"";"";"";"";"es_technology_society_history"
"La Revolución industrial nace en la Inglaterra del siglo XVI.";"";"";"Falso";"Verdadero";"";"";"";"";"es_technology_society_history"
"La máquina de vapor permite realizar las tareas más fácilmente.";"";"";"Verdadero";"Falso";"";"";"";"";"es_technology_society_history"
"En la Edad Moderna las nuevas fábricas y medios de transportes funcionan con carbón.";"";"";"Verdadero";"Falso";"";"";"";"";"es_technology_society_history"
"En la sociedad industrial se fabrican en poco tiempo grandes cantidades de objetos iguales.";"";"";"Verdadero";"Falso";"";"";"";"";"es_technology_society_history"
"La sociedad industrial se basa en el trabajo de agricultores y ganaderos.";"";"";"Falso";"Verdadero";"";"";"";"";"es_technology_society_history"
"En el Siglo XX las máquinas son manejadas por obreros no cualificados.";"";"";"Falso";"Verdadero";"";"";"";"";"es_technology_society_history"
"En el Siglo XX la actividad en las ciudades se basa en fábricas e industrias.";"";"";"Falso";"Verdadero";"";"";"";"";"es_technology_society_history"
"En el Siglo XX la sociedad se hace urbana y consumista.";"";"";"Verdadero";"Falso";"";"";"";"";"es_technology_society_history"
"En el Siglo XX el petróleo y la electricidad son las principales fuentes de energía.";"";"";"Verdadero";"Falso";"";"";"";"";"es_technology_society_history"
"En el Siglo XX predomina la comunicación escrita frente a la audiovisual.";"";"";"Falso";"Verdadero";"";"";"";"";"es_technology_society_history"
"En el Siglo XX la capa de ozono se mantiene intacta.";"";"";"Falso";"Verdadero";"";"";"";"";"es_technology_society_history"
"En el Siglo XX los hogares se llenan de máquinas fáciles de manejar.";"";"";"Verdadero";"Falso";"";"";"";"";"es_technology_society_history"
"En el Siglo XX la electricidad facilita la vida en las ciudades.";"";"";"Verdadero";"Falso";"";"";"";"";"es_technology_society_history"
"En el Siglo XX aparecen materiales de bajo coste y propiedades a "la carta".";"";"";"Verdadero";"Falso";"";"";"";"";"es_technology_society_history"
"En el Siglo XX la sociedad no se preocupa del medio ambiente.";"";"";"Falso";"Verdadero";"";"";"";"";"es_technology_society_history"
"La curiosidad por modificar nuestro entorno para mejorar nuestras condiciones de vida, es algo tan viejo como la humanidad.";"";"";"Verdadero";"Falso";"";"";"";"";"es_technology_society_history"
"La primera revolución tecnológica se produjo hace unos 10.000 años, en el Neolítico, cuando los seres humanos pasaron de ser nómadas a sedentarios desarrollando las primeras técnicas agrícolas.";"";"";"Verdadero";"Falso";"";"";"";"";"es_technology_society_history"
"Al final de la Edad Antigua el desarrollo tecnológico decae, los historiadores lo atribuyen al esclavismo. Los esclavos son mano de obra barata por lo que no es necesario producir innovaciones que faciliten las tareas manuales y repetitivas.";"";"";"Verdadero";"Falso";"";"";"";"";"es_technology_society_history"
"Con la caída del Imperio Romano de Occidente se pierde gran parte del legado intelectual de la Antigüedad. En oriente, los árabes, herederos de la cultura clásica se encargaran de reintroducirla en Europa.";"";"";"Verdadero";"Falso";"";"";"";"";"es_technology_society_history"
"La aparición de la escritura no supone un desarrollo en la organización social, códigos legislativos y recopilación de saberes científico-tecnológicos.";"";"";"Falso";"Verdadero";"";"";"";"";"es_technology_society_history"
"En la Edad Moderna, con el crecimiento de las ciudades se produce un cambio en el sistema económico: la economía feudal da paso a los primeros indicios del sistema capitalista.";"";"";"Verdadero";"Falso";"";"";"";"";"es_technology_society_history"
"La primera revolución industrial nace en Inglaterra a finales del siglo XVIII con el invento de la máquina de vapor. Por primera vez, la Humanidad podía realizar tareas agrícolas o industriales prescindiendo del esfuerzo de las personas o animales.";"";"";"Verdadero";"Falso";"";"";"";"";"es_technology_society_history"
"Las distintas innovaciones tecnológicas que se han sucedido a lo largo de la historia han ido modificando la vida de las personas.";"";"";"Verdadero";"Falso";"";"";"";"";"es_technology_society_history"
"La tecnología nos hace independientes de los cambios en el medio natural pero nos ha hace dependientes de máquinas cada vez más complejas y de alto consumo energético.";"";"";"Verdadero";"Falso";"";"";"";"";"es_technology_society_history"
"El desarrollo sostenible pretende hacer compatible la calidad de vida que nos proporcionan los avances tecnológicos con el respeto al medio ambiente buscando maneras de minimizar el impacto ambiental de la tecnología.";"";"";"Verdadero";"Falso";"";"";"";"";"es_technology_society_history"
