Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"Los transportes y las comunicaciones han desarrollado el comercio y nos han permitido disfrutar de materiales, comida, objetos, etc";"";"";"Verdadero";"Falso";"";"";"";"";"es_technology_society_objects_2"
"La integración entre el mundo postindustrial en el que habitan unos y las condiciones próximas ...";"";"";"Al Paleolítico o Neolítico en el que habitan otros";"A la Edad Media en el que habitan otros";"";"";"";"";"es_technology_society_objects_2"
"La tecnología provoca nuevos peligros para la vida y la salud";"";"";"Verdadero";"Falso";"";"";"";"";"es_technology_society_objects_2"
"Talar árboles asegurando la repoblación es una actividad ...";"";"";"Sostenible";"No sostenible";"";"";"";"";"es_technology_society_objects_2"
"Una de las claves para conseguir un desarrollo sostenible es ...";"";"";"El reciclaje de los residuos";"Buscar el mayor impacto medioambiental";"";"";"";"";"es_technology_society_objects_2"
"Tres innovaciones tecnológicas destacan sobre las demás.";"";"";"El papel, la imprenta y la pólvora";"El bolígrafo, el teléfono y la máquina de coser";"";"";"";"";"es_technology_society_objects_2"
"¿Cuál es una ventaja para el cliente del uso de productos normalizados?";"";"";"Ajustarse a la norma prueba que un producto es eficaz y seguro";"Realizar muchos productos iguales o semejantes baja los costes de producción";"";"";"";"";"es_technology_society_objects_2"
"La tecnología nos ha permitido tener un lugar de residencia fijo.";"";"";"Verdadero";"Falso";"";"";"";"";"es_technology_society_objects_2"
"La escritura, la imprenta o Internet nos han posibilitado adquirir cada vez mayores conocimientos, mayor información acerca del mundo en el que vivimos.";"";"";"Verdadero";"Falso";"";"";"";"";"es_technology_society_objects_2"
"El desarrollo tecnológico puede tener consecuencias negativas para nuestro entorno como.";"";"";"Gran cantidad de basuras y residuos de todo tipo";"Crecimiento descontrolado de los bosques";"";"";"";"";"es_technology_society_objects_2"
"Dime una características que debe tener un desarrollo para considerarlo sostenible.";"";"";"Reconocer la importancia de la naturaleza para el bienestar humano";"Usar los recursos de manera continua";"";"";"";"";"es_technology_society_objects_2"
"Para conseguir un desarrollo sostenible debes de comprar electrodomésticos de bajo consumo o de alta eficiencia energética.";"";"";"Verdadero";"Falso";"";"";"";"";"es_technology_society_objects_2"
"Para que una norma de proceso de normalización tenga éxito y se cumpla, debe cumplir una serie de características. Dime una de ellas.";"";"";"La norma debe ser clara y estar bien definida";"La norma deben votarla una mayoría de ciudadanos";"";"";"";"";"es_technology_society_objects_2"
"Mientras la tecnología ha aumentado espectacularmente la esperanza de vida por el mayor confort que proporciona y por el desarrollo de la medicina, también provoca nuevos peligros para la vida y la salud.";"";"";"Verdadero";"Falso";"";"";"";"";"es_technology_society_objects_2"
"Los transportes y las comunicaciones han desarrollado ...";"";"";"El comercio y objetos";"El comercio y nuevas viviendas";"";"";"";"";"es_technology_society_objects_2"
"El desarrollo tecnológico puede tener consecuencias negativas para nuestro entorno.";"";"";"Falso";"Verdadero";"";"";"";"";"es_technology_society_objects_2"
"Una forma de lograr que los aparatos sean más baratos, eficaces, cómodos y seguros es ...";"";"";"La normalización";"El comercio";"";"";"";"";"es_technology_society_objects_2"
"Las normas pueden ser nacionales, como en España las normas ...";"";"";"UNE";"DIN";"";"";"";"";"es_technology_society_objects_2"
"La NORMALIZACIÓN es el conjunto de normas que adoptan los países del mundo para facilitar la producción y comercialización de sus producto.";"";"";"Verdadero";"Falso";"";"";"";"";"es_technology_society_objects_2"
"La CERTIFICACIÓN es la acción llevada a cabo por una entidad independiente de la empresa.";"";"";"Verdadero";"Falso";"";"";"";"";"es_technology_society_objects_2"
"La CERTIFICACIÓN es la acción llevada a cabo por una entidad independiente del trabajador.";"";"";"Falso";"Verdadero";"";"";"";"";"es_technology_society_objects_2"
"En una economía globalizada, el desarrollo sostenible debe ser también un objetivo global.";"";"";"Verdadero";"Falso";"";"";"";"";"es_technology_society_objects_2"
"En una economía globalizada, el desarrollo sostenible no podría ser también un objetivo global.";"";"";"Falso";"Verdadero";"";"";"";"";"es_technology_society_objects_2"
"¿Quién construyo el primer vehículo de vapor?";"";"";"Nicolas Joseph";"Wilhelm Maybach";"";"";"";"";"es_technology_society_objects_2"
"¿Quién fabrico el primer modelo de vehículo con gasolina?";"";"";"Karl Benz";"Gottlieb Daimler";"";"";"";"";"es_technology_society_objects_2"
"Las normas son especificaciones técnicas aprobadas por una institución cuya autoridad es ampliamente reconocida y que establecen que los objetos tengan unas determinadas dimensiones o características.";"";"";"Verdadero";"Falso";"";"";"";"";"es_technology_society_objects_2"
"El desarrollo tecnológico explota recursos naturales y riquezas de la Tierra que no son renovables.";"";"";"Verdadero";"Falso";"";"";"";"";"es_technology_society_objects_2"
"Existen diferentes niveles de normalización.";"";"";"Si";"No";"";"";"";"";"es_technology_society_objects_2"
"Talar arboles no es una actividad sostenible.";"";"";"Falso. Depende de la repoblación.";"Verdadero. Siempre es no sostenible.";"";"";"";"";"es_technology_society_objects_2"
"El primer vehículo de vapor se fabrico en ...";"";"";"Francia";"Alemania";"";"";"";"";"es_technology_society_objects_2"
"Diferente grado de desarrollo tecnológico provoca la igualdad entre personas.";"";"";"Falso";"Verdadero";"";"";"";"";"es_technology_society_objects_2"
