Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"Cal delas NON corresponde a un circuíto eléctrico?";"";"";"Se produce sempre que hai unha corrente eléctrica.";"Sempre ten que haber un elemento que forneza enerxía eléctrica.";"Sempre produce calor.";"Sempre haberá algunha transformación de enerxía.";"";"";"gal_electric_circuits"
"Cales son os tipos de elementos que podo atopar nun circuíto eléctrico?";"";"";"Xeradores, condutores, receptores e elementos de control";"Xeradores, condutores, aparatos eléctricos e elementos de control";"Xeradores, cables, interruptores e conmutadores";"Pilas, cables, resistencias e interruptores";"";"";"gal_electric_circuits"
"Se xuntamos dúas pilas de 1,5V deste xeito... cal será a voltaxe total?";"../images/electric-duasPilasSerie.png";"194";"3V";"1,5V";"0,75V";"1,33V";"";"";"gal_electric_circuits"
"Se xuntamos dúas resistencias de 4Ω deste xeito... cal será a súa resistencia equivalente?";"../images/electric-2ResisParalelo.png";"470";"2Ω";"4Ω";"8Ω";"3Ω";"";"";"gal_electric_circuits"
"Como se chaman os elementos dun circuíto que fornecen os electróns?";"";"";"Xeradores";"Receptores";"Condutores";"Elementos de control";"";"";"gal_electric_circuits"
"Como se chaman os elementos dun circuíto que transforman a electricidade noutro tipo de enerxía?";"";"";"Receptores";"Xeradores";"Transformadores";"Elementos de control";"";"";"gal_electric_circuits"
"Como se chaman os elementos dun circuíto que permiten o paso da corrente entre un compoñente e outro?";"";"";"Condutores";"Xeradores";"Elementos de control";"Receptores";"";"";"gal_electric_circuits"
"Como se chaman os elementos dun circuíto que nos permiten facer que a corrente circule por onde nós queremos?";"";"";"Elementos de control";"Xeradores";"Condutores";"Receptores";"";"";"gal_electric_circuits"
"Cal non é un xerador?";"";"";"Motor";"Pila";"Batería";"Toma de rede";"";"";"gal_electric_circuits"
"Cal consideramos un condutor?";"";"";"Cable";"Interruptor";"Pulsador";"Aluminio";"";"";"gal_electric_circuits"
"Cal non sería un receptor?";"";"";"Pila";"Motor";"Lámpada";"Resistencia";"";"";"gal_electric_circuits"
"Cal non é un elemento de control?";"";"";"Cable";"Interruptor";"Pulsador";"Conmutador";"";"";"gal_electric_circuits"
