Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Qué es la "apropiación de formulario" en ciberseguridad?";"";"";"Una táctica para obtener información personal y sensible de los usuarios a través de formularios en línea.";"Una técnica para proteger los datos en línea.";"Un método para mejorar la velocidad de carga de los sitios web.";"Una estrategia para crear formularios más atractivos visualmente para los usuarios que rellenan información en línea.";"";"";"es-ciberseguridad-amenazas-1"
"¿Cómo pueden los ciberdelincuentes llevar a cabo la apropiación de formulario?";"";"";"Mediante el uso de sitios web fraudulentos que solicitan información confidencial.";"A través de la optimización de la seguridad de los formularios en línea.";"Utilizando herramientas de encriptación para proteger los datos de los usuarios.";"Implementando medidas de autenticación de dos factores en los formularios.";"";"";"es-ciberseguridad-amenazas-1"
"¿Qué es un ejemplo común de apropiación de formulario?";"";"";"El phishing.";"El spam.";"El malware.";"La ingeniería social.";"";"";"es-ciberseguridad-amenazas-1"
"¿Cómo pueden los ciberdelincuentes llevar a cabo el phishing?";"";"";"Enviando correos electrónicos fraudulentos que dirigen a los usuarios a sitios web falsos.";"Utilizando antivirus para proteger la información personal de los usuarios.";"A través de la configuración de firewalls en los dispositivos de los usuarios.";"Enviando mensajes de texto solicitando información personal a los usuarios.";"";"";"es-ciberseguridad-amenazas-1"
"¿Qué hacen los ciberdelincuentes una vez que los usuarios completan los formularios falsos?";"";"";"Utilizar la información para cometer fraudes o robar identidades.";"Borrar la información para no dejar rastro.";"No hacer nada, ya que los formularios son falsos.";"Utilizar la información para mejorar la seguridad en línea de los usuarios.";"";"";"es-ciberseguridad-amenazas-1"
"¿Qué precauciones pueden tomar los usuarios para protegerse contra la apropiación de formulario?";"";"";"Verificar la autenticidad de los sitios web antes de ingresar información personal.";"Completar formularios en línea con información personal sin importar su procedencia.";"Compartir contraseñas con amigos para mayor seguridad.";"Ignorar los avisos de seguridad en los navegadores web.";"";"";"es-ciberseguridad-amenazas-1"
"¿Qué tipo de información pueden solicitar los formularios fraudulentos?";"";"";"Credenciales de inicio de sesión, como nombres de usuario y contraseñas.";"Información médica confidencial del usuario.";"Datos de contacto, como direcciones de correo electrónico del usuario.";"Preferencias de entretenimiento, como películas favoritas.";"";"";"es-ciberseguridad-amenazas-1"
"¿Cómo pueden los usuarios identificar un formulario falso en línea?";"";"";"Verificando la legitimidad del sitio web y revisando la URL.";"Completando el formulario y esperando los resultados.";"Haciendo clic en todos los enlaces proporcionados en el formulario.";"Ignorando las advertencias de seguridad del navegador.";"";"";"es-ciberseguridad-amenazas-1"
"¿Por qué es importante que los usuarios estén alerta ante la apropiación de formulario?";"";"";"Para proteger su información personal y evitar el fraude.";"Para aumentar la velocidad de carga de los sitios web.";"Para mejorar la funcionalidad de los formularios en línea.";"Para evitar recibir correos electrónicos no deseados.";"";"";"es-ciberseguridad-amenazas-1"
"¿Qué recomendación se da para protegerse contra la apropiación de formulario?";"";"";"Verificar la autenticidad de los sitios web y las aplicaciones antes de proporcionar información personal.";"Compartir contraseñas con amigos cercanos para mayor seguridad.";"Utilizar contraseñas simples y fáciles de recordar en todas las cuentas en línea.";"Proporcionar información personal sin importar la procedencia del formulario.";"";"";"es-ciberseguridad-amenazas-1"
