Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"Escoge el sistema en lazo abierto.";"";"";"Control de potencia de un horno microondas";"Control de temperatura de un frigorífico";"Control de temperatura de un horno eléctrico";"Control de llenado de una cisterna del váter";"";"";"es-control-introduction"
"Escoge el sistema en lazo abierto.";"";"";"Control de tiempo de un horno microondas";"Dirección asistida de un automóvil o de un camión";"Sistema de marcha y parada en un piso de un ascensor";"Sistema de apertura de una puerta automática";"";"";"es-control-introduction"
"Escoge el sistema en lazo abierto.";"";"";"Control de potencia de un calentador eléctrico de aire";"Control de temperatura de un horno eléctrico";"Control de llenado de una cisterna del váter";"Sistema de apertura de una puerta automática";"";"";"es-control-introduction"
"Escoge el sistema en lazo abierto.";"";"";"Control de intensidad de luz de una habitación";"Dirección asistida de un automóvil o de un camión";"Sistema de marcha y parada en un piso de un ascensor";"Control de llenado de una cisterna del váter";"";"";"es-control-introduction"
"Escoge el sistema en lazo abierto.";"";"";"Control de nivel de sonido en un equipo de audio";"Control de temperatura de un horno eléctrico";"Control de llenado de una cisterna del váter";"Sistema de marcha y parada en un piso de un ascensor";"";"";"es-control-introduction"
"Escoge el sistema en lazo abierto.";"";"";"Temporizador de encendido de la luz de escalera";"Control de temperatura de un frigorífico";"Control de llenado de una cisterna del váter";"Dirección asistida de un automóvil o de un camión";"";"";"es-control-introduction"
"Escoge el sistema en lazo cerrado.";"";"";"Control de temperatura de un frigorífico";"Control de potencia de un horno microondas";"Control de tiempo de un horno microondas";"Control de potencia de un calentador eléctrico de aire";"";"";"es-control-introduction"
"Escoge el sistema en lazo cerrado.";"";"";"Control de temperatura de un horno eléctrico";"Control de intensidad de luz de una habitación";"Control de nivel de sonido en un equipo de audio";"Temporizador de encendido de la luz de escalera";"";"";"es-control-introduction"
"Escoge el sistema en lazo cerrado.";"";"";"Control de llenado de una cisterna del váter";"Control de tiempo de un horno microondas";"Control de intensidad de luz de una habitación";"Temporizador de encendido de la luz de escalera";"";"";"es-control-introduction"
"Escoge el sistema en lazo cerrado.";"";"";"Dirección asistida de un automóvil o de un camión";"Control de potencia de un horno microondas";"Control de potencia de un calentador eléctrico de aire";"Control de nivel de sonido en un equipo de audio";"";"";"es-control-introduction"
"Escoge el sistema en lazo cerrado.";"";"";"Sistema de marcha y parada en un piso de un ascensor";"Control de potencia de un horno microondas";"Control de tiempo de un horno microondas";"Temporizador de encendido de la luz de escalera";"";"";"es-control-introduction"
"Escoge el sistema en lazo cerrado.";"";"";"Sistema de apertura de una puerta automática";"Control de potencia de un horno microondas";"Control de nivel de sonido en un equipo de audio";"Temporizador de encendido de la luz de escalera";"";"";"es-control-introduction"
