Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Cómo están conectadas las resistencias de la figura?";"../images/electric-circuit-42.png";"550";"Serie";"Línea";"Paralelo";"Mixto";"";"";"es-electric-circuits-2"
"¿Cómo están conectadas las resistencias de la figura?";"../images/electric-circuit-43.png";"550";"Paralelo";"Lateral";"Serie";"Mixto";"";"";"es-electric-circuits-2"
"¿Cómo están conectadas las resistencias de la figura?";"../images/electric-circuit-31.png";"550";"Mixto";"Paralelo";"Serie";"Compuesto";"";"";"es-electric-circuits-2"
"¿Qué diferencias de funcionamiento habrá entre el circuito 1 y 2?";"../images/electric-circuit-01.png";"550";"Ninguna";"En el circuito 2, el led enciende aunque no cerremos el interruptor";"Los dos ledes encienden al presionar el interruptor, pero el 2 un instante antes";"Los dos ledes encienden al presionar el interruptor, pero el 1 un instante antes";"";"";"es-electric-circuits-2"
"¿Cuál es falsa, para el circuito de la figura?";"../images/electric-circuit-09.png";"550";"La bombilla L1 se encenderá un instante antes que la L2";"La intensidad que circula por las dos bombillas es la misma";"Las dos bombillas se encenderán al presionar el interruptor";"Si la bombilla L1 se quema, la bombilla L2 no podrá encender";"";"";"es-electric-circuits-2"
"¿Cuál es falsa, para el circuito de la figura?";"../images/electric-circuit-27.png";"550";"Si cerramos uno u otro interruptor, pasará corriente por la resistencia";"Si cerramos uno y otro interruptor, pasará corriente por la resistencia";"Si cerramos los dos interruptores, pasará corriente por la resistencia";"Solo pasará corriente por la resistencia si cerramos todos los interruptores";"";"";"es-electric-circuits-2"
"¿Para qué podrías emplear el circuito de la figura?";"../images/electric-circuit-07.png";"550";"Una motosierra que actúa solo cuando presiono dos interruptores";"Un ventilador que se enciende desde dos puntos distintos";"Una alarma que se enciende desde cualquiera de los dos interruptores";"Un taladro que puede ser accionado con un interruptor o con otro";"";"";"es-electric-circuits-2"
"¿Cuál es falsa, para el circuito de la figura?";"../images/electric-circuit-06.png";"550";"La corriente pasará solo cuando cerremos los dos interruptores";"Si cerramos uno u otro interruptor, pasará corriente por la resistencia";"Para que pase la corriente, podemos cerrar cualquiera de los dos interruptores";"La corriente pasa siempre que haya por lo menos un interruptor cerrado";"";"";"es-electric-circuits-2"
"¿Cuál es falsa, para el circuito de la figura?";"../images/electric-circuit-50.png";"550";"La bombilla L1 se encenderá";"La bombilla L1 está cortocircuitada";"La intensidad no pasará por la bombilla L1 porque tiene un camino alternativo sin resistencia";"La bombilla L2 se encenderá";"";"";"es-electric-circuits-2"
"¿Cuál es verdadera para el circuito de la figura?";"../images/electric-circuit-08.png";"550";"Solo pasará corriente por la resistencia con S1 y S2 cerrados";"Si cierro el interruptor S1 pasará corriente por la resistencia";"Se cierro el interruptor S2 pasará corriente por la resistencia";"Si cierro cualquiera de los dos interruptores, pasará corriente";"";"";"es-electric-circuits-2"
"¿Cuándo pasará corriente por la resistencia?";"../images/electric-circuit-05.png";"550";"Solo si el interruptor S2 está cerrado y S1 abierto";"Si cerramos los interruptores S1 y S2";"Cerrando el interruptor S2, independientemente de cómo esté S1";"Cerrando el interruptor S2 o el S1";"";"";"es-electric-circuits-2"
"¿Cuál es falsa para el circuito de la figura?";"../images/electric-circuit-04.png";"550";"Puedo encender L1 sin encender L2 y L3";"Con el interruptor S1 abierto, no se encenderá nada";"El interruptor S1 enciende L2 y L3";"Con los dos interruptores presionados, encienden todas las bombillas";"";"";"es-electric-circuits-2"
"Para el circuito de la figura ¿Qué será cierto?";"../images/electric-circuit-21.png";"550";"El led se encenderá si únicamente está cerrado S1";"El led no se encenderá cuando S2 esté abierto";"El led se encenderá cuando presione los dos interruptores";"El led se encenderá al presionar S1, esté como esté S2";"";"";"es-electric-circuits-2"
"¿Qué ledes se encenderán?";"../images/electric-circuit-41.png";"550";"El D2, D3, D4 y D6";"El D1 y el D5";"Ninguno";"El D3 y el D4";"";"";"es-electric-circuits-2"
"¿Qué ledes se encenderán?";"../images/electric-circuit-02.png";"550";"El D1 y el D3";"El D1, D3, D4 y D6";"Ninguno";"Todos";"";"";"es-electric-circuits-2"
"¿Qué bombillas se encenderán?";"../images/electric-circuit-49.png";"550";"Ninguna";"La L3";"La L2 y la L3";"Todas";"";"";"es-electric-circuits-2"
"¿Qué ledes se encenderán?";"../images/electric-circuit-32.png";"550";"El D4";"Todos";"El D1, D3 y D4";"Ninguno";"";"";"es-electric-circuits-2"
"¿Cuándo se encenderá la bombilla L2?";"../images/electric-circuit-11.png";"550";"Siempre que esté cerrado el interruptor S1";"Con S1 cerrado, S2 abierto y S3 abierto";"Con S1 cerrado, S2 abierto y S3 cerrado";"Con S1 cerrado, S2 cerrado y S3 abierto";"";"";"es-electric-circuits-2"
"¿Puedo encender solo la bombilla L1?";"../images/electric-circuit-12.png";"550";"No";"Sí, presionando S1 y S2";"Sí, presionando S1, S2 y S3";"Sí, presionando S1 y S3";"";"";"es-electric-circuits-2"
