Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Cuál de ellas es falsa en un circuito eléctrico?";"";"";"Siempre habrá una corriente eléctrica.";"Siempre tiene que haber un generador.";"Siempre tiene que haber un receptor.";"Siempre habrá cables.";"";"";"es-electric-circuits"
"¿Cuáles son los tipos de elementos que puedo encontrar en un circuito eléctrico?";"";"";"Generadores, conductores, receptores y elementos de control.";"Generadores, conductores, aparatos eléctricos y elementos de control.";"Generadores, cables, interruptores y conmutadores.";"Pilas, cables, resistencias e interruptores.";"";"";"es-electric-circuits"
"¿Cómo se llaman los elementos de un circuito que impulsan los electrones?";"";"";"Generadores.";"Receptores.";"Conductores.";"Elementos de control.";"";"";"es-electric-circuits"
"¿Cómo se llaman los elementos de un circuito que transforman la electricidad en otro tipo de energía útil?";"";"";"Receptores.";"Generadores.";"Transformadores.";"Elementos de control.";"";"";"es-electric-circuits"
"¿Cómo se llaman los elementos de un circuito por los que circula la corriente entre un componente y otro?";"";"";"Conductores.";"Generadores.";"Elementos de control.";"Receptores.";"";"";"es-electric-circuits"
"¿Cómo se llaman los elementos de un circuito que nos permiten hacer que la corriente circule por donde nosotros queremos?";"";"";"Elementos de control.";"Generadores.";"Conductores.";"Receptores.";"";"";"es-electric-circuits"
"¿Cuál no es un generador?";"";"";"Resistencia.";"Pila.";"Batería.";"Panel solar fotovoltaico.";"";"";"es-electric-circuits"
"¿Cuál consideramos un conductor?";"";"";"Cable.";"Interruptor.";"Pulsador.";"Pila.";"";"";"es-electric-circuits"
"¿Cuál no es un receptor?";"";"";"Pila.";"Motor.";"Lámpara.";"Resistencia.";"";"";"es-electric-circuits"
"¿Cuál no es un elemento de control?";"";"";"Cable.";"Interruptor.";"Pulsador.";"Conmutador.";"";"";"es-electric-circuits"
"Un circuito eléctrico es un conjunto de componentes que ...";"";"";"generan y controlan el paso de la electricidad para producir efectos útiles.";"propagan y controlan el paso de la electricidad para producir efectos útiles.";"difunden y controlan el paso de la electricidad para producir efectos útiles.";"controlan el paso de la electricidad para producir efectos útiles.";"";"";"es-electric-circuits"
"Los circuitos están formados por cuatro tipos de componentes ...";"";"";"Receptores, conductores, generadores y elementos de control.";"Regeneradores, conductores, receptores y elementos de control.";"Conductores, receptores y elementos de control.";"Generadores, receptores, conductores y elementos de descontrol.";"";"";"es-electric-circuits"
"¿Qué son los generadores?";"";"";"Componentes encargados de generar corriente eléctrica.";"Componentes encargados de transportar corriente eléctrica.";"Componentes encargados de transformar la corriente eléctrica en un efecto útil.";"Componentes encargados de controlar el paso de la corriente eléctrica.";"";"";"es-electric-circuits"
"¿Qué son los conductores?";"";"";"Componentes encargados de transportar corriente eléctrica.";"Componentes encargados de generar corriente eléctrica.";"Componentes encargados de transformar la corriente eléctrica en un efecto útil.";"Componentes encargados de controlar el paso de la corriente eléctrica.";"";"";"es-electric-circuits"
"¿Qué son los receptores?";"";"";"Componentes encargados de transformar la corriente eléctrica en un efecto útil.";"Componentes encargados de generar corriente eléctrica.";"Componentes encargados de transportar corriente eléctrica.";"Componentes encargados de controlar el paso de la corriente eléctrica.";"";"";"es-electric-circuits"
"¿Qué son los elementos de control?";"";"";"Componentes encargados de permitir o no permitir el paso de la corriente eléctrica.";"Componentes encargados de generar corriente eléctrica.";"Componentes encargados de transportar corriente eléctrica.";"Componentes encargados de transformar la corriente eléctrica en un efecto útil.";"";"";"es-electric-circuits"
"Un ejemplo de generadores son ...";"";"";"Las pilas y baterías, las dinamos de las bicicletas, los alternadores de los automóviles o las placas solares.";"Los interruptores, pulsadores, fusibles, interruptores automáticos, diferenciales.";"Las bombillas, ventiladores, horno microondas, frigorífico, televisor.";"Los cables, barras y uniones de cobre, de aluminio, de oro o de estaño.";"";"";"es-electric-circuits"
"Un ejemplo de conductores son ...";"";"";"Los cables, barras y uniones de cobre, de aluminio, de oro o de estaño.";"Los interruptores, pulsadores, fusibles, interruptores automáticos, diferenciales.";"Las pilas y baterías, las dinamos de las bicicletas, los alternadores de los automóviles o las placas solares.";"Las bombillas, ventiladores, horno microondas, frigorífico, televisor.";"";"";"es-electric-circuits"
"Un ejemplo de receptores son ...";"";"";"Las bombillas, ventiladores, horno microondas, frigorífico, televisor.";"Los interruptores, pulsadores, fusibles, interruptores automáticos, diferenciales.";"Las pilas y baterías, las dinamos de las bicicletas, los alternadores de los automóviles o las placas solares.";"Los cables, barras y uniones de cobre, de aluminio, de oro o de estaño.";"";"";"es-electric-circuits"
"Un ejemplo de elementos de control son ...";"";"";"Los interruptores, pulsadores, fusibles, interruptores automáticos, diferenciales.";"Las pilas y baterías, las dinamos de las bicicletas, los alternadores de los automóviles o las placas solares.";"Las bombillas, ventiladores, horno microondas, frigorífico, televisor.";"Los cables, barras y uniones de cobre, de aluminio, de oro o de estaño.";"";"";"es-electric-circuits"
"El cobre se utiliza como conductor en ...";"";"";"El interior de los edificios y en los cables flexibles de los aparatos eléctricos.";"La soldadura de componentes electrónicos, por tener una temperatura de fusión mucho más baja que otros metales.";"El recubrimiento de los contactos eléctricos para evitar la oxidación y mejorar la conducción.";"Los cables de alta tensión por tener mejor resistencia mecánica, a la oxidación y ser baratos.";"";"";"es-electric-circuits"
"El aluminio y el acero se utilizan como conductores en ...";"";"";"Los cables de alta tensión por tener mejor resistencia mecánica, a la oxidación y ser baratos.";"La soldadura de componentes electrónicos, por tener una temperatura de fusión mucho más baja que otros metales.";"El recubrimiento de los contactos eléctricos para evitar la oxidación y mejorar la conducción.";"El interior de los edificios y en los cables flexibles de los aparatos eléctricos.";"";"";"es-electric-circuits"
"El oro y el níquel se utilizan como conductores en ...";"";"";"El recubrimiento de los contactos eléctricos para evitar la oxidación y mejorar la conducción.";"La soldadura de componentes electrónicos, por tener una temperatura de fusión mucho más baja que otros metales.";"Los cables de alta tensión por tener mejor resistencia mecánica, a la oxidación y ser baratos.";"El interior de los edificios y en los cables flexibles de los aparatos eléctricos.";"";"";"es-electric-circuits"
"El estaño, plomo y plata se utilizan como conductores en ...";"";"";"La soldadura de componentes electrónicos, por tener una temperatura de fusión mucho más baja que otros metales.";"El recubrimiento de los contactos eléctricos para evitar la oxidación y mejorar la conducción.";"Los cables de alta tensión por tener mejor resistencia mecánica, a la oxidación y ser baratos.";"El interior de los edificios y en los cables flexibles de los aparatos eléctricos.";"";"";"es-electric-circuits"
"Un interruptor o un pulsador es un elemento de control de ...";"";"";"Accionamiento manual.";"Protección eléctrica.";"Accionamiento automático.";"Protección manual.";"";"";"es-electric-circuits"
"Un fusible es un elemento de control de ...";"";"";"Protección eléctrica.";"Accionamiento manual.";"Accionamiento automático.";"Protección manual.";"";"";"es-electric-circuits"
"Un diferencial es un elemento de control de ...";"";"";"Protección eléctrica.";"Accionamiento manual.";"Accionamiento automático.";"Protección manual.";"";"";"es-electric-circuits"
"Un interruptor automático es un elemento de control de ...";"";"";"Protección eléctrica.";"Accionamiento manual.";"Protección manual.";"Accionamiento a distancia.";"";"";"es-electric-circuits"
"Una puerta de apertura automática tiene un elemento de control de ...";"";"";"Accionamiento automático.";"Accionamiento manual.";"Protección eléctrica.";"Protección manual.";"";"";"es-electric-circuits"
"Una luz que se apaga de forma automática tiene un elemento de control de ...";"";"";"Accionamiento automático.";"Accionamiento manual.";"Protección eléctrica.";"Protección manual.";"";"";"es-electric-circuits"
"Podemos encontrar pulsadores en ...";"";"";"Un timbre de puerta.";"La luz de una habitación.";"Un calentador eléctrico.";"Una regleta de conexiones eléctricas.";"";"";"es-electric-circuits"
"Podemos encontrar interruptores en ...";"";"";"La luz de una habitación.";"Un timbre de puerta.";"Un taladro eléctrico.";"Una batidora de cocina.";"";"";"es-electric-circuits"
