Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿A qué componente corresponde el símbolo de la figura?";"../images/electric-simbolo-pila.png";"180";"Pila";"Generador de corriente alterna";"Motor";"Toma de tierra";"";"";"es-electric-components-name"
"¿A qué componente corresponde el símbolo de la figura?";"../images/electric-simbolo-generador.png";"180";"Generador de corriente alterna";"Batería o pila";"Bombilla";"Motor eléctrico";"";"";"es-electric-components-name"
"¿A qué componente corresponde el símbolo de la figura?";"../images/electric-simbolo-pulsador-na.png";"180";"Pulsador n.a.";"Interruptor n.a.";"Conmutador n.a.";"Pila";"";"";"es-electric-components-name"
"¿A qué componente corresponde el símbolo de la figura?";"../images/electric-simbolo-interruptor.png";"180";"Interruptor";"Conmutador";"Pulsador";"Botón";"";"";"es-electric-components-name"
"¿A qué componente corresponde el símbolo de la figura?";"../images/electric-simbolo-conmutador.png";"180";"Conmutador";"Interruptor";"Pulsador";"Fusible";"";"";"es-electric-components-name"
"¿A qué componente corresponde el símbolo de la figura?";"../images/electric-simbolo-resistencia.png";"180";"Resistencia";"Pila";"Bombilla";"Interruptor";"";"";"es-electric-components-name"
"¿A qué componente corresponde el símbolo de la figura?";"../images/electric-simbolo-resistencia2.png";"180";"Resistencia";"Bombilla";"Pila";"Interruptor";"";"";"es-electric-components-name"
"¿A qué componente corresponde el símbolo de la figura?";"../images/electric-simbolo-led.png";"180";"Diodo LED";"Bombilla";"Altavoz";"Motor";"";"";"es-electric-components-name"
"¿A qué componente corresponde el símbolo de la figura?";"../images/electric-simbolo-lampara.png";"180";"Bombilla";"Diodo LED";"Motor";"Componente X";"";"";"es-electric-components-name"
"¿A qué componente corresponde el símbolo de la figura?";"../images/electric-simbolo-zumbador.png";"180";"Zumbador";"Altavoz";"Motor";"Generador Alterna";"";"";"es-electric-components-name"
"¿A qué componente corresponde el símbolo de la figura?";"../images/electric-simbolo-altavoz.png";"180";"Altavoz";"Zumbador";"Generador alterna";"Generador de continua";"";"";"es-electric-components-name"
"¿A qué componente corresponde el símbolo de la figura?";"../images/electric-simbolo-motor.png";"180";"Motor";"Zumbador";"Vatímetro";"Bombilla";"";"";"es-electric-components-name"
