Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Qué tipo de componente es una pila?";"../images/electric-simbolo-pila.png";"180";"Generador";"Receptor";"Elemento de control";"Conductor";"";"";"es-electric-components-type"
"¿Qué tipo de componente es un alternador?";"../images/electric-simbolo-alternador.png";"180";"Generador";"Receptor";"Elemento de control";"Conductor";"";"";"es-electric-components-type"
"¿Qué tipo de componente es un transformador?";"../images/electric-simbolo-transformador.png";"180";"Generador";"Receptor";"Elemento de control";"Conductor";"";"";"es-electric-components-type"
"¿Qué tipo de componente es una resistencia?";"../images/electric-simbolo-resistencia.png";"180";"Receptor";"Generador";"Elemento de control";"Conductor";"";"";"es-electric-components-type"
"¿Qué tipo de componente es una bombilla?";"../images/electric-simbolo-lampara.png";"180";"Receptor";"Generador";"Elemento de control";"Conductor";"";"";"es-electric-components-type"
"¿Qué tipo de componente es un zumbador?";"../images/electric-simbolo-zumbador.png";"180";"Receptor";"Generador";"Elemento de control";"Conductor";"";"";"es-electric-components-type"
"¿Qué tipo de componente es un altavoz?";"../images/electric-simbolo-altavoz.png";"180";"Receptor";"Generador";"Elemento de control";"Conductor";"";"";"es-electric-components-type"
"¿Qué tipo de componente es un motor?";"../images/electric-simbolo-motor.png";"180";"Receptor";"Generador";"Elemento de control";"Conductor";"";"";"es-electric-components-type"
"¿Qué tipo de componente es un condensador?";"../images/electric-simbolo-condensador.png";"180";"Receptor";"Generador";"Elemento de control";"Conductor";"";"";"es-electric-components-type"
"¿Qué tipo de componente es un condensador polarizado?";"../images/electric-simbolo-condensador-pol.png";"180";"Receptor";"Generador";"Elemento de control";"Conductor";"";"";"es-electric-components-type"
"¿Qué tipo de componente es una bobina?";"../images/electric-simbolo-inductancia.png";"180";"Receptor";"Generador";"Elemento de control";"Conductor";"";"";"es-electric-components-type"
"¿Qué tipo de componente es un pulsador n.a.?";"../images/electric-simbolo-pulsador-na.png";"180";"Elemento de control";"Receptor";"Generador";"Conductor";"";"";"es-electric-components-type"
"¿Qué tipo de componente es un interruptor?";"../images/electric-simbolo-interruptor.png";"180";"Elemento de control";"Receptor";"Generador";"Conductor";"";"";"es-electric-components-type"
"¿Qué tipo de componente es un conmutador?";"../images/electric-simbolo-conmutador.png";"180";"Elemento de control";"Receptor";"Generador";"Conductor";"";"";"es-electric-components-type"
"¿Qué tipo de componente es un fusible?";"../images/electric-simbolo-fusible.png";"180";"Elemento de control";"Receptor";"Generador";"Conductor";"";"";"es-electric-components-type"
"¿Qué tipo de componente es un pulsador n.c.?";"../images/electric-simbolo-pulsador-nc.png";"180";"Elemento de control";"Receptor";"Generador";"Conductor";"";"";"es-electric-components-type"
"¿Qué tipo de componente es un Final de carrera?";"../images/electric-simbolo-final-carrera.png";"180";"Elemento de control";"Receptor";"Generador";"Conductor";"";"";"es-electric-components-type"
"¿Qué tipo de componente es un relé?";"../images/electric-simbolo-rele.png";"180";"Elemento de control";"Receptor";"Generador";"Conductor";"";"";"es-electric-components-type"
"¿Qué tipo de componente es un voltímetro?";"../images/electric-simbolo-voltimetro.png";"180";"Instrumento de medida";"Receptor";"Generador";"Elemento de control";"";"";"es-electric-components-type"
