Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Cuál será el voltaje en el punto 'a'?";"../images/electric-voltEnA644.png";"500";"3V";"6V";"4V";"No se puede saber sin el dato de la intensidad";"";"";"es-electric-ohms-law-3"
"¿Cuál será el voltaje en el punto 'a'?";"../images/electric-voltEnA60044.png";"500";"300V";"3V";"400V";"150V";"";"";"es-electric-ohms-law-3"
"¿Cuál será el voltaje en el punto 'a'?";"../images/electric-voltEnA622.png";"500";"3V";"6V";"2V";"4V";"";"";"es-electric-ohms-law-3"
"¿Cuál será el voltaje en el punto 'a'?";"../images/electric-voltEnA62K2K.png";"500";"3V";"3KV";"0,003V";"0,00003V";"";"";"es-electric-ohms-law-3"
"¿Cuál será el voltaje en el punto 'a'?";"../images/electric-voltEnA61K1.png";"500";"Casi 0V";"Casi 6V";"Sobre 3V";"Más de 6V";"";"";"es-electric-ohms-law-3"
"¿Cuál será el voltaje en el punto 'a'?";"../images/electric-voltEnA611K.png";"500";"Casi 6V";"Casi 0V";"Sobre 3V";"Más de 6V";"";"";"es-electric-ohms-law-3"
"¿Cuál será el voltaje en el punto 'a'?";"../images/electric-voltEnA642.png";"500";"2V";"4V";"3V";"6V";"";"";"es-electric-ohms-law-3"
"¿Por qué circuito circulará más corriente?";"../images/electric-leiOhmSameVolt.png";"500";"Por el 1";"Por el 2";"Por el 3";"Por el 4";"";"";"es-electric-ohms-law-3"
"¿Por qué circuito circulará más corriente?";"../images/electric-leiOhmSameRes.png";"500";"Por el 2";"Por el 1";"Por el 3";"Por el 4";"";"";"es-electric-ohms-law-3"
"¿Por qué circuito circulará más corriente?";"../images/electric-leiOhmSameVoltDecimalOhm.png";"500";"Por el 3";"Por el 2";"Por el 1";"Por el 4";"";"";"es-electric-ohms-law-3"
"¿Por qué circuito circulará más corriente?";"../images/electric-leiOhmSameVoltKohm.png";"500";"Por el 2";"Por el 1";"Por el 3";"Por el 4";"";"";"es-electric-ohms-law-3"
"¿Por qué circuito circulará más corriente?";"../images/electric-leiOhmDifVoltDifRes.png";"500";"Por el 4";"Por el 1";"Por el 2";"Por el 3";"";"";"es-electric-ohms-law-3"
