Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Cuál es la función de la fuente de alimentación en un ordenador?";"";"";"Alimentar con energía eléctrica a todos los componentes del ordenador.";"Controlar el flujo de información en el ordenador.";"Regular la temperatura del ordenador.";"Conectar el ordenador a la red.";"";"";"es-hardware-auxiliares-2"
"¿Qué voltaje y tipo de corriente utiliza la fuente de alimentación para alimentar a los componentes del ordenador?";"";"";"Baja tensión y corriente continua.";"Alta tensión y corriente alterna.";"Baja tensión y corriente alterna.";"Alta tensión y corriente continua.";"";"";"es-hardware-auxiliares-2"
"¿Cuál es el componente del ordenador que suele tener mayor demanda de corriente eléctrica?";"";"";"Tarjeta gráfica.";"Disco duro.";"Procesador.";"Placa base.";"";"";"es-hardware-auxiliares-2"
"¿Por qué es importante que la fuente de alimentación tenga suficiente potencia y corriente?";"";"";"Para alimentar todos los componentes del ordenador y la tarjeta gráfica.";"Para regular la temperatura del ordenador.";"Para proteger el ordenador de apagones eléctricos.";"Para reducir el consumo de energía eléctrica del ordenador.";"";"";"es-hardware-auxiliares-2"
"¿Qué tipo de dispositivos suelen utilizar una fuente de alimentación con salida USB-C?";"";"";"Teléfonos móviles y tabletas.";"Ordenadores de sobremesa.";"Televisores y equipos de sonido.";"Cámaras de fotografía y vídeo.";"";"";"es-hardware-auxiliares-2"
"¿Qué características tienen los adaptadores para enchufe con salida USB-C?";"";"";"Potencia cada vez mayor, desde 18W hasta 80W o más.";"Potencia cada vez menor, desde 80W hasta 18W o menos.";"Potencia constante de 10W.";"Potencia variable entre 1W y 5W.";"";"";"es-hardware-auxiliares-2"
"¿Qué es un sistema de alimentación ininterrumpida (SAI)?";"";"";"Un dispositivo con una batería recargable en su interior.";"Un componente que regula la temperatura del ordenador.";"Un dispositivo que controla el flujo de información en el ordenador.";"Un componente que aumenta la potencia de la fuente de alimentación.";"";"";"es-hardware-auxiliares-2"
"¿Qué función tiene un SAI durante un apagón eléctrico?";"";"";"Proporcionar alimentación eléctrica al ordenador durante unos minutos.";"Proporcionar alimentación eléctrica al ordenador durante unas horas.";"Apagar automáticamente el ordenador.";"Proteger el ordenador de daños eléctricos.";"";"";"es-hardware-auxiliares-2"
"¿Por qué es importante que el cambio de funcionamiento de la SAI durante un apagón eléctrico sea rápido?";"";"";"Para evitar que el ordenador se apague.";"Para evitar que se dañen los componentes del ordenador.";"Para proteger el SAI de daños eléctricos.";"Para reducir el consumo de energía eléctrica del ordenador.";"";"";"es-hardware-auxiliares-2"
"¿Qué ventaja tiene utilizar un SAI en un ordenador?";"";"";"Permite que el ordenador siga funcionando durante unos minutos en caso de apagón eléctrico.";"Reduce el consumo de energía eléctrica del ordenador.";"Aumenta la velocidad del ordenador.";"Mejora la calidad del sonido del ordenador.";"";"";"es-hardware-auxiliares-2"
