Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Qué son los controladores programables?";"";"";"Pequeños ordenadores de baja potencia.";"Grandes ordenadores de alta potencia.";"Herramientas mecánicas que complementan a los ordenadores.";"Instrumentos de medición computerizados.";"";"";"es-hardware-clasificacion-2"
"¿Para qué se utilizan los controladores programables en la industria?";"";"";"Para mover máquinas de forma automática y controlar procesos industriales.";"Para realizar mediciones de consumo eléctrico a distancia.";"Para encender bombillas mediante conexión wifi.";"Para controlar máquinas expendedoras.";"";"";"es-hardware-clasificacion-2"
"¿Cómo se denominan los controladores programables especializados utilizados en la industria?";"";"";"PLC y SCADA.";"Arduino UNO.";"Raspberry Pi.";"Controladores de automatización.";"";"";"es-hardware-clasificacion-2"
"¿Qué es Internet de las cosas (IoT)?";"";"";"Pequeños controladores añadidos a objetos cotidianos y conectados a internet.";"Pequeños controladores añadidos a objetos cotidianos, sin conexión a internet.";"Una red social novedosa, desarrollada por una empresa china.";"Un proveedor de servicios de internet.";"";"";"es-hardware-clasificacion-2"
"¿Qué arquitectura tiene la placa Arduino UNO?";"";"";"8 bits";"16 bits";"32 bits";"64 bits";"";"";"es-hardware-clasificacion-2"
"¿Cuánta memoria de programa tiene la placa Arduino UNO?";"";"";"32 kilobytes";"16 kilobytes";"8 Megabytes";"4 Megabytes";"";"";"es-hardware-clasificacion-2"
"¿Qué es un wearable o tecnología vestible?";"";"";"Un pequeño ordenador incorporado a prendas de vestir";"Una aplicación para el móvil";"Una herramienta de jardinería";"Un dispositivo de cocina";"";"";"es-hardware-clasificacion-2"
"¿Para qué puede ser utilizada la tecnología wearable?";"";"";"Para monitorizar la salud de los usuarios";"Para escuchar música";"Para jugar videojuegos";"Para navegar por internet";"";"";"es-hardware-clasificacion-2"
"¿Qué son los ordenadores de una sola placa (SBC)?";"";"";"Ordenadores completos en una sola placa de circuito impreso de tamaño reducido.";"Componentes periféricos de un ordenador más grande.";"Una herramienta para la construcción de ordenadores.";"Una herramienta de programación de software para ordenadores.";"";"";"es-hardware-clasificacion-2"
"¿Qué incluyen los ordenadores de una sola placa (SBC)?";"";"";"CPU, RAM, periféricos, conectores y demás componentes típicos de un ordenador.";"Solo CPU y RAM.";"Solo periféricos y conectores.";"Solo componentes de una placa de circuito impreso.";"";"";"es-hardware-clasificacion-2"
"¿Qué es la placa Raspberry Pi?";"";"";"Un ordenador en una sola tarjeta, de bajo costo.";"Una aplicación para el móvil.";"Una herramienta de construcción de ordenadores.";"Un ordenador de sobremesa de bajo costo.";"";"";"es-hardware-clasificacion-2"
"¿Qué sistema operativo ejecuta la placa Raspberry Pi?";"";"";"Linux";"Windows";"iOS";"Android";"";"";"es-hardware-clasificacion-2"
"¿Qué función tienen los SmartTV?";"";"";"Añadir inteligencia a una televisión tradicional.";"Añadir complejidad a una televisión tradicional.";"Aumentar la calidad de imagen de una televisión tradicional.";"Controlar de forma inteligente el entorno de la televisión.";"";"";"es-hardware-clasificacion-2"
"¿Cuáles son algunos de los SmartTV más conocidos?";"";"";"Google Chromecast, Amazon Fire TV y Apple TV";"Google Chromecast, Amazon Fire TV, Sony Playstation";"Sony Playstation, Apple TV y Samsung TV";"Panasonic Chromecast, Toshiba Fire TV y Philips TV";"";"";"es-hardware-clasificacion-2"
"¿Qué son las videoconsolas?";"";"";"Ordenadores orientados a ejecutar videojuegos";"Herramientas para editar videos";"Reproductores de música";"Ninguna de las anteriores";"";"";"es-hardware-clasificacion-2"
"¿Qué limitación tienen las videoconsolas respecto a los juegos disponibles?";"";"";"La disponibilidad de muchos de estos juegos está limitada a una sola plataforma";"No pueden ejecutar videojuegos";"Solo pueden ejecutar juegos en línea";"Solo pueden ejecutar juegos que demanden poca potencia de cálculo.";"";"";"es-hardware-clasificacion-2"
"¿Qué polémica ha ocasionado la incorporación de ordenadores en las SmartTV?";"";"";"Que pueden grabar las conversaciones de su alrededor y enviarlas al fabricante por internet.";"Que no funcionan correctamente con las señales de televisión tradicional.";"Que son demasiado caras.";"Que no pueden reproducir películas grabadas en una memoria USB.";"";"";"es-hardware-clasificacion-2"
"¿Cuáles son los sistemas operativos más comunes en los smartphones?";"";"";"Android y iOS";"Windows y macOS";"Linux y Unix";"Java y Ruby";"";"";"es-hardware-clasificacion-2"
"¿Qué funciones añade un servidor NAS a una red de ordenadores?";"";"";"Permite compartir archivos de datos";"Controla la temperatura del hardware de los ordenadores";"Realiza copias de seguridad automáticas de los archivos";"Ejecuta programas de ofimática en línea";"";"";"es-hardware-clasificacion-2"
"¿Qué es una tableta?";"";"";"Un pequeño ordenador basado en una pantalla táctil.";"Un dispositivo de comunicación que solo permite llamadas telefónicas.";"Un sistema operativo para ordenadores de escritorio.";"Un periférico para ordenadores de escritorio.";"";"";"es-hardware-clasificacion-2"
"¿Cuál es la diferencia principal entre una tableta y un teléfono inteligente?";"";"";"El tamaño de la pantalla.";"El sistema operativo.";"La capacidad de conectarse a internet.";"Los periféricos que pueden añadirse.";"";"";"es-hardware-clasificacion-2"
"¿Qué es un ordenador portátil?";"";"";"Un ordenador personal capaz de realizar todas las tareas de un ordenador de escritorio, pero con un pequeño tamaño y batería incluida.";"Un dispositivo de almacenamiento de datos que se puede transportar fácilmente.";"Un tipo de ordenador especializado en la conexión a internet.";"Un periférico para ordenadores de escritorio.";"";"";"es-hardware-clasificacion-2"
"¿Qué son los Netbooks?";"";"";"Ordenadores portátiles pensados para conectarse a internet y con un sistema operativo ligero.";"Dispositivos electrónicos que permiten compartir archivos de datos en una red de ordenadores.";"Ordenadores especializados en la ejecución de videojuegos.";"Un tipo de ordenador que se utiliza para monitorizar la salud de los usuarios.";"";"";"es-hardware-clasificacion-2"
"¿Qué es un tabléfono o phablet?";"";"";"Un teléfono inteligente con un tamaño mayor del habitual (mayor de 6 pulgadas de diagonal).";"Un dispositivo de comunicación que solo permite enviar mensajes de texto.";"Un tipo de ordenador portátil con una pantalla táctil.";"Un dispositivo que permite ver contenidos de televisión en streaming.";"";"";"es-hardware-clasificacion-2"
"¿Qué es un servidor de datos NAS?";"";"";"Un tipo de ordenador dedicado que permite compartir archivos de datos en una red de ordenadores.";"Un dispositivo que convierte señales digitales en señales analógicas.";"Un tipo de ordenador portátil con una gran capacidad de almacenamiento.";"Un dispositivo que se utiliza para monitorizar la salud de los usuarios.";"";"";"es-hardware-clasificacion-2"
"¿Qué es un teléfono inteligente?";"";"";"Un dispositivo que combina las funciones de un teléfono móvil con las de un ordenador de bolsillo.";"Un tipo de ordenador especializado en la ejecución de videojuegos.";"Un tipo de ordenador portátil con una gran capacidad de almacenamiento.";"Un dispositivo que se utiliza para ver contenidos de televisión en streaming.";"";"";"es-hardware-clasificacion-2"
"¿Qué tipo de ordenador suele denominarse como "PC"?";"";"";"Microordenador de escritorio";"Ordenador portátil";"Tableta";"Mainframe";"";"";"es-hardware-clasificacion-2"
"¿Cuál es el sistema operativo más común en los ordenadores personales?";"";"";"Windows";"Android";"iOS";"Linux";"";"";"es-hardware-clasificacion-2"
"¿Cómo se denominan los ordenadores personales de altas prestaciones?";"";"";"Estación de trabajo";"Mainframe";"Netbook";"Servidor de datos NAS";"";"";"es-hardware-clasificacion-2"
"¿Para qué tipo de aplicaciones se utilizan principalmente los mainframes?";"";"";"Aplicaciones críticas que requieren ordenadores muy fiables y con gran capacidad de almacenamiento.";"Videojuegos.";"Navegación web.";"Edición de vídeo y fotografía.";"";"";"es-hardware-clasificacion-2"
"¿Cuándo comenzaron a venderse los primeros ordenadores personales compatibles?";"";"";"En 1981";"En 1991";"En 2001";"En 2005";"";"";"es-hardware-clasificacion-2"
"¿Para qué se utilizan principalmente los ordenadores personales de escritorio?";"";"";"Uso general por una persona.";"Aplicaciones críticas que requieren ordenadores muy fiables y con gran capacidad de almacenamiento.";"Realizar operaciones bancarias.";"Compartir archivos de datos en una red de ordenadores.";"";"";"es-hardware-clasificacion-2"
"¿Qué es un clúster de ordenadores?";"";"";"Un gran ordenador compuesto por varios ordenadores unidos entre sí";"Un ordenador personal con capacidad de almacenamiento elevada";"Un tipo de servidor para aplicaciones críticas";"Un tipo de ordenador portátil muy ligero";"";"";"es-hardware-clasificacion-2"
"¿Qué función tiene un superordenador?";"";"";"Realizar grandes cálculos y manejar grandes cantidades de datos";"Conectar diferentes dispositivos en una red";"Ser utilizado por grandes organizaciones para aplicaciones críticas";"Funcionar como un conjunto de ordenadores unidos entre sí";"";"";"es-hardware-clasificacion-2"
"¿Qué sistema operativo suelen utilizar los clúster de ordenadores?";"";"";"Linux";"Windows";"MacOS";"Android";"";"";"es-hardware-clasificacion-2"
