Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Qué es el elemento (1)?";"../images/informatica-pc-exploded.png";"480";"Un monitor.";"Un periférico alternativo.";"Una televisión.";"Un visualizador.";"";"";"es-hardware-pc-2"
"¿Qué es el elemento (2)?";"../images/informatica-pc-exploded.png";"480";"La placa base.";"La placa fundamental.";"La placa de circuito impreso.";"La base madre.";"";"";"es-hardware-pc-2"
"¿Qué es el elemento (3)?";"../images/informatica-pc-exploded.png";"480";"CPU y zócalo.";"Memoria RAM y zócalo.";"Tarjeta de expansión.";"Pila de la placa base.";"";"";"es-hardware-pc-2"
"¿Qué es el elemento (4)?";"../images/informatica-pc-exploded.png";"480";"Memoria RAM de tipo DIMM.";"Memoria ROM de tipo DIMM.";"CPU y zócalo.";"Tarjeta de expansión.";"";"";"es-hardware-pc-2"
"¿Qué es el elemento (5)?";"../images/informatica-pc-exploded.png";"480";"Tarjetas de expansión sobre ranura PCI";"Tarjetas de expansión sobre ranura DIMM";"Tarjetas de expansión sobre zócalo de CPU";"Tarjetas de memoria RAM sobre ranura DIMM";"";"";"es-hardware-pc-2"
"¿Qué es el elemento (6)?";"../images/informatica-pc-exploded.png";"480";"Fuente de alimentación.";"Disco duro.";"Ventilador de la caja.";"Lector de tarjetas de memoria.";"";"";"es-hardware-pc-2"
"¿Qué es el elemento (7)?";"../images/informatica-pc-exploded.png";"480";"Lector de discos ópticos.";"Lector de discos duros.";"Lector de tarjetas de memoria.";"Lector de discos de expansión.";"";"";"es-hardware-pc-2"
"¿Qué es el elemento (8)?";"../images/informatica-pc-exploded.png";"480";"Disco duro.";"Lector de discos ópticos.";"Ventilador de la caja.";"Fuente de alimentación.";"";"";"es-hardware-pc-2"
"¿Qué es el elemento (9)?";"../images/informatica-pc-exploded.png";"480";"Teclado.";"Ratón.";"Tableta táctil.";"Dispositivo apuntador.";"";"";"es-hardware-pc-2"
"¿Qué es el elemento (10)?";"../images/informatica-pc-exploded.png";"480";"Ratón";"Tableta gráfica";"Dispositivo táctil";"Mause";"";"";"es-hardware-pc-2"
"La memoria ROM, es la encargada de ...";"../images/informatica-esquema-ordenador-02.png";"380";"almacenar a largo plazo los programas y los datos, aunque el ordenador esté apagado.";"almacenar a largo plazo los programas y los datos, mientras el ordenador está encendido.";"procesar los programas y los datos.";"transportar los datos desde la memoria RAM hasta la CPU.";"";"";"es-hardware-pc-2"
"La memoria RAM, es la encargada de ...";"../images/informatica-esquema-ordenador-02.png";"380";"almacenar los programas y los datos para que el procesador pueda trabajar con ellos.";"almacenar a largo plazo los programas y los datos, aunque el ordenador esté apagado.";"procesar los programas y los datos.";"transportar los datos desde la memoria ROM hasta la CPU.";"";"";"es-hardware-pc-2"
"La CPU o unidad central de proceso es ...";"../images/informatica-esquema-ordenador-02.png";"380";"el "cerebro" del ordenador, el elemento que procesa los programas y los datos.";"el "cerebro" del ordenador, el elemento que procesa los datos de la ROM hacia la RAM.";"el "cerebro" del ordenador, el elemento que procesa los datos moviéndolos entre las memorias.";"el "cerebro" del ordenador, el elemento que procesa los programas, pero no los datos.";"";"";"es-hardware-pc-2"
"El sistema de entrada/salida ...";"../images/informatica-esquema-ordenador-02.png";"380";"conecta el ordenador con el exterior y transporta información.";"conecta el ordenador interiormente y transporta información.";"el "cerebro" del ordenador, el elemento que procesa los programas y los datos.";"se encarga de la entrada de datos al ordenador, la salida de datos y el almacenamiento externo.";"";"";"es-hardware-pc-2"
"Los periféricos se encargan de realizar ...";"../images/informatica-esquema-ordenador-02.png";"380";"la entrada de datos al ordenador, la salida de datos y el almacenamiento externo.";"la entrada de datos al ordenador, la salida de datos y el almacenamiento interno de datos.";"la entrada de datos al ordenador y el almacenamiento externo.";"el procesamiento de la información y de los programas.";"";"";"es-hardware-pc-2"
