Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Qué es un procesador?";"";"";"Es el "cerebro" del ordenador, donde se realizan las operaciones dictadas por los programas.";"Es el "cerebro" del ordenador, donde se realizan las operaciones dictadas por los archivos de datos.";"Es la "memoria" del ordenador, donde se almacenan los programas y datos que se manejan en un ordenador.";"Son los "sentidos" del ordenador, donde se recogen los datos que el ordenador posteriormente va a almacenar y tratar.";"";"";"es-hardware-procesadores-3"
"¿Qué es una CPU?";"";"";"El procesador principal de un ordenador.";"El procesador principal de una tarjeta gráfica.";"El procesador principal de un disco duro.";"El procesador principal de una red de datos.";"";"";"es-hardware-procesadores-3"
"¿Qué tipo de operaciones puede realizar una CPU?";"";"";"Lógicas, aritméticas y de movimiento de datos.";"Lógicas, de sonido y de movimiento de datos.";"De sonido, aritméticas y de movimiento de datos.";"De sonido, gráficas y de movimiento de datos.";"";"";"es-hardware-procesadores-3"
"¿Cuál es el componente más complejo de un ordenador?";"";"";"La CPU.";"Los buses de datos.";"El disco duro.";"La memoria RAM.";"";"";"es-hardware-procesadores-3"
"¿Cuántos transistores tiene aproximadamente una CPU de ordenador personal de 2022?";"";"";"De 25 000 millones a 100 000 millones.";"De 1 000 millones a 10 000 millones.";"De 500 millones a 5 000 millones.";"De 100 millones a 1 000 millones.";"";"";"es-hardware-procesadores-3"
"¿Cuáles son las empresas más conocidas en la fabricación de CPU para ordenadores personales y servidores?";"";"";"Intel y AMD.";"Apple y Samsung.";"IBM y HP.";"Dell y Lenovo.";"";"";"es-hardware-procesadores-3"
"¿Qué tipo de arquitectura utilizan las CPU en los teléfonos, tabletas, televisores y otros dispositivos inteligentes?";"";"";"CPU de arquitectura ARM.";"CPU de arquitectura x86.";"CPU de arquitectura PowerPC.";"CPU de arquitectura MIPS.";"";"";"es-hardware-procesadores-3"
"¿Qué es un coprocesador matemático?";"";"";"Un tipo de procesador especializado en realizar operaciones matemáticas en coma flotante.";"Un tipo de procesador especializado en realizar operaciones lógicas.";"Un tipo de procesador especializado en almacenar datos.";"Un tipo de procesador especializado en mostrar imágenes en pantalla.";"";"";"es-hardware-procesadores-3"
"¿En qué consisten las operaciones matemáticas en coma flotante?";"";"";"Operaciones con números con decimales.";"Operaciones con números enteros.";"Operaciones con fracciones.";"Operaciones con letras y símbolos.";"";"";"es-hardware-procesadores-3"
"¿Qué tipo de programas se benefician de la presencia de un coprocesador matemático?";"";"";"Programas de diseño por ordenador en 2 y 3 dimensiones, hojas de cálculo y software científico.";"Programas de navegación web y redes sociales.";"Programas de edición de texto y correo electrónico.";"Programas de juegos y entretenimiento.";"";"";"es-hardware-procesadores-3"
"¿Dónde se encuentran integrados los coprocesadores matemáticos en la actualidad?";"";"";"Dentro del mismo chip de las CPU más potentes.";"En circuitos separados de la CPU.";"En las tarjetas gráficas.";"En dispositivos externos conectados a la CPU.";"";"";"es-hardware-procesadores-3"
"¿Existen coprocesadores matemáticos especializados en multimedia?";"";"";"Sí, se llaman coprocesadores MMX.";"No, todos los coprocesadores son iguales.";"Sí, se llaman MP3 y aceleran la reproducción de audio.";"Sí, se llaman MP4 y aceleran la reproducción de audio y video.";"";"";"es-hardware-procesadores-3"
"¿Qué ventajas ofrecen los coprocesadores matemáticos especializados en multimedia?";"";"";"Permiten trabajar velozmente y sin problemas con video en alta definición.";"Permiten almacenar y reproducir gran cantidad de archivos de ofimática.";"Permiten enviar y recibir información por internet a gran velocidad.";"Permiten mostrar imágenes y vídeos en 3D.";"";"";"es-hardware-procesadores-3"
"¿Qué es una GPU?";"";"";"Un procesador especializado en calcular gráficos.";"Un dispositivo para almacenar datos.";"Una herramienta para navegar por internet.";"Un componente para el procesamiento de texto.";"";"";"es-hardware-procesadores-3"
"¿Qué pueden realizar las pequeñas GPU integradas en las CPU actuales?";"";"";"Para manejar programas ofimáticos o navegar por internet.";"Para manejar videojuegos y programas de diseño.";"Para realizar operaciones matemáticas complejas.";"Para almacenar grandes cantidades de datos.";"";"";"es-hardware-procesadores-3"
"¿Por qué se utilizan tarjetas gráficas especializadas en los ordenadores de mayor potencia?";"";"";"Para manejar videojuegos, programas de diseño o edición de vídeo.";"Para navegar por internet.";"Para realizar operaciones matemáticas complejas.";"Para almacenar grandes cantidades de datos.";"";"";"es-hardware-procesadores-3"
"¿Qué es el antialiasing?";"";"";"Suavizar bordes de las figuras.";"Dibujar triángulos y cuadrados.";"Realizar operaciones matemáticas complejas.";"Almacenar grandes cantidades de datos comprimidos.";"";"";"es-hardware-procesadores-3"
"¿Qué consumo eléctrico tienen las tarjetas gráficas especializadas en comparación con la CPU?";"";"";"Pueden tener un consumo mayor que la CPU.";"Siempre tienen un consumo menor que la CPU.";"Tienen un consumo semejante al de una CPU.";"El consumo de una tarjeta gráfica es muy bajo.";"";"";"es-hardware-procesadores-3"
"¿Qué es una TPU?";"";"";"Una unidad de procesamiento tensorial dedicada al cálculo intensivo de operaciones de redes neuronales.";"Una unidad de procesamiento gráfico especializada en cálculos matemáticos de vectores gráficos.";"Una unidad de procesamiento central especializada en cálculos de punto flotante.";"Una unidad de almacenamiento de datos utilizada en ordenadores personales.";"";"";"es-hardware-procesadores-3"
"¿Para qué se utiliza una TPU?";"";"";"Para acelerar procesos de inteligencia artificial como el reconocimiento facial o el procesamiento de voz.";"Para realizar operaciones de dibujo en tres dimensiones.";"Para manejar programas ofimáticos o navegar por internet.";"Para calcular operaciones matemáticas complejas.";"";"";"es-hardware-procesadores-3"
"¿Quién inventó el circuito TPU?";"";"";"Google.";"Apple.";"Intel.";"AMD.";"";"";"es-hardware-procesadores-3"
"¿En qué tipo de dispositivos se están incorporando capacidades semejantes a las de las TPU?";"";"";"En los procesadores de los teléfonos inteligentes.";"En las tarjetas gráficas de ordenadores personales.";"En los discos duros de ordenadores personales.";"En las CPU de los ordenadores personales.";"";"";"es-hardware-procesadores-3"
"¿Qué es un DSP?";"";"";"Un procesador especializado en ejecutar operaciones numéricas relacionadas con el tratamiento de señales.";"Un procesador especializado en ejecutar operaciones numéricas relacionadas con el procesamiento de texto.";"Un procesador especializado en ejecutar operaciones numéricas relacionadas con el tratamiento de señales de radio.";"Un procesador especializado en ejecutar operaciones numéricas relacionadas con el tratamiento de señales de audio y vídeo.";"";"";"es-hardware-procesadores-3"
"¿Cuáles son las aplicaciones típicas de un DSP?";"";"";"Tratamiento en tiempo real de señales de audio, voz, imagen, vídeo, etc.";"Tratamiento en tiempo real de señales de radio y televisión.";"Tratamiento de señales de texto y procesamiento de datos.";"Tratamiento de señales de radio y procesamiento de audio.";"";"";"es-hardware-procesadores-3"
"¿Qué se puede lograr con el DSP en el campo médico?";"";"";"Hacer más claras las imágenes de órganos en los equipos de diagnóstico médico por ultrasonidos o por resonancia magnética.";"Crear gráficos y tablas médicas a partir de datos de pacientes.";"Realizar pruebas de laboratorio en tiempo real.";"Realizar diagnósticos médicos más precisos mediante aplicaciones avanzadas de Inteligencia Artificial.";"";"";"es-hardware-procesadores-3"
"¿Cuál es una de las aplicaciones de un DSP en la música?";"";"";"Ajustes de auto-tune en la voz de los cantantes.";"Creación de partituras musicales a partir de grabaciones.";"Composición automática de canciones.";"Creación de efectos de sonido para películas.";"";"";"es-hardware-procesadores-3"
"¿Cómo puede un DSP ayudar en la fotografía digital?";"";"";"Comprime fotografías en formato JPG en las cámaras digitales.";"Convertir imágenes de formato analógico a formato digital.";"Genera nuevas imágenes digitales gracias a la Inteligencia Artificial.";"Ninguna de las anteriores.";"";"";"es-hardware-procesadores-3"
"¿Qué significa DSP?";"";"";"Procesador de señales digitales.";"Procesador de texto y señales digitales.";"Procesador de señales de radio.";"Procesador de señales de video.";"";"";"es-hardware-procesadores-3"
"¿Qué es un microcontrolador?";"";"";"Un pequeño ordenador contenido en un solo chip.";"Un periférico de entrada/salida.";"Un disco duro de alta capacidad.";"Una tarjeta gráfica especializada.";"";"";"es-hardware-procesadores-3"
"¿Qué componentes se incluyen en un microcontrolador?";"";"";"CPU, memoria RAM, memoria ROM y periféricos de entrada/salida.";"Solo CPU y memoria RAM.";"Solo memoria Flash ROM y periféricos de entrada/salida.";"Solo CPU y periféricos de entrada/salida.";"";"";"es-hardware-procesadores-3"
"¿Cuál es la función principal de los microcontroladores?";"";"";"Controlar periféricos y automatizar dispositivos cotidianos.";"Procesar información de audio y vídeo.";"Realizar cálculos complejos para la CPU principal.";"Procesar gráficos en tres dimensiones.";"";"";"es-hardware-procesadores-3"
"¿Cómo ayuda el uso de microcontroladores a la CPU principal?";"";"";"Descargándola de las tareas de control de los periféricos.";"Acelerando el procesamiento de información.";"Aumentando la capacidad de memoria RAM.";"Mejorando la calidad de imagen en pantallas.";"";"";"es-hardware-procesadores-3"
"¿Qué tipo de dispositivos cotidianos se pueden automatizar con microcontroladores?";"";"";"Microondas, lavadoras, cerraduras electrónicas, ascensores, etc.";"Teléfonos inteligentes, tabletas, computadoras portátiles, etc.";"Teléfonos inteligentes, tabletas, tarjetas gráficas, etc.";"Automóviles con conducción autónoma, piloto automático de aviones, etc.";"";"";"es-hardware-procesadores-3"
"¿Qué tipos de periféricos pueden controlar los microcontroladores?";"";"";"Teclados, ratones, cámaras web, monitores, discos duros, entre otros.";"Altavoces, micrófonos, cámaras de video, entre otros.";"Tarjetas gráficas, unidades de procesamiento tensorial, entre otros.";"Ninguna de las anteriores es correcta.";"";"";"es-hardware-procesadores-3"
"¿Qué significa FPGA?";"";"";"Procesador basado en puertas lógicas programables";"Sistema de comunicaciones inalámbricas";"Lenguaje de programación orientado a objetos";"Sistema de almacenamiento de datos en la nube";"";"";"es-hardware-procesadores-3"
