Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Cuál es una idea común sobre la tecnología, pero está equivocada?";"";"";"La tecnología solo incluye objetos modernos como computadoras.";"La tecnología ha existido desde hace mucho tiempo.";"La tecnología tiene relación con mejorar nuestras vidas.";"La tecnología se limita a los medios de comunicación.";"";"";"es-historia-tecnologia-prehistoria"
"¿Qué ejemplos son mencionados como tecnología en el texto?";"";"";"Ropa y bolígrafos.";"Montañas y ríos.";"Animales y plantas.";"Cielo y nubes.";"";"";"es-historia-tecnologia-prehistoria"
"¿Cuál es una afirmación correcta sobre la relación entre tecnología y humanidad?";"";"";"La actividad tecnológica es algo tan viejo como la humanidad.";"La tecnología solo se refiere a objetos grandes y costosos.";"Los libros y la ropa son ejemplos de tecnología antigua.";"La tecnología no tiene impacto en nuestras condiciones de vida.";"";"";"es-historia-tecnologia-prehistoria"
"¿Cuál es el periodo de tiempo que abarca la prehistoria?";"";"";"Desde la aparición del primer humano hasta la invención de la escritura.";"Desde la invención de la escritura hasta la actualidad.";"Desde hace aproximadamente 5000 años hasta la actualidad.";"Desde la invención de la agricultura hasta la invención de la escritura.";"";"";"es-historia-tecnologia-prehistoria"
"¿Cuál fue la primera actividad tecnológica del ser humano durante el Paleolítico?";"";"";"Afilar piedras para cazar y cortar alimentos.";"Cazar grandes animales.";"Construir viviendas.";"Cultivar la tierra y criar animales.";"";"";"es-historia-tecnologia-prehistoria"
"¿Cómo vivían las primeras tribus o comunidades humanas durante el Paleolítico?";"";"";"Vivían de la caza y recolección, eran nómadas.";"Vivían en ciudades fortificadas.";"Eran sedentarios y cultivaban la tierra.";"Vivían en viviendas de piedra muy rudimentarias.";"";"";"es-historia-tecnologia-prehistoria"
"¿Qué permitió el descubrimiento del fuego durante el Paleolítico?";"";"";"Cocinar alimentos. Protegerse del frío y de animales salvajes.";"Mejorar la tecnología de caza.";"Desarrollar viviendas más seguras y con mayor confort gracias al calor.";"Desarrollar inventos como el cristal.";"";"";"es-historia-tecnologia-prehistoria"
"¿Qué implica el modo de vida nómada durante el Paleolítico?";"";"";"Reducir posesiones y objetos técnicos al mínimo.";"Uso de herramientas de caza y pesca a partir de materiales naturales.";"Creación de ciudades fortificadas.";"Cultivo de la tierra y cría de animales domesticados.";"";"";"es-historia-tecnologia-prehistoria"
"¿Cuál fue la primera revolución tecnológica que marcó un cambio en el estilo de vida de los seres humanos?";"";"";"La invención del fuego.";"La invención de la agricultura.";"El desarrollo de la metalurgia.";"La creación de viviendas permanentes.";"";"";"es-historia-tecnologia-prehistoria"
"¿Qué etapas conforman la prehistoria?";"";"";"Paleolítico, Mesolítico y Neolítico.";"Edad Antigua, Edad Media y Edad Moderna.";"Civilizaciones antiguas, Imperios y Reinos.";"Invasiones bárbaras, Renacimiento y Revolución Industrial.";"";"";"es-historia-tecnologia-prehistoria"
"¿Cómo afectaba el modo de vida nómada al desarrollo tecnológico en el Paleolítico?";"";"";"Limitaba las posesiones y objetos técnicos debido a los desplazamientos.";"Favorecía el desarrollo de herramientas avanzadas.";"Permitía establecer comunidades agrícolas.";"Promovía la construcción de viviendas permanentes.";"";"";"es-historia-tecnologia-prehistoria"
"¿Cuál era la principal fuente de alimento de las primeras tribus humanas en el Paleolítico?";"";"";"Caza y recolección.";"Agricultura.";"Ganadería.";"Pesca en ríos y lagos.";"";"";"es-historia-tecnologia-prehistoria"
"¿Cuál era el impacto ambiental del ser humano en el Paleolítico?";"";"";"Prácticamente inexistente.";"Sobreexplotación y escasez de recursos.";"Deforestación";"Contaminación y explotación de recursos.";"";"";"es-historia-tecnologia-prehistoria"
"¿Cuál fue una de las revoluciones más significativas en la vida humana durante el Neolítico?";"";"";"El desarrollo de la agricultura.";"La construcción de viviendas nómadas.";"El desarrollo de la alfarería.";"La creación de herramientas de caza.";"";"";"es-historia-tecnologia-prehistoria"
"¿Cómo cambió la estructura de los grupos humanos en el Neolítico en comparación con el Paleolítico?";"";"";"Los grupos dejaron de ser igualitarios y surgieron los oficios.";"Todos los miembros se dedicaban a todas las actividades por igual.";"Los grupos se volvieron más pequeños y aislados.";"Se volvieron más nómadas.";"";"";"es-historia-tecnologia-prehistoria"
"¿Qué permitió la domesticación de animales durante el Neolítico?";"";"";"Proporcionar alimento y transporte.";"Solo proporcionar alimento.";"Mejorar la tecnología de caza.";"Ayudar en la construcción de viviendas.";"";"";"es-historia-tecnologia-prehistoria"
"¿Cuál es una de las innovaciones tecnológicas más destacadas del Neolítico?";"";"";"Invención de la rueda.";"Descubrimiento del fuego.";"Desarrollo de la escritura.";"Creación de armas de caza.";"";"";"es-historia-tecnologia-prehistoria"
"¿Cómo se relaciona la vida sedentaria con la acumulación de objetos tecnológicos?";"";"";"La vida sedentaria permite acumular objetos en viviendas.";"La vida sedentaria limita la acumulación de objetos tecnológicos.";"No hay relación entre ambos.";"La vida sedentaria no requiere objetos tecnológicos.";"";"";"es-historia-tecnologia-prehistoria"
"¿Qué técnica permitió el desarrollo de la alfarería durante el Neolítico?";"";"";"La invención de la rueda y del torno.";"El uso de herramientas de caza.";"La domesticación de animales.";"La tecnología de la fermentación del azúcar.";"";"";"es-historia-tecnologia-prehistoria"
"¿Qué ventaja proporcionaron los animales domésticos durante el Neolítico?";"";"";"Ayudaban en el transporte y en el trabajo pesado.";"Solo proporcionaban alimento.";"No tenían ninguna ventaja.";"Reducían la necesidad de alfarería.";"";"";"es-historia-tecnologia-prehistoria"
"¿Qué permitió la invención de la rueda en el Neolítico?";"";"";"Transporte eficiente con carros.";"Desarrollo de la tecnología de caza.";"Mejora en la escritura.";"Producción de alimentos en exceso.";"";"";"es-historia-tecnologia-prehistoria"
"¿Cómo afectó la vida sedentaria al entorno natural en el Neolítico?";"";"";"Se empobreció la tierra de cultivo y escasearon las especies de caza.";"No hubo impacto ambiental.";"Se fortaleció la biodiversidad en la región.";"Se redujo la población humana para conservar los recursos.";"";"";"es-historia-tecnologia-prehistoria"
