Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿En qué año se lanzaron los primeros satélites artificiales?";"";"";"1957";"1975";"1969";"1967";"";"";"es-historia-tecnologia-siglos-xx-xxi"
"¿Qué tecnología propició el nacimiento de los primeros ordenadores personales hacia 1980?";"";"";"La electrónica.";"La radio.";"La tecnología nuclear.";"Los satélites artificiales.";"";"";"es-historia-tecnologia-siglos-xx-xxi"
"¿Qué favorecen los grandes avances de la medicina en el Siglo XX?";"";"";"Prolongar la calidad de vida.";"El desarrollo de nuevas especies animales.";"Los viajes espaciales tripulados por humanos.";"Disminución de la esperanza de vida.";"";"";"es-historia-tecnologia-siglos-xx-xxi"
"¿Qué tecnología permitió el envío de correos electrónicos a partir de 1971?";"";"";"Internet.";"La radio.";"El teléfono móvil.";"Los satélites artificiales.";"";"";"es-historia-tecnologia-siglos-xx-xxi"
"¿Qué hito tecnológico ocurrió en el año 1967?";"";"";"La aparición de Internet.";"El lanzamiento de los primeros satélites artificiales.";"El nacimiento de la electrónica.";"El desarrollo de los primeros ordenadores personales.";"";"";"es-historia-tecnologia-siglos-xx-xxi"
"¿Qué medio de comunicación apareció en el Siglo XX junto con la radio y la televisión?";"";"";"El teléfono móvil.";"Las centrales nucleares.";"Los electrodomésticos.";"El cine.";"";"";"es-historia-tecnologia-siglos-xx-xxi"
"¿En qué año se llegó a pisar la luna?";"";"";"1969";"1957";"1967";"1971";"";"";"es-historia-tecnologia-siglos-xx-xxi"
"¿Qué tipo de trabajadores se necesita en mayor cantidad debido a la creciente complejidad de las máquinas?";"";"";"Técnicos especializados.";"Mano de obra no cualificada.";"Comerciantes.";"Agricultores.";"";"";"es-historia-tecnologia-siglos-xx-xxi"
"¿En qué sector se basa principalmente la actividad en las ciudades a finales del Siglo XX?";"";"";"Sector terciario.";"Sector primario";"Sector secundario.";"La Agricultura.";"";"";"es-historia-tecnologia-siglos-xx-xxi"
"¿Qué beneficio menciona el texto como resultado del avance de la aviación civil?";"";"";"Posibilidad de viajar por todo el mundo.";"Mayor cantidad de mano de obra cualificada.";"Aumento de la agricultura.";"Reducción de empleos en oficinas.";"";"";"es-historia-tecnologia-siglos-xx-xxi"
"¿Cuál es una consecuencia positiva del desarrollo tecnológico a finales del siglo XX?";"";"";"Mayor cantidad de información disponible.";"Mayor cantidad de empleados en fábricas.";"Reducción de la complejidad de las máquinas.";"Menos opciones de ocio.";"";"";"es-historia-tecnologia-siglos-xx-xxi"
"¿Qué tecnología dominó la tercera revolución industrial según el texto?";"";"";"La electrónica.";"La mecánica.";"El petróleo.";"La hidráulica.";"";"";"es-historia-tecnologia-siglos-xx-xxi"
"¿Cuál es una característica de las placas llenas de chips de silicio mencionadas en el texto?";"";"";"Pueden tomar decisiones autónomas.";"Requieren supervisión constante.";"Son mecánicas.";"Funcionan con gasolina.";"";"";"es-historia-tecnologia-siglos-xx-xxi"
"¿Qué tipo de tareas domésticas alivian las máquinas electrónicas en los hogares, según el texto?";"";"";"Limpieza y cocina.";"Reparación y mantenimiento.";"Jardinería y jardín.";"Compras y facturación.";"";"";"es-historia-tecnologia-siglos-xx-xxi"
"¿Cuál es una de las ventajas de las máquinas electrónicas mencionadas en el texto?";"";"";"Reducen la necesidad de supervisión técnica.";"Son difíciles de manipular.";"Funcionan con gasolina.";"No tienen aplicaciones domésticas.";"";"";"es-historia-tecnologia-siglos-xx-xxi"
"¿Qué tipo de máquinas llenas de chips de silicio dominan tanto las grandes máquinas de fabricación como los aparatos domésticos?";"";"";"Electrónicas.";"Mecánicas.";"Hidráulicas.";"Neumáticas.";"";"";"es-historia-tecnologia-siglos-xx-xxi"
"¿Qué materiales permitieron la expansión de la sociedad de consumo en el Siglo XX?";"";"";"Semiconductores y plásticos.";"Metales y vidrio.";"Madera y papel.";"Tela y cerámica.";"";"";"es-historia-tecnologia-siglos-xx-xxi"
"¿Cuál de los materiales mencionados es la base de la electrónica?";"";"";"Semiconductores.";"Metales.";"Plásticos.";"Vidrio.";"";"";"es-historia-tecnologia-siglos-xx-xxi"
"¿Qué permite obtener plásticos en un laboratorio?";"";"";"Escoger sus propiedades casi a la carta.";"Reducir mucho sus costes de fabricación.";"Conseguir que tengan origen natural.";"Conseguir que tengan mucha fragilidad.";"";"";"es-historia-tecnologia-siglos-xx-xxi"
