Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"La biela-manivela es ...";"../images/relatran-biela-manivela.png";"379";"Un mecanismo de transformación del movimiento";"Un mecanismo de transmisión del movimiento";"Una máquina simple";"Una máquina compuesta";"";"";"es-machines-transformation1"
"Cuando la manivela gira, el movimiento del pistón ...";"../images/relatran-biela-manivela.png";"379";"Es alternativo";"Es circular";"Se efectúa a velocidad constante";"Es rectilíneo, sin límites";"";"";"es-machines-transformation1"
"¿Qué pieza conecta la manivela con el pistón?";"../images/relatran-biela-manivela.png";"379";"La biela";"La bujía";"El trinquete";"El cigüeñal";"";"";"es-machines-transformation1"
"El volante de inercia ...";"../images/relatran-biela-manivela.png";"379";"Ayuda a conservar el movimiento de giro";"Va unido a la biela";"Bloquea la manivela";"Sirve para conducir";"";"";"es-machines-transformation1"
"¿Dónde hay mecanismos biela-manivela?";"../images/relatran-biela-manivela.png";"379";"En una sierra de calar eléctrica";"En un automóvil eléctrico";"En una taladradora";"En una lavadora";"";"";"es-machines-transformation1"
"Si movemos al pistón con un movimiento alternativo ...";"../images/relatran-biela-manivela.png";"379";"Podemos hacer girar la manivela";"No podemos hacer girar la manivela";"La manivela se bloqueará";"El trinquete no funcionará";"";"";"es-machines-transformation1"
"En algunas máquinas el pistón se llama ...";"../images/relatran-biela-manivela.png";"379";"Émbolo";"Cigüeñal";"Volante de inercia";"Piñón";"";"";"es-machines-transformation1"
"¿Cómo se llama el mecanismo de la figura?";"../images/relatran-biela-manivela.png";"379";"Biela-manivela";"Motor de dos tiempos";"Locomotora";"Piñón-cremallera";"";"";"es-machines-transformation1"
"El émbolo de un motor de explosión se mueve ...";"../images/relatran-biela-manivela.png";"379";"Dentro de un cilindro";"Por una guía";"En el interior de una caja";"Solidario al cigüeñal";"";"";"es-machines-transformation1"
"¿Qué nombre se le da a la manivela en un motor de explosión?";"../images/relatran-biela-manivela.png";"379";"Cigüeñal";"Diferencial";"Leva";"Corona";"";"";"es-machines-transformation1"
"¿Cómo se llama el recorrido máximo del pistón?";"../images/relatran-biela-manivela.png";"379";"Carrera";"Vuelta";"Paso";"Empuje";"";"";"es-machines-transformation1"
"¿Dónde es mínima la velocidad del pistón?";"../images/relatran-biela-manivela.png";"379";"En los extremos de su recorrido";"Justo a la mitad de su recorrido";"Cuando está más cerca del cilindro";"La velocidad es siempre constante";"";"";"es-machines-transformation1"
"¿Dónde es máxima la velocidad del pistón?";"../images/relatran-biela-manivela.png";"379";"Cerca de la mitad de su recorrido";"Justo a la mitad de su recorrido";"En los extremos de su recorrido";"La velocidad es siempre constante";"";"";"es-machines-transformation1"
"Cuando la manivela completa una vuelta ...";"../images/relatran-biela-manivela.png";"379";"El pistón completa dos carreras";"El pistón completa una carrera";"La biela gira dos veces";"El mecanismo se detiene";"";"";"es-machines-transformation1"
"¿Cuánto mide el brazo (radio) de la manivela?";"../images/relatran-biela-manivela.png";"379";"La mitad que la carrera del pistón";"La longitud de la carrera del pistón";"El doble que la carrera del pistón";"Depende de la longitud de la biela";"";"";"es-machines-transformation1"
"¿Cómo se mide el brazo (radio) de la manivela?";"../images/relatran-biela-manivela.png";"379";"De su centro al punto de unión de la biela";"Coincide con la longitud de la biela";"Igual que la longitud del pistón";"Coincide con la carrera del pistón";"";"";"es-machines-transformation1"
"El mecanismo tornillo-tuerca transforma ...";"../images/relatran-tornillo.png";"379";"El giro del tornillo en el avance de la tuerca";"El giro del tornillo en el giro de la tuerca";"El giro de la tuerca en movimiento alternativo";"El avance del tornillo en movimiento alternativo";"";"";"es-machines-transformation1"
"Este mecanismo se utiliza para ...";"../images/relatran-tornillo.png";"379";"Posicionar una pieza con precisión";"Ejercer tracción";"Impedir el giro de la tuerca";"Evitar el ruido";"";"";"es-machines-transformation1"
"Este mecanismo se puede utilizar para ...";"../images/relatran-tornillo.png";"379";"Elevar y bajar el asiento de una silla";"Taladrar objetos muy duros";"Mover una hoja de sierra con movimiento alternativo";"Mover una sierra circular";"";"";"es-machines-transformation1"
"El rendimiento del mecanismo se reduce ...";"../images/relatran-tornillo.png";"379";"Cuando falta lubricante";"Cuando hay deslizamiento";"A la mitad cuando se para la tuerca";"Cuando se reduce el ruido";"";"";"es-machines-transformation1"
"Por cada vuelta del tornillo, la tuerca ...";"../images/relatran-tornillo.png";"379";"Avanza una distancia igual al paso de rosca por el número de entradas";"Avanza una distancia igual al paso de rosca";"Avanza una distancia igual a su diámetro";"Efectúa dos vueltas";"";"";"es-machines-transformation1"
"El tornillo en algunas máquinas también se llama ...";"../images/relatran-tornillo.png";"379";"Husillo";"Piñón";"Pistón";"Dientes";"";"";"es-machines-transformation1"
"El tornillo-tuerca se puede considerar también ...";"../images/relatran-tornillo.png";"379";"Una máquina simple";"Una máquina compuesta";"Un mecanismo de transmisión del movimiento";"Un engranaje compuesto";"";"";"es-machines-transformation1"
"¿Dónde podemos encontrar este mecanismo de transformación?";"../images/relatran-tornillo.png";"379";"En un gato elevador";"En una radio";"En un exprimidor eléctrico";"En una lavadora";"";"";"es-machines-transformation1"
"En este mecanismo, el tornillo puede ...";"../images/relatran-tornillo.png";"379";"Ejercer una gran presión";"Romperse con facilidad";"Deslizar";"Impedir el movimiento de la tuerca";"";"";"es-machines-transformation1"
"La velocidad entre la tuerca y el tornillo ...";"../images/relatran-tornillo.png";"379";"Aumenta cuando el tornillo gira rápidamente";"No depende del giro del tornillo";"Suele ser bastante grande";"Es mayor que la velocidad de giro";"";"";"es-machines-transformation1"
