Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Cómo se llama el engranaje de la figura?";"../images/relatran-conico.png";"379";"Cónico";"Recto";"Perpendicular";"Normal";"";"";"es-machines-transmission2"
"¿Cómo son las ruedas en este mecanismo de transmisión?";"../images/relatran-conico.png";"379";"Troncocónicas";"Cilíndricas";"Oblicuas";"Acanaladas";"";"";"es-machines-transmission2"
"Con este mecanismo el movimiento se transmite entre ...";"../images/relatran-conico.png";"379";"Árboles de ejes que se cruzan";"Árboles lejanos";"Árboles de ejes paralelos";"Árboles cercanos";"";"";"es-machines-transmission2"
"El ángulo que forman los ejes de los árboles de transmisión ...";"../images/relatran-conico.png";"379";"Determina el tipo de ruedas que hay que usar";"Debe ser pequeño";"Debe ser de 90º";"Debe ser de 180º";"";"";"es-machines-transmission2"
"El paso de las ruedas troncocónicas ...";"../images/relatran-conico.png";"379";"Depende de cómo es la sección transversal";"Sólo depende del número de dientes";"Debe ser diferente para las dos ruedas";"Es el mismo que para las ruedas cilíndricas";"";"";"es-machines-transmission2"
"Podemos usar un engranaje cónico para ...";"../images/relatran-conico.png";"379";"Cambiar la broca de un taladro";"Unir un tornillo con una tuerca";"Fijar un remache";"Tender la ropa";"";"";"es-machines-transmission2"
"El engranaje cónico es ...";"../images/relatran-conico.png";"379";"Un mecanismo de transmisión del movimiento";"Una máquina simple";"Una máquina compuesta";"Un mecanismo de transformación del movimiento";"";"";"es-machines-transmission2"
"¿Cómo se llama el mecanismo de la figura?";"../images/relatran-engranaje.png";"379";"Engranaje recto";"Ruedas dentadas";"Embrague con dientes";"Embrague simple";"";"";"es-machines-transmission2"
"Si en un engranaje recto la rueda pequeña es la rueda motriz ...";"../images/relatran-engranaje.png";"379";"La rueda grande gira más lentamente";"La rueda grande no puede girar";"La rueda grande es la rueda conductora";"El mecanismo es multiplicador";"";"";"es-machines-transmission2"
"El engranaje recto es ...";"../images/relatran-engranaje.png";"379";"Un mecanismo de transmisión de movimiento";"Una máquina simple";"Una máquina compuesta";"Un mecanismo de transformación del movimiento";"";"";"es-machines-transmission2"
"A diferencia de los sistemas con poleas, los engranajes permiten una transmisión ...";"../images/relatran-engranaje.png";"379";"Síncrona";"Poco ruidosa";"Con deslizamiento";"Libre";"";"";"es-machines-transmission2"
"Para que dos ruedas engranen correctamente ...";"../images/relatran-engranaje.png";"379";"El paso de los dientes debe ser el mismo";"La velocidad de giro debe ser igual";"Deben tener el mismo diámetro primitivo";"Deben tener el mismo número de dientes";"";"";"es-machines-transmission2"
"Un engranaje recto puede transmitir una potencia más elevada que ...";"../images/relatran-engranaje.png";"379";"Un sistema de poleas";"Un árbol de transmisión";"Una junta de Cardan";"Un tren de engranajes";"";"";"es-machines-transmission2"
"Para minimizar el rozamiento, hay que ...";"../images/relatran-engranaje.png";"379";"Lubricar los engranajes";"Acelerar la rueda motriz";"Añadir una correa";"Situar los ejes horizontalmente";"";"";"es-machines-transmission2"
