Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Cuál es el metal más utilizado después del acero?";"";"";"Aluminio.";"Hierro.";"Cobre.";"Titanio.";"";"";"es-material-metals-3"
"¿Qué propiedad del aluminio lo hace atractivo para la fabricación de aviones?";"";"";"Baja densidad y buena resistencia a la corrosión.";"Alta densidad y maleabilidad.";"Baja resistencia mecánica y dureza.";"Resistencia a altas temperaturas.";"";"";"es-material-metals-3"
"En estado puro ¿qué resistencia mecánica tiene el aluminio?";"";"";"Muy blando y baja resistencia mecánica.";"Muy duro y alta resistencia mecánica.";"Maleable y dúctil.";"Inalterable mecánicamente.";"";"";"es-material-metals-3"
"¿Qué técnica química fue clave para aumentar la producción de aluminio a partir de 1900?";"";"";"Proceso Bayer.";"Fusión al vacío.";"Electroforesis.";"Cianuración.";"";"";"es-material-metals-3"
"¿Qué percepción se tenía del aluminio en el siglo XIX debido a su producción costosa?";"";"";"Era un material exótico con un precio mayor que el del oro.";"Era un material abundante y barato.";"Era un metal comúnmente utilizado en la industria.";"Era un material de baja demanda debido a sus pobres propiedades.";"";"";"es-material-metals-3"
"¿Cómo es la resistencia mecánica del aluminio cuando está aleado de forma adecuada?";"";"";"Aumenta mucho hasta los 40 kg/mm2.";"Disminuye hasta los 20 kg/mm2.";"Se mantiene constante en 30 kg/mm2.";"Varía mucho según la temperatura.";"";"";"es-material-metals-3"
"¿Cuál fue un factor clave para el aumento continuo de la producción de aluminio a partir de 1900?";"";"";"La aplicación de la dinamo para producir la electricidad necesaria.";"El descubrimiento de nuevas reservas de aluminio.";"La utilización de procesos térmicos avanzados.";"La sustitución del aluminio por otros metales.";"";"";"es-material-metals-3"
"¿Para qué se utiliza comúnmente el aluminio en la fabricación?";"";"";"Marcos de ventanas, papel metálico, latas, aviones, cables eléctricos.";"Joyería y adornos.";"Construcción de puentes y edificios.";"Herramientas de jardinería.";"";"";"es-material-metals-3"
"¿De qué color es el titanio?";"";"";"Gris.";"Rojizo.";"Dorado.";"Plateado.";"";"";"es-material-metals-3"
"¿Cuál es la densidad del titanio?";"";"";"4,5 kg/litro.";"1,5 kg/litro.";"3,0 kg/litro.";"6,5 kg/litro.";"";"";"es-material-metals-3"
"¿Cómo es la resistencia a la corrosión del titanio?";"";"";"Es muy resistente a la corrosión.";"Es medianamente resistente a la corrosión.";"Es poco resistente a la corrosión.";"No tiene resistencia a la corrosión.";"";"";"es-material-metals-3"
