Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Qué densidad tienen los metales?";"";"";"Mucho mayor que la densidad del agua";"Parecida a la densidad del agua";"Mucho menor que la densidad del agua";"Los metales no tienen densidad";"";"";"es-material-metals"
"¿Los metales flotan?";"";"";"Los metales siempre se hunden en el agua";"Algunos metales flotan y otros se hunden";"Los metales siempre flotan en el agua";"Los metales no se deben mojar con agua";"";"";"es-material-metals"
"¿Qué conductividad tienen los metales?";"";"";"Conducen bien el calor y la electricidad";"Son buenos aislantes eléctricos y térmicos";"Conducen bien la electricidad pero mal el calor";"Conducen bien el calor pero mal la electricidad";"";"";"es-material-metals"
"¿Son tenaces los metales?";"";"";"Si, porque soportan bien los golpes sin romperse";"Si, porque soportan bien que los intenten rayar";"Si, porque tienen buena resistencia mecánica";"No, son duros";"";"";"es-material-metals"
"¿Cómo soportan las deformaciones los metales?";"";"";"Suelen ser dúctiles y maleables";"Suelen ser dúctiles, pero no maleables";"Suelen ser maleables, pero no dúctiles";"No son ni dúctiles ni maleables";"";"";"es-material-metals"
"¿Qué son los metales nobles?";"";"";"Metales que no se oxidan con facilidad, como el oro";"Metales que se usan en joyería para ricos, como el oro";"Metales que tienen propiedades superiores, como el platino";"Metales que antes utilizaban los nobles, como la plata";"";"";"es-material-metals"
"¿Qué propiedades tienen los metales pesados?";"";"";"Tienen alta densidad y suelen ser muy tóxicos para las personas";"Tienen alta densidad y están formados por mezcla de varios metales";"Tienen alta densidad y no reaccionan con el oxígeno";"Son imprescindibles para fabricar baterías y termómetros";"";"";"es-material-metals"
"¿Qué es una aleación?";"";"";"Una fusión de un metal con otro elemento. Por ejemplo el acero o el bronce";"Una capa de protección que se aplica a un metal para que no se oxide";"Un tipo de metal de alta densidad que no se oxida con facilidad";"Una unión entre piezas de metal que se realiza aplicando calor y presión";"";"";"es-material-metals"
"¿Qué material es la Fundición?";"";"";"Es hierro aleado con más de 1.76% de carbono. Se utiliza para hacer tapas de alcantarilla";"Es hierro aleado con menos de 1.76% de carbono. Se utiliza para hacer engranajes";"Es hierro fundido con carbón. Se utiliza para hacer cuberterías";"Es un acero inoxidable, con mejores propiedades que el hierro";"";"";"es-material-metals"
"¿Qué es el acero?";"";"";"Es una aleación de hierro con menos del 1.76% de carbono para mejorar sus propiedades";"Es una aleación de hierro con más del 1.76% de carbono para mejorar sus propiedades";"Es una aleación de hierro con menos del 6.67% de carbono para mejorar sus propiedades";"Es una aleación de hierro con más del 6.67% de carbono para mejorar sus propiedades";"";"";"es-material-metals"
