Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Cuál es una característica principal de los termoplásticos?";"";"";"Se pueden fundir o derretir a temperaturas no muy altas y vuelven a endurecerse cuando se enfrían.";"Se pueden fundir o derretir a temperaturas muy altas y vuelven a endurecerse cuando se enfrían.";"Se pueden fundir o derretir a temperaturas muy altas y pierden su dureza aunque se enfríen.";"Son resistentes al calor y no se deforman.";"";"";"es-material-plastics-2"
"¿En qué tipo de productos es muy usado el Tereftalato de polietileno (PET)?";"";"";"Envases de bebidas y textiles.";"Juguetes y suelos.";"Tuberías y envases.";"Ventanas y cables.";"";"";"es-material-plastics-2"
"¿Por qué el polietileno es uno de los plásticos más comunes?";"";"";"Por su bajo precio y versatilidad.";"Por su alta densidad.";"Por su resistencia al calor.";"Por su biodegradabilidad.";"";"";"es-material-plastics-2"
"¿En qué productos se utiliza el PVC rígido?";"";"";"Envases, ventanas, tuberías.";"Juguetes, suelos, recubrimientos.";"Bolsas, film transparente, envases.";"Cables, textiles, bebidas.";"";"";"es-material-plastics-2"
"¿Cuáles son los dos grandes tipos de polietileno?";"";"";"PEAD (polietileno de alta densidad) y PEBD (polietileno de baja densidad).";"PETA (polietileno de alta temperatura) y PEFR (polietileno de baja resistencia).";"PEV (polietileno versátil) y PEH (polietileno resistente).";"PEI (polietileno aislante) y PEC (polietileno conductor).";"";"";"es-material-plastics-2"
"¿En qué productos se utiliza el PVC flexible?";"";"";"Cables, juguetes, calzados, suelos, recubrimientos.";"Envases, ventanas, tuberías.";"Bolsas, film transparente, envases.";"Juguetes, textiles, bebidas.";"";"";"es-material-plastics-2"
"¿Cuál es una característica clave de los termoplásticos que permite su reutilización?";"";"";"Se pueden fundir y volver a endurecerse.";"Son resistentes al calor.";"No se pueden fundir.";"Son biodegradables.";"";"";"es-material-plastics-2"
"Después del Polietileno, ¿cuál es el plástico más utilizado?";"";"";"Polipropileno (PP).";"Poliestireno (PS).";"PVC.";"PET.";"";"";"es-material-plastics-2"
"¿Para qué se utiliza comúnmente el polipropileno (PP)?";"";"";"Envases de alimentos, láminas transparentes, tejidos, etc.";"Envases de yogur y maquinillas de afeitar.";"Tuberías y juguetes.";"Películas cinematográficas.";"";"";"es-material-plastics-2"
"¿Cuál es una característica del poliestireno (PS)?";"";"";"Se funde con temperaturas relativamente bajas (100ºC)";"Se funde a altas temperaturas.";"Es extremadamente resistente.";"Es biodegradable.";"";"";"es-material-plastics-2"
"¿En qué productos se utiliza el poliestireno (PS)?";"";"";"Envases de yogur, maquinillas de afeitar.";"Envases de alimentos, láminas transparentes, tejidos.";"Envases de bebidas y cables eléctricos.";"Juguetes y muebles.";"";"";"es-material-plastics-2"
"¿Cómo se conoce comúnmente al poliestireno expandido?";"";"";"Corcho blanco o poliexpan.";"Polipropileno (PP).";"PVC.";"PET.";"";"";"es-material-plastics-2"
"¿A qué se refieren los símbolos de reciclaje en los termoplásticos?";"";"";"Indican la composición del plástico para facilitar su reciclaje.";"Son puramente decorativos.";"Simbolizan la resistencia del plástico.";"No tienen ningún significado específico.";"";"";"es-material-plastics-2"
"¿Qué tipo de plásticos tienen la propiedad de fundirse y solidificarse repetidamente?";"";"";"Los termoplásticos.";"Los de baja resistencia térmica.";"Los de alta conductividad eléctrica.";"Los termoestables.";"";"";"es-material-plastics-2"
"¿Cuál es el plástico con un número 1 en su símbolo de reciclaje?";"";"";"PET.";"PEAD.";"PVC.";"PEBD.";"";"";"es-material-plastics-2"
"¿Cuál es el plástico con un número 2 en su símbolo de reciclaje?";"";"";"PEAD.";"PET.";"PVC.";"PEBD.";"";"";"es-material-plastics-2"
"¿Cuál es el plástico con un número 3 en su símbolo de reciclaje?";"";"";"PVC.";"PEAD.";"PP.";"PEBD.";"";"";"es-material-plastics-2"
"¿Cuál es el plástico con un número 4 en su símbolo de reciclaje?";"";"";"PEBD.";"PVC.";"PEAD.";"PP.";"";"";"es-material-plastics-2"
"¿Cómo son los termoplásticos de altas prestaciones?";"";"";"Son termoplásticos con mejores prestaciones mecánicas y de resistencia al calor que los termoplásticos habituales.";"Son termoplásticos convencionales.";"Son termoplásticos de baja calidad y alto precio.";"Son termoestables.";"";"";"es-material-plastics-2"
"¿Para qué se utiliza el nailon?";"";"";"Hacer hilos muy resistentes, mecanismos como engranajes y cojinetes, cremalleras.";"Recubrimiento de sartenes y cintas para evitar fugas de agua.";"Fabricar envases de alimentos y juguetes.";"Construir estructuras de edificios.";"";"";"es-material-plastics-2"
"¿Qué propiedad del teflón lo hace prácticamente inerte y antiadherente?";"";"";"No reacciona con otras sustancias y tiene muy bajo rozamiento.";"Resiste altas temperaturas.";"Es conductor eléctrico.";"Es biodegradable.";"";"";"es-material-plastics-2"
"¿Por qué se utiliza el teflón en mecanismos?";"";"";"Porque se pueden fabricar mecanismos sin lubricación.";"Porque se pueden fabricar mecanismos con lubricación.";"Porque se pueden fabricar sartenes antiadherentes.";"Porque es un material biodegradable.";"";"";"es-material-plastics-2"
"¿Cuál es una característica del nailon que lo hace adecuado para fabricar paracaídas?";"";"";"Permite fabricar hilos muy resistentes.";"Tiene una baja temperatura de fusión.";"Es biodegradable.";"Es buen conductor eléctrico.";"";"";"es-material-plastics-2"
"¿Qué temperatura puede resistir el teflón?";"";"";"Hasta 270ºC";"Hasta 150ºC";"Hasta 500ºC";"No resiste altas temperaturas.";"";"";"es-material-plastics-2"
"¿Qué aplicaciones tiene el Teflón?";"";"";"Recubrimiento de sartenes, cintas para evitar fugas de agua.";"Fabricación de neumáticos y envases de alimentos.";"Construcción de estructuras metálicas y juguetes.";"Hacer hilos resistentes y cremalleras.";"";"";"es-material-plastics-2"
"¿Cómo es el policarbonato?";"";"";"Muy transparente y muy resistente a los impactos.";"Opaco y frágil.";"Con baja resistencia a los impactos.";"Se funde a temperaturas muy altas.";"";"";"es-material-plastics-2"
"¿Para qué se utiliza el policarbonato?";"";"";"Como sustituto del vidrio.";"Como sustituto del metal.";"Como sustituto del plástico convencional.";"Como sustituto de la madera.";"";"";"es-material-plastics-2"
"¿Qué productos se fabrican con policarbonato?";"";"";"CD, DVD, ventanas, cristales antibalas, escudos antidisturbios, viseras de casco de motorista.";"Juguetes y envases de alimentos.";"Tubos y cables eléctricos.";"Muebles y láminas transparentes.";"";"";"es-material-plastics-2"
"¿Cómo es el metacrilato?";"";"";"Más transparente que el policarbonato y resistente al impacto.";"Opaco y frágil.";"Con baja resistencia a los impactos.";"Se funde a temperaturas muy altas.";"";"";"es-material-plastics-2"
"¿En comparación con el vidrio, cuántas veces más resistente al impacto es el metacrilato?";"";"";"De 10 a 20 veces más resistente.";"Dos veces más resistente.";"Igual de resistente.";"Menos resistente.";"";"";"es-material-plastics-2"
"¿Qué propiedad del metacrilato lo hace adecuado para fabricar fibra óptica y expositores?";"";"";"Resistencia al impacto y alta transparencia.";"Opacidad y flexibilidad.";"Conductividad eléctrica.";"Biodegradabilidad.";"";"";"es-material-plastics-2"
"¿En qué aplicaciones se utiliza el metacrilato?";"";"";"Fabricar fibra óptica, señales, expositores, acuarios, obras de arte.";"Fabricar CD y DVD.";"Construir ventanas y escudos antibalas.";"Hacer muebles y juguetes.";"";"";"es-material-plastics-2"
"¿Qué propiedad del metacrilato le permite resistir a la intemperie?";"";"";"Resiste bien a la radiación ultravioleta.";"Resiste mal a la radiación ultravioleta.";"Tiene poca transparencia y fragilidad.";"Es fácilmente biodegradable.";"";"";"es-material-plastics-2"
