Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Cómo están relacionadas las propiedades térmicas y eléctricas?";"";"";"Un buen conductor eléctrico suele ser también buen conductor del calor.";"Un buen conductor eléctrico no tiene por qué ser también buen conductor del calor.";"No hay relación entre ellas.";"Solo la eléctrica afecta a la térmica.";"";"";"es-material-properties-2"
"¿Qué es la conductividad térmica de un material?";"";"";"La propiedad de transportar el calor con facilidad.";"La resistencia al calor de un material.";"La capacidad de aislar la electricidad.";"La capacidad de generar calor.";"";"";"es-material-properties-2"
"¿Para qué se utilizan materiales con mucha conductividad térmica?";"";"";"Para fabricar radiadores, utensilios de cocina, etc.";"Para aislar las casas del frío exterior.";"Fabricar mangos de sartenes.";"Producir sensación cálida al tacto.";"";"";"es-material-properties-2"
"¿Qué se utiliza para aislar las casas de la temperatura exterior?";"";"";"Materiales con poca conductividad térmica.";"Materiales que sean buenos conductores del calor.";"Materiales metálicos.";"Materiales de acero.";"";"";"es-material-properties-2"
"¿Qué sensación produce al tacto un material aislante como el plástico?";"";"";"Cálida.";"Fría.";"Neutra.";"Ninguna.";"";"";"es-material-properties-2"
"¿Cuáles son ejemplos de materiales con poca conductividad térmica?";"";"";"Plástico y madera.";"Acero y hierro.";"Vidrio y aluminio.";"Cobre y bronce.";"";"";"es-material-properties-2"
"¿Qué sensación produce al tacto un material buen conductor como el acero?";"";"";"Fría.";"Cálida.";"Neutra.";"Ninguna.";"";"";"es-material-properties-2"
"¿Por qué los materiales aislantes se utilizan para fabricar mangos de sartenes y cacerolas?";"";"";"Porque tienen poca conductividad térmica.";"Porque son buenos conductores de calor.";"Porque son pesados por cada litro.";"Porque son transparentes al calor.";"";"";"es-material-properties-2"
"¿Cómo se define la dilatación térmica de un material?";"";"";"Es la propiedad de aumentar de tamaño con la temperatura.";"Es la capacidad de resistir la temperatura.";"Es la propiedad de cambiar de forma con el calor.";"Es la capacidad de mantenerse constante en tamaño.";"";"";"es-material-properties-2"
"¿Qué tipo de estructuras suelen enfrentar problemas debido a la dilatación térmica?";"";"";"Edificios, vías de tren, puentes, etc.";"Objetos pequeños.";"Ropa y accesorios.";"Utensilios de cocina.";"";"";"es-material-properties-2"
"¿Cómo se resuelve el problema de la dilatación térmica en las estructuras?";"";"";"Dejando huecos cada cierta distancia.";"Aumentando la temperatura de los materiales.";"Utilizando materiales más resistentes.";"Aplicando presión a los materiales.";"";"";"es-material-properties-2"
"¿Cómo se llaman los huecos creados para permitir la dilatación de los materiales?";"";"";"Juntas de dilatación.";"Grietas térmicas.";"Espacios de expansión.";"Huecos térmicos.";"";"";"es-material-properties-2"
"¿Qué es la conductividad eléctrica de un material?";"";"";"La propiedad de permitir el paso de la corriente eléctrica con facilidad.";"La capacidad de resistir la electricidad.";"La capacidad de generar electricidad.";"La resistencia al calor de un material.";"";"";"es-material-properties-2"
"¿Qué materiales son buenos conductores de la electricidad?";"";"";"Metales como el cobre, aluminio, oro y acero.";"Plásticos y madera.";"Vidrio y cerámica.";"Materiales aislantes.";"";"";"es-material-properties-2"
"¿Para qué se utilizan los conductores eléctricos?";"";"";"Para fabricar cables eléctricos.";"Para aislar las casas.";"Para construir estructuras resistentes.";"Para crear juntas de dilatación.";"";"";"es-material-properties-2"
"¿Qué tipo de materiales pueden controlar la conductividad eléctrica?";"";"";"Los semiconductores.";"Los conductores aislantes.";"Los materiales térmicos.";"Los aislantes eléctricos.";"";"";"es-material-properties-2"
"¿Qué se fabrica con los materiales semiconductores?";"";"";"Todos los aparatos electrónicos actuales.";"Conexiones eléctricas de los enchufes y conectores.";"Superficies de contacto.";"Estructuras resistentes.";"";"";"es-material-properties-2"
"¿Qué indican las propiedades de fabricación de un material?";"";"";"Cómo se comportará durante los procesos de fabricación de objetos.";"El color del material.";"La temperatura a la que se funde el material.";"La densidad del material.";"";"";"es-material-properties-2"
"¿Cómo se define la maleabilidad de un material?";"";"";"La propiedad de soportar aplastamiento sin romperse.";"La capacidad de formar hilos finos por estiramiento.";"La resistencia al calor de un material.";"La capacidad de conducir electricidad.";"";"";"es-material-properties-2"
"¿Cómo se fabrica papel de aluminio?";"";"";"Aplastando el aluminio entre rodillos.";"Cortando el aluminio en láminas finas.";"Fundiendo el aluminio.";"Calentando el aluminio.";"";"";"es-material-properties-2"
"¿Cuál es un ejemplo de material muy maleable?";"";"";"Aluminio.";"Madera.";"Textiles.";"Cerámica.";"";"";"es-material-properties-2"
"¿Por qué la madera no es maleable según el texto?";"";"";"Porque se rompe al intentar aplastarla.";"Porque no tiene la densidad adecuada.";"Porque es demasiado rígida.";"Porque no conduce electricidad.";"";"";"es-material-properties-2"
"¿Cómo se pueden fabricar láminas finas con materiales maleables?";"";"";"Aplastándolos entre rodillos.";"Fundiéndolos.";"Cortándolos en láminas.";"Calentándolos.";"";"";"es-material-properties-2"
"¿Qué propiedad permite que el aluminio sea utilizado para fabricar papel de aluminio?";"";"";"Maleabilidad.";"Dureza.";"Resistencia térmica.";"Conductividad eléctrica.";"";"";"es-material-properties-2"
"¿Cómo se define la ductilidad de un material?";"";"";"La propiedad de soportar estiramiento sin romperse.";"La propiedad de soportar aplastamiento sin romperse.";"La capacidad de conducir electricidad.";"La capacidad de fundirse con facilidad.";"";"";"es-material-properties-2"
"¿Cuál es un ejemplo de material muy dúctil?";"";"";"Cobre.";"Madera.";"Plásticos termoestables.";"Baquelita.";"";"";"es-material-properties-2"
"¿Cómo se pueden fabricar hilos finos con materiales dúctiles?";"";"";"Estirándolos a través de agujeros pequeños.";"Fundiéndolos y comprimiento el material para que pase por un pequeño agujero.";"Calentándolos.";"Golpeándolos con fuerza.";"";"";"es-material-properties-2"
