Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Qué densidad tienen los materiales pétreos?";"";"";"Mucho mayor que la densidad del agua";"Parecida a la densidad del agua";"Mucho menor que la densidad del agua";"Los materiales pétreos no tienen densidad";"";"";"es-material-stone"
"¿Los materiales pétreos flotan?";"";"";"La mayoría se hunden, solo la piedra pómez flota";"Siempre flotan";"Siempre se hunden en el agua";"Los materiales pétreos no se deben mojar con agua";"";"";"es-material-stone"
"¿Qué respuesta a la luz tienen los materiales pétreos?";"";"";"La mayoría son opacos, con excepción del vidrio que es transparente";"La mayoría son opacos";"La mayoría son transparentes";"Los materiales pétreos no responden bien a la luz";"";"";"es-material-stone"
"¿Qué resistencia a la luz del sol tienen los materiales pétreos?";"";"";"Muy buena resistencia a la luz del sol porque no se degradan";"Muy mala resistencia a la luz del sol porque se degradan";"Tienen una resistencia media a la luz del sol porque a la larga se degradan";"";"";"";"es-material-stone"
"Los materiales pétreos naturales son ...";"";"";"Nada maleables ni dúctiles";"Maleables, pero poco dúctiles";"Dúctiles, pero poco maleables";"Dúctiles y maleables";"";"";"es-material-stone"
"Los materiales pétreos cerámicos son ...";"";"";"Maleables, pero poco dúctiles";"Nada maleables ni dúctiles";"Dúctiles, pero poco maleables";"Dúctiles y maleables";"";"";"es-material-stone"
"El vidrio es ...";"";"";"Muy dúctil y maleable cuando está caliente";"Maleable, pero poco dúctil";"Nada maleable ni dúctil";"Dúctil, pero poco maleable";"";"";"es-material-stone"
"¿Qué conductividad tienen los materiales pétreos?";"";"";"Son buenos aislantes eléctricos y térmicos";"Conducen bien el calor y la electricidad";"Conducen bien la electricidad pero mal el calor";"Conducen bien el calor pero mal la electricidad";"";"";"es-material-stone"
"¿Resisten bien los pétreos a la oxidación?";"";"";"Si";"False";"Algunos se oxidan, pero la mayoría resisten bien sin oxidarse";"La mayoría se oxidan, pero algunos resisten bien sin oxidarse";"";"";"es-material-stone"
"¿Resisten bien los pétreos a los ácidos?";"";"";"La mayoría resiste bien, pero el mármol y la caliza se disuelven";"Si";"False";"El mármol y la caliza resisten bien, pero el resto de pétreos se disuelven";"";"";"es-material-stone"
"¿Cuáles son pétreos naturales?";"";"";"Mármol, granito, pizarra, caliza, arenisca y arenas";"Yeso, granito, pizarra, caliza, arenisca y arenas";"Mármol, cemento, pizarra, caliza, gres y arenas";"Mármol, granito, arcilla, caliza, arenisca y loza";"";"";"es-material-stone"
"¿Cuáles son pétreos aglomerantes?";"";"";"Yeso, escayola, cemento, hormigón";"Mármol, escayola, Gres, hormigón";"Yeso, arcilla, cemento, loza";"Yeso, escayola, cemento, porcelana";"";"";"es-material-stone"
"¿Cuáles son pétreos cerámicos?";"";"";"Arcilla, loza, gres, porcelana";"cemento, loza, gres, porcelana";"Arcilla, yeso, gres, porcelana";"Arcilla, loza, hormigón, porcelana";"";"";"es-material-stone"
"¿Para qué sirve el mármol?";"";"";"Cubrir suelos o paredes de forma lujosa";"Cubrir tejados y, antiguamente, para escribir";"Producir cal, un componente fundamental del cemento gris";"Construir piedras de afilar";"";"";"es-material-stone"
"¿Para qué sirve el granito?";"";"";"Fabricar encimeras de cocina";"Cubrir tejados y, antiguamente, para escribir";"Producir cal, un componente fundamental del cemento gris";"Añadirlo al cemento para formar hormigón";"";"";"es-material-stone"
"¿Para qué sirve la pizarra?";"";"";"Cubrir tejados y, antiguamente, para escribir";"Fabricar encimeras de cocina";"Producir cal, un componente fundamental del cemento gris";"Construir piedras de afilar";"";"";"es-material-stone"
"¿Para qué sirve la piedra caliza?";"";"";"Producir cal, un componente fundamental del cemento gris";"Cubrir tejados y, antiguamente, para escribir";"Fabricar encimeras de cocina";"Construir piedras de afilar";"";"";"es-material-stone"
"¿Para qué sirve la piedra arenisca?";"";"";"Construir piedras de afilar";"Producir cal, un componente fundamental del cemento gris";"Cubrir tejados y, antiguamente, para escribir";"Fabricar encimeras de cocina";"";"";"es-material-stone"
"¿Para qué sirve la grava y las arenas?";"";"";"Añadirlos al cemento para formar hormigón";"Producir cal, un componente fundamental del cemento gris";"Cubrir tejados y, antiguamente, para escribir";"Construir piedras de afilar";"";"";"es-material-stone"
"¿Para qué sirve el yeso?";"";"";"Revestimiento y decoración de paredes y techos";"Cubrir tejados";"Fabricar encimeras de cocina";"Cubrir suelos o paredes de forma lujosa";"";"";"es-material-stone"
"¿Para qué sirve el cemento?";"";"";"Producir hormigón";"Cubrir tejados";"Fabricar encimeras de cocina";"Cubrir suelos o paredes de forma lujosa";"";"";"es-material-stone"
"¿Para qué sirve el hormigón?";"";"";"Hacer vigas y suelos de edificios, carreteras, puentes, etc.";"Cubrir tejados";"Construir piedras de afilar";"Cubrir suelos o paredes de forma lujosa";"";"";"es-material-stone"
"¿Para qué sirve la arcilla?";"";"";"Fabricar ladrillos, tejas, recipientes y producir cemento";"Fabricación de baldosas para suelos";"Cubrir suelos o paredes de forma lujosa";"Hacer vigas y suelos de edificios, carreteras, puentes, etc.";"";"";"es-material-stone"
"¿Para qué sirve la loza?";"";"";"Hacer vajillas";"Fabricación de baldosas para suelos";"Fabricar ladrillos, tejas, recipientes y producir cemento";"Cubrir tejados";"";"";"es-material-stone"
"¿Para qué sirve el gres?";"";"";"Fabricación de baldosas para suelos";"Fabricar ladrillos, tejas, recipientes y producir cemento";"Fabricar jarrones, aisladores eléctricos, inodoros, lavabos, etc.";"Hacer vigas y suelos de edificios, carreteras, puentes, etc.";"";"";"es-material-stone"
"¿Para qué sirve la porcelana?";"";"";"Fabricar jarrones, aisladores eléctricos, inodoros, lavabos, etc.";"Fabricación de baldosas para suelos";"Fabricar ladrillos, tejas, recipientes y producir cemento";"Cubrir tejados";"";"";"es-material-stone"
"¿Para qué sirve el vidrio?";"";"";"Hacer vajillas, botellas, cerrar ventanas, espejos, lentes, etc.";"Fabricación de baldosas para suelos";"Fabricar ladrillos, tejas, recipientes y producir cemento";"Hacer vigas y suelos de edificios, carreteras, puentes, etc.";"";"";"es-material-stone"
