Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Qué característica común comparten los materiales textiles?";"";"";"Gran flexibilidad.";"Resistencia a la humedad.";"Dureza extrema.";"Conducción de electricidad.";"";"";"es-material-textiles"
"¿Cuál de los siguientes no es un ejemplo de material textil?";"";"";"Un vidrio templado.";"Un balón de cuero.";"Una vela de un barco.";"Telas usadas en ropa.";"";"";"es-material-textiles"
"¿Qué procesos son comunes en la fabricación de productos terminados con materiales textiles?";"";"";"Cosido y pegado.";"Soldadura y encolado.";"Forjado y esmaltado.";"Atornillado y encofrado.";"";"";"es-material-textiles"
"¿Qué hace que los materiales textiles sean versátiles y se utilicen en una amplia gama de productos?";"";"";"Su gran flexibilidad.";"Su colorido.";"Su rigidez.";"Su conductividad térmica.";"";"";"es-material-textiles"
"¿Cuál de los siguientes productos no podría estar hecho de materiales textiles?";"";"";"Una taza de cerámica.";"Un sofá.";"Un balón de cuero.";"Una vela de un barco.";"";"";"es-material-textiles"
"¿Qué son los hilos?";"";"";"Hebras largas fabricadas a partir del trenzado de fibras cortas.";"Cintas de tela fabricadas a partir de materiales plásticos.";"Cadenas metálicas fabricadas a partir de pequeños anillos unidos entre sí.";"Varillas de madera.";"";"";"es-material-textiles"
"¿Qué animal es el origen de la fibra de seda?";"";"";"Gusanos.";"Ovejas.";"Cerdos.";"Conejos.";"";"";"es-material-textiles"
"¿Cuál es una fibra de origen vegetal?";"";"";"Algodón.";"Lana.";"Seda.";"Nailon.";"";"";"es-material-textiles"
"¿Qué fibra es una de las más fuertes entre las naturales?";"";"";"Seda.";"Lana.";"Algodón.";"Lino.";"";"";"es-material-textiles"
"¿Cuál de las siguientes no es una fibra de origen vegetal?";"";"";"Nailon.";"Algodón.";"Lino.";"Cáñamo.";"";"";"es-material-textiles"
"¿A qué grupo de fibras pertenecen el poliéster y el nailon?";"";"";"Fibras de origen artificial.";"Fibras de origen animal.";"Fibras de origen vegetal.";"Fibras de origen mineral.";"";"";"es-material-textiles"
"¿Cómo se definen los textiles?";"";"";"Láminas formadas por hilos unidos de diversas maneras o formadas por piel animal.";"Láminas formadas por papeles pegados entre sí.";"Tablones de madera.";"Láminas de metal.";"";"";"es-material-textiles"
"¿Qué material es el fieltro?";"";"";"Un material formado por fibras unidas mediante vapor y presión.";"Un tipo de material metálico formado por anillos unidos entre sí.";"Una lámina de fibra de madera prensada con vapor y presión.";"Un tipo de piedra.";"";"";"es-material-textiles"
"¿Para qué se utiliza comúnmente el fieltro?";"";"";"Fabricar sombreros, faldas, chaquetas o alfombras.";"Hacer joyas.";"Construir edificios.";"Fabricar automóviles y maquinaria pesada como los camiones.";"";"";"es-material-textiles"
"¿Cómo se fabrican los tejidos planos o telas?";"";"";"Están formados por varios hilos que se entrecruzan en perpendicular.";"Son tejidos formados por múltiples nudos hechos con un solo hilo.";"Se cosen a mano.";"Se moldean con calor.";"";"";"es-material-textiles"
"¿Qué se entrelaza en la fabricación de tejidos planos o telas?";"";"";"La trama y la urdimbre.";"Los hilos y las fibras.";"La madera y el metal.";"La piel y el cuero.";"";"";"es-material-textiles"
"¿Qué se utiliza para fabricar todo tipo de ropa, velas y recubrimientos de muebles?";"";"";"Las telas.";"Los plásticos.";"Los metales.";"Las cerámicas.";"";"";"es-material-textiles"
"¿Cuál es una característica del fieltro?";"";"";"No es muy resistente.";"Es extremadamente duradero.";"Se desintegra en contacto con el agua.";"Es el material más fuerte.";"";"";"es-material-textiles"
"¿Por qué a veces el fieltro necesita un forro?";"";"";"Para añadir más resistencia mecánica.";"Para hacerlo más suave al tacto.";"Para cambiar su color.";"Para hacerlo más ligero.";"";"";"es-material-textiles"
"¿Qué se utiliza para fabricar tejido de punto?";"";"";"Hacer muchos nudos a un único hilo (tricotaje).";"Coser varios hilos juntos con trama y urdimbre.";"Tejer con telar los hilos en perpendicular.";"Fundir plástico en forma de lámina.";"";"";"es-material-textiles"
"¿Cuál es una característica del tejido de punto?";"";"";"Es más elástico que las telas o el fieltro.";"Es muy rígido.";"Es resistente al agua.";"Se utiliza para fabricar zapatos.";"";"";"es-material-textiles"
"¿Dónde se utiliza comúnmente el tejido de punto?";"";"";"En calcetines o jerseys.";"En camisas o pantalones.";"En abrigos o faldas.";"En el forro de los muebles de madera.";"";"";"es-material-textiles"
"¿De dónde provienen los cueros?";"";"";"De la piel curtida de los animales.";"Del plástico.";"De las fibras textiles de origen animal.";"De las fibras textiles de origen vegetal.";"";"";"es-material-textiles"
"¿Cuáles son algunos de los cueros más utilizados?";"";"";"Cueros de vaca, cerdo y oveja.";"Cueros de serpiente y cocodrilo.";"Cueros de elefante y jirafa.";"Cueros de pájaros.";"";"";"es-material-textiles"
