Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Cuáles son ejemplos de maderas blandas?";"";"";"Pino, abeto.";"Roble, haya";"Castaño, nogal";"Eucalipto, caoba.";"";"";"es-material-wood-2"
"¿Cuáles son ejemplos de maderas blandas?";"";"";"Cedro, chopo.";"Roble, haya";"Castaño, nogal";"Eucalipto, caoba.";"";"";"es-material-wood-2"
"¿Cuáles son ejemplos de maderas duras?";"";"";"Roble, haya.";"Pino, abeto.";"Cedro, chopo.";"Madera de balsa.";"";"";"es-material-wood-2"
"¿Cuáles son ejemplos de maderas duras?";"";"";"Castaño, nogal.";"Pino, abeto.";"Cedro, chopo.";"Madera de balsa.";"";"";"es-material-wood-2"
"¿Cuáles son ejemplos de maderas duras?";"";"";"Caoba, eucalipto.";"Pino, abeto.";"Cedro, chopo.";"Madera de balsa.";"";"";"es-material-wood-2"
"¿De qué tipo de árboles proceden principalmente las maderas blandas?";"";"";"Coníferas.";"Frutales.";"Caducifolios.";"Palmas.";"";"";"es-material-wood-2"
"¿Qué caracteriza a las maderas duras en comparación con las blandas?";"";"";"Mayor densidad y dureza.";"Mayor facilidad de trabajo.";"Menor resistencia.";"Proceden de árboles frutales.";"";"";"es-material-wood-2"
"¿Por qué las maderas duras son más difíciles de trabajar?";"";"";"Tienen mayor densidad y dureza.";"Proceden de coníferas.";"Son más livianas.";"Se obtienen de árboles frutales.";"";"";"es-material-wood-2"
"¿Cómo se obtienen las láminas de chapa de madera?";"";"";"Laminando la madera con una cuchilla.";"Pegando virutas de madera con cola.";"Prensando fibras de madera con resina.";"Cortando tableros de contrachapado.";"";"";"es-material-wood-2"
"¿Qué se logra al colocar las fibras de cada lámina en perpendicular en el contrachapado?";"";"";"Mejora la resistencia mecánica y evita que se combe con la humedad.";"Aumenta la densidad de la madera.";"Facilita el laminado de la madera.";"Da una apariencia uniforme a la superficie.";"";"";"es-material-wood-2"
"¿Cómo se forma el aglomerado?";"";"";"Pegando virutas de madera con cola.";"Laminando la madera con una cuchilla.";"Prensando fibras de madera con resina.";"Colocando láminas de madera en un sandwich.";"";"";"es-material-wood-2"
"¿Qué se suele utilizar para recubrir la superficie del aglomerado y dar una apariencia de madera natural?";"";"";"Láminas de madera natural o láminas de resina plástica.";"Fibras de madera prensadas con el nombre de DM o MDF.";"Virutas de madera y cola.";"Láminas traseras de armarios.";"";"";"es-material-wood-2"
"¿Cómo se forma el DM o MDF?";"";"";"Fibras de madera prensadas con pegamento de resina.";"Laminando la madera con una cuchilla.";"Pegando virutas de madera con cola.";"Colocando láminas de madera en un sandwich.";"";"";"es-material-wood-2"
"¿Para qué se utiliza la chapa de madera?";"";"";"Recubrir otros derivados de la madera, como el aglomerado.";"Formar tableros de contrachapado.";"Mejorar la resistencia mecánica del DM.";"Crear láminas traseras de armarios.";"";"";"es-material-wood-2"
"¿Qué característica distingue al contrachapado de otros derivados de la madera?";"";"";"Las fibras de cada lámina se colocan en perpendicular.";"Está formado por virutas de madera y cola.";"Se prensa con resina plástica de colores.";"Se forma con fibras muy finas prensadas con un pegamento de resina.";"";"";"es-material-wood-2"
"¿En qué parte de las casas se utilizan comúnmente láminas de DM o MDF?";"";"";"En las láminas traseras de los armarios.";"En la superficie del aglomerado.";"En el contrachapado.";"En la chapa de madera.";"";"";"es-material-wood-2"
"¿De dónde se obtiene el corcho?";"";"";"De la corteza de un árbol, el alcornoque.";"De las fibras finas de la madera prensadas.";"Del proceso de fabricación del papel.";"De láminas de cartón corrugado.";"";"";"es-material-wood-2"
