Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Qué densidad tiene la madera?";"";"";"Parecida a la densidad del agua";"Mucho mayor que la densidad del agua";"Mucho menor que la densidad del agua";"La madera no tiene densidad";"";"";"es-material-wood"
"¿La madera flota?";"";"";"Algunas maderas flotan y otras se hunden";"La madera siempre flota en el agua";"La madera siempre se hunde en el agua";"La madera no se debe mojar con agua";"";"";"es-material-wood"
"¿Qué conductividad tiene la madera?";"";"";"Es buen aislante eléctrico y térmico";"Conduce bien la electricidad pero mal el calor";"Conduce bien el calor pero mal la electricidad";"Conduce bien el calor y la electricidad";"";"";"es-material-wood"
"¿Por qué decimos que la madera es higroscópica?";"";"";"Porque absorbe bien la humedad y el agua";"Porque es muy flexible";"Porque es respetuosa con el medio ambiente";"Porque se puede pudrir con el agua";"";"";"es-material-wood"
"¿Es renovable la madera?";"";"";"Si, si se repueblan los bosques talados";"No es renovable";"Siempre es renovable";"Si porque se puede reciclar con facilidad";"";"";"es-material-wood"
"¿Es tenaz la madera?";"";"";"Si, porque soporta bien los golpes sin romperse";"Si, porque soporta bien que la intenten rayar";"Si, porque tiene buena resistencia mecánica";"No, es blanda";"";"";"es-material-wood"
"¿Qué es la albura de un tronco?";"";"";"Es la parte exterior del tronco, más joven y de color más claro";"Es la parte interior del tronco, más antigua y de color más oscuro";"Es la parte exterior del tronco o corteza";"Es todo el interior del tronco excepto la corteza";"";"";"es-material-wood"
"¿Qué es el duramen de un tronco?";"";"";"Es la parte interior del tronco, más antigua y de color más oscuro";"Es la parte exterior del tronco, más joven y de color más claro";"Es la parte exterior del tronco";"Es todo el interior del tronco excepto la corteza";"";"";"es-material-wood"
"¿Se puede aprovechar la parte exterior del tronco?";"";"";"La corteza del alcornoque es corcho, que tiene muchas aplicaciones";"No, la corteza siempre hay que desecharla";"La albura se puede aprovechar en ciertas maderas";"El duramen del tronco se aprovecha para hacer serrín";"";"";"es-material-wood"
"¿Cómo se denomina el proceso de cortar el tronco del árbol?";"";"";"Tala del árbol";"Corte de tablones";"Aserrado del tronco";"Ninguna es correcta";"";"";"es-material-wood"
"¿Cómo se llama el proceso de obtener vigas y tablones del tronco del árbol?";"";"";"Aserrado";"Tala";"Recortado";"Asierrado";"";"";"es-material-wood"
"¿Cómo se llama una tira fina de madera de sección rectangular o redonda?";"";"";"Listones";"Tabla";"Tablón";"Viga";"";"";"es-material-wood"
"¿Cómo se llama una madera de grandes dimensiones de forma rectangular?";"";"";"Viga";"Tabla";"Listones";"Tablero";"";"";"es-material-wood"
"¿Cómo se llama una madera plana de gran superficie y poco gruesa?";"";"";"Chapa o tablero";"Viga";"Tablón";"Moldura";"";"";"es-material-wood"
