Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Cómo se denomina la parte del calibre señalada con el punto (1)?";"../images/mecan-calibre-partes.png";"750";"Mordazas para medir exteriores.";"Mordazas para medir interiores.";"Sonda para medir profundidades.";"Nonio para leer fracciones de milímetros.";"";"";"es-mecan-calibre-partes"
"¿Cómo se denomina la parte del calibre señalada con el punto (2)?";"../images/mecan-calibre-partes.png";"750";"Mordazas para medir interiores.";"Mordazas para medir exteriores.";"Sonda para medir profundidades.";"Nonio para leer fracciones de milímetros.";"";"";"es-mecan-calibre-partes"
"¿Cómo se denomina la parte del calibre señalada con el punto (3)?";"../images/mecan-calibre-partes.png";"750";"Sonda para medir profundidades.";"Mordazas para medir exteriores.";"Mordazas para medir interiores.";"Nonio para leer fracciones de milímetros.";"";"";"es-mecan-calibre-partes"
"¿Cómo se denomina la parte del calibre señalada con el punto (4)?";"../images/mecan-calibre-partes.png";"750";"Escala principal milimetrada.";"Nonio para leer fracciones de milímetros.";"Corredera (parte móvil del calibre).";"Regla (parte fija del calibre).";"";"";"es-mecan-calibre-partes"
"¿Cómo se denomina la parte del calibre señalada con el punto (5)?";"../images/mecan-calibre-partes.png";"750";"Nonio para leer fracciones de milímetros.";"Escala principal milimetrada.";"Corredera (parte móvil del calibre).";"Regla (parte fija del calibre).";"";"";"es-mecan-calibre-partes"
"¿Cómo se denomina la parte del calibre señalada con el punto (6)?";"../images/mecan-calibre-partes.png";"750";"Botón de deslizamiento.";"Tornillo de freno.";"Corredera (parte móvil del calibre).";"Nonio para leer fracciones de milímetros.";"";"";"es-mecan-calibre-partes"
"¿Cómo se denomina la parte del calibre señalada con el punto (7)?";"../images/mecan-calibre-partes.png";"750";"Tornillo de freno.";"Botón de deslizamiento.";"Corredera (parte móvil del calibre).";"Nonio para leer fracciones de milímetros.";"";"";"es-mecan-calibre-partes"
"¿Cómo se denomina la parte del calibre señalada con el punto (8)?";"../images/mecan-calibre-partes.png";"750";"Corredera (parte móvil del calibre).";"Tornillo de freno.";"Botón de deslizamiento.";"Regla (parte fija del calibre).";"";"";"es-mecan-calibre-partes"
"¿Cómo se denomina la parte del calibre señalada con el punto (9)?";"../images/mecan-calibre-partes.png";"750";"Regla (parte fija del calibre).";"Corredera (parte móvil del calibre).";"Tornillo de freno.";"Botón de deslizamiento.";"";"";"es-mecan-calibre-partes"
"¿Con qué elemento del calibre se pueden medir diámetros exteriores?";"../images/mecan-calibre-partes.png";"750";"1";"2";"3";"5";"";"";"es-mecan-calibre-partes"
"¿Con qué elemento del calibre se pueden medir diámetros interiores?";"../images/mecan-calibre-partes.png";"750";"2";"1";"3";"5";"";"";"es-mecan-calibre-partes"
"¿Con qué elemento del calibre se pueden medir escalones?";"../images/mecan-calibre-partes.png";"750";"3";"1";"2";"5";"";"";"es-mecan-calibre-partes"
"¿Con qué elemento del calibre se pueden medir profundidades?";"../images/mecan-calibre-partes.png";"750";"3";"1";"2";"5";"";"";"es-mecan-calibre-partes"
"¿Qué elemento del calibre se denomina nonio o escala vernier?";"../images/mecan-calibre-partes.png";"750";"5";"8";"6";"4";"";"";"es-mecan-calibre-partes"
"¿Dónde hay que situar el dedo gordo para mover la corredera?";"../images/mecan-calibre-partes.png";"750";"6";"7";"5";"8";"";"";"es-mecan-calibre-partes"
"¿Cómo se denomina también al calibre?";"";"";"Pie de rey.";"Pie de príncipe.";"Escala vernier.";"Nonio.";"";"";"es-mecan-calibre-partes"
"¿Cómo se denomina también al nonio?";"";"";"Escala vernier.";"Pie de rey.";"Regla graduada.";"Corredera.";"";"";"es-mecan-calibre-partes"
"¿Qué precisión puede alcanzar un calibre?";"";"";"10 veces o más la precisión de una regla milimetrada.";"menor precisión que la precisión de una regla milimetrada.";"hasta 1 milímetro de precisión.";"hasta 0,5 milímetros de precisión.";"";"";"es-mecan-calibre-partes"
"¿Qué marca del nonio indica los milímetros de la medición?";"";"";"El 0 del nonio.";"El 10 del nonio.";"El nonio no puede medir milímetros.";"El nonio solo puede medir décimas de milímetro.";"";"";"es-mecan-calibre-partes"
"¿Qué marca del nonio indica las décimas de milímetro de la medición?";"";"";"La raya que coincide con la regla.";"El 0 del nonio.";"El 10 del nonio.";"El nonio no puede medir milímetros.";"";"";"es-mecan-calibre-partes"
