Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Qué son las licencias de software?";"";"";"Acuerdos legales que establecen cómo podemos usar, distribuir y modificar el software.";"Copias ilegales de programas y contenidos de software.";"Sanciones que se aplican a los usuarios que no respetan los derechos de autor.";"Licencias que permiten libremente el uso, la distribución y la modificación del software.";"";"";"es-software-licencias-2"
"¿Por qué es importante respetar las licencias de software y contenidos?";"";"";"Para evitar infringir la ley y para comportarnos de manera ética.";"Para tener acceso a programas y contenidos de software de forma gratuita.";"Para obtener más beneficios económicos.";"Para evitar que los autores ganen demasiado dinero por sus obras.";"";"";"es-software-licencias-2"
"¿Qué derechos controlan las licencias de software?";"";"";"Derechos de uso, de distribución, de transformación y comerciales.";"Derechos de uso, de distribución, de acceso y de reproducción.";"Derechos de acceso, de modificación, de copia y de reproducción.";"Derechos de distribución, de reproducción y de acceso.";"";"";"es-software-licencias-2"
"¿Qué es el derecho de uso de las licencias de software?";"";"";"El derecho a usar el programa como desees.";"El derecho a realizar cambios en la obra o en el programa.";"El derecho a explotar comercialmente un programa o una obra.";"El derecho a distribuir el programa a otras personas.";"";"";"es-software-licencias-2"
"¿Qué programas pueden ser instalados en varios dispositivos pero solo utilizados por una persona a la vez?";"";"";"Algunos programas privativos, que establecen limitaciones en el derecho de uso.";"Todos los programas privativos.";"Todos los programas libres.";"Algunos programas libres.";"";"";"es-software-licencias-2"
"¿Qué programas permiten distribuir copias entre tus familiares y amigos o a cualquier persona?";"";"";"Programas freeware y programas y obras libres.";"Programas privativos y obras con copyright.";"Todos los programas.";"Ninguna de las anteriores.";"";"";"es-software-licencias-2"
"¿Qué es el derecho de transformación de las licencias de software?";"";"";"La posibilidad de realizar cambios en la obra o en el programa y distribuir el resultado a otras personas.";"La posibilidad de realizar copias a otras personas o a poner la obra o el programa a disposición de cualquiera en internet.";"El derecho a explotar comercialmente un programa o una obra.";"El derecho a usar el programa como desees.";"";"";"es-software-licencias-2"
"¿Qué programas y contenidos permiten realizar modificaciones y distribuirlas?";"";"";"Programas y contenidos libres.";"Programas privativos y obras con copyright.";"Todos los programas y contenidos.";"Ningún programa permite realizar modificaciones y distribuirlas.";"";"";"es-software-licencias-2"
"¿Qué es el derecho de explotación comercial de las licencias de software?";"";"";"El derecho a explotar comercialmente un programa o una obra.";"El derecho a usar el programa como desees.";"El derecho a realizar cambios en la obra o en el programa y distribuir el resultado a otras personas.";"El derecho a distribuir el programa a otras personas o ponerlo a disposición de cualquiera en internet.";"";"";"es-software-licencias-2"
"¿Qué son los programas propietarios?";"";"";"Programas desarrollados por empresas con ánimo de lucro.";"Programas desarrollados por empresas sin ánimo de lucro.";"Programas desarrollados por la comunidad de usuarios.";"Programas que se distribuyen de forma gratuita.";"";"";"es-software-licencias-2"
"¿Cómo se venden los programas propietarios?";"";"";"Se venden al usuario con limitaciones.";"Se venden al usuario sin limitaciones.";"Se distribuyen siempre de forma gratuita.";"Se venden al usuario con actualizaciones ilimitadas.";"";"";"es-software-licencias-2"
"¿Qué ocurre con los programas propietarios con cuota mensual cuando el usuario deja de pagar?";"";"";"El usuario ya no puede seguir utilizando el programa.";"El usuario puede seguir utilizando el programa sin problemas.";"El programa se distribuye de forma gratuita.";"El usuario debe pagar una multa para seguir utilizando el programa.";"";"";"es-software-licencias-2"
"¿Qué es el freeware?";"";"";"Programas propietarios que se distribuyen de forma gratuita.";"Programas desarrollados por empresas sin ánimo de lucro.";"Programas desarrollados por la comunidad que se pueden descargar y ejecutar sin pagar.";"Programas que se pueden descargar y ejecutar solo después de pagar.";"";"";"es-software-licencias-2"
"¿Por qué el freeware no es considerado software libre?";"";"";"Porque su licencia es privativa de derechos como su estudio o modificación.";"Porque no se puede distribuir libremente.";"Porque solo se puede utilizar en determinadas condiciones.";"Porque solo obtienes la versión mejorada si pagas por ella.";"";"";"es-software-licencias-2"
"¿Qué son los programas adware?";"";"";"Programas que muestran publicidad durante su ejecución.";"Programas que se distribuyen de forma gratuita.";"Programas que pueden retirarse del mercado sin aviso.";"Programas desarrollados por empresas sin ánimo de lucro.";"";"";"es-software-licencias-2"
"¿Cómo obtienen dinero los desarrolladores de programas adware?";"";"";"A través de la publicidad que muestran al usuario.";"A través de la venta del programa.";"A través de las suscripciones de los usuarios.";"A través de la información de los usuarios.";"";"";"es-software-licencias-2"
"¿Por qué el adware no está bien visto?";"";"";"Porque está asociado al malware y a la grabación de actividad del usuario.";"Porque tiene limitaciones de uso.";"Porque no se puede distribuir libremente.";"Porque no es compatible con todos los sistemas operativos.";"";"";"es-software-licencias-2"
"¿Cuál de estos programas es un ejemplo de software propietario?";"";"";"Adobe Acrobat Reader.";"LibreOffice.";"Firefox.";"GNU/Linux.";"";"";"es-software-licencias-2"
"¿Qué caracteriza a los programas libres?";"";"";"Su código fuente es libre y se puede modificar sin restricciones.";"Son programas gratuitos pero su código fuente no es libre.";"Son programas que se ejecutan en la nube y pertenecen a una empresa.";"Son programas propietarios que se venden al usuario.";"";"";"es-software-licencias-2"
