Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Qué ha permitido la Tecnología en términos de vivienda?";"";"";"Tener un lugar de residencia fijo.";"Mantener un estilo de vida nómada.";"Desarrollar la supervivencia en entornos cambiantes.";"Facilitar la movilidad constante.";"";"";"es-technology-objects-1"
"¿Qué contribución han realizado los transportes y las comunicaciones al comercio?";"";"";"Han desarrollado el comercio.";"Han reducido el comercio.";"Han restringido el acceso a materiales y alimentos.";"Han aumentado la dependencia del comercio regional.";"";"";"es-technology-objects-1"
"¿Qué ha posibilitado la escritura, la imprenta e Internet?";"";"";"Adquirir mayor información y conocimiento.";"Limitar el acceso a información.";"Reducir la comunicación.";"Fomentar la independencia tecnológica.";"";"";"es-technology-objects-1"
"¿Por qué se hace cada vez más evidente la desigualdad global?";"";"";"Debido al diferente grado de desarrollo tecnológico.";"Por el igual desarrollo tecnológico en todo el mundo.";"Debido a la falta de Tecnología en todas partes.";"Por la falta de comunicación global.";"";"";"es-technology-objects-1"
"¿Qué provoca la integración entre el mundo postindustrial en el que viven unos y las condiciones neolíticas en las que viven otros?";"";"";"Una fuente de conflictos significativa.";"Desarrollo tecnológico uniforme.";"Mayor igualdad global.";"La independencia tecnológica.";"";"";"es-technology-objects-1"
"¿Qué nos ha permitido la Tecnología en relación con el medio natural?";"";"";"Seguir haciendo nuestra vida independientemente del medio natural.";"Depender completamente del medio natural.";"Adaptarnos a cualquier cambio en el medio natural.";"Evitar situaciones extremas.";"";"";"es-technology-objects-1"
"¿Cuál es uno de los beneficios de los transportes y las comunicaciones mencionados en el texto?";"";"";"Disfrutar de materiales y comida de otras regiones.";"Restringir el acceso a materiales y alimentos.";"Limitar el comercio internacional.";"Disminuir la velocidad de comunicación.";"";"";"es-technology-objects-1"
"¿Qué tecnologías han ampliado nuestra capacidad de adquirir conocimientos?";"";"";"Internet y la imprenta.";"Transportes y comunicaciones.";"Escritura y agricultura.";"Tecnologías paleolíticas.";"";"";"es-technology-objects-1"
"¿Qué ha hecho la Tecnología en cuanto a nuestra comprensión de las máquinas?";"";"";"Nos ha hecho dependientes de máquinas que cada vez comprendemos menos.";"Ha simplificado las máquinas para una mejor comprensión.";"Ha mejorado nuestra comprensión de las máquinas.";"Ha eliminado la necesidad de máquinas.";"";"";"es-technology-objects-1"
"¿Qué efectos imprevisibles menciona el texto en relación con la invención del automóvil?";"";"";"Atascos en las ciudades y calentamiento global.";"Mayor comodidad en la vida cotidiana.";"Desarrollo de la medicina.";"Uso de combustibles fósiles.";"";"";"es-technology-objects-1"
