Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"Cualquier objeto o avance tecnológico va a tener consecuencias positivas.";"";"";"Falso";"Verdadero";"";"";"";"";"es-technology-society-objects-3"
"La tecnología nos ha permitido tener un lugar de residencia fijo.";"";"";"Verdadero";"Falso";"";"";"";"";"es-technology-society-objects-3"
"Los transportes y las comunicaciones han desarrollado el comercio y nos han permitido disfrutar de materiales, comida, objetos, etc. que están disponibles ni son propios de la región donde habitamos.";"";"";"Falso";"Verdadero";"";"";"";"";"es-technology-society-objects-3"
"La escritura, la imprenta o Internet nos han posibilitado adquirir cada vez mayores conocimientos, mayor información acerca del mundo en el que vivimos.";"";"";"Verdadero";"Falso";"";"";"";"";"es-technology-society-objects-3"
"La tecnología nos ha hecho dependientes de los cambios en el medio natural.";"";"";"Falso";"Verdadero";"";"";"";"";"es-technology-society-objects-3"
"No hay forma de saber si los aparatos que empleamos actualmente resultarán beneficiosos o perjudiciales en el futuro.";"";"";"Verdadero";"Falso";"";"";"";"";"es-technology-society-objects-3"
"La tecnología ha disminuido espectacularmente la esperanza de vida.";"";"";"Falso";"Verdadero";"";"";"";"";"es-technology-society-objects-3"
"El desarrollo tecnológico Explota recursos naturales y riquezas de la Tierra que no son renovables (carbón, petróleo, bosques).";"";"";"Verdadero";"Falso";"";"";"";"";"es-technology-society-objects-3"
"Talar árboles asegurando la repoblación es una actividad sostenible.";"";"";"Verdadero";"Falso";"";"";"";"";"es-technology-society-objects-3"
"La evolución tecnológica sólo consiste en la invención de nuevos objetos.";"";"";"Falso";"Verdadero";"";"";"";"";"es-technology-society-objects-3"
"Una forma de lograr que los aparatos sean más baratos, eficaces, cómodos y seguros es la normalización.";"";"";"Verdadero";"Falso";"";"";"";"";"es-technology-society-objects-3"
"La normalización repercute de forma negativa en muchos aspectos.";"";"";"Falso";"Verdadero";"";"";"";"";"es-technology-society-objects-3"
"Realizar muchos productos iguales o semejantes baja los costes de producción.";"";"";"Verdadero";"Falso";"";"";"";"";"es-technology-society-objects-3"
"En España existen las normas DIN, en Alemania las UNE, en Europa las normas EN y en el mundo las normas ISO.";"";"";"Falso";"Verdadero";"";"";"";"";"es-technology-society-objects-3"
"Los transportes y las comunicaciones han permitido ...";"";"";"El comercio";"La vivienda";"";"";"";"";"es-technology-society-objects-3"
"La escritura, la imprenta o internet nos han permitido ...";"";"";"Mayores conocimientos";"Materiales, comida y objetos de otras regiones";"";"";"";"";"es-technology-society-objects-3"
"Los diferente grados de desarrollo tecnológico en distintos puntos del planeta ...";"";"";"Demuestran una integración en el que unos viven en un mundo postindustrial y otros a un mundo próximo al paleolítico o neolítico.";"Demuestran una interacción de vida jerarquizada en el que las diferencias en desarrollo tecnológico no muestran una diferencia monetaria entre las diferentes comunidades de un país.";"";"";"";"";"es-technology-society-objects-3"
"Según las repercusiones medioambientales a causa de la invención del automóvil, la principal razón del efecto invernadero es ...";"";"";"Los combustibles fósiles (petróleo y carbón).";"Atascos y accidentes de tráfico.";"";"";"";"";"es-technology-society-objects-3"
"¿Hay forma de saber si los aparatos que empleamos actualmente resultarán beneficiosos o perjudiciales en el futuro?";"";"";"No se sabe.";"Se tiene un estudio detallado.";"";"";"";"";"es-technology-society-objects-3"
"La tecnología ha aumentado espectacularmente la esperanza de vida gracias a ...";"";"";"Desarrollo de la medicina.";"Desarrollo automotriz.";"";"";"";"";"es-technology-society-objects-3"
"¿Que recursos naturales explotan las cuales no son renovables?";"";"";"Petroleo, carbón, plásticos.";"Solar, eólica, hidráulica.";"";"";"";"";"es-technology-society-objects-3"
