Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"La actividad tecnológica no tiene consecuencias sobre las personas.";"";"";"Falso";"Verdadero";"";"";"";"";"es-technology-society-objects"
"La tecnología no modifica la vida del ser humano.";"";"";"Falso";"Verdadero";"";"";"";"";"es-technology-society-objects"
"El desarrollo tecnológico tiene consecuencias en nuestro entorno.";"";"";"Verdadero";"Falso";"";"";"";"";"es-technology-society-objects"
"En un mundo globalizado, el desarrollo sostenible es cosa de todos.";"";"";"Verdadero";"Falso";"";"";"";"";"es-technology-society-objects"
"El desarrollo sostenible aúna la tecnología y el medio ambiente.";"";"";"Verdadero";"Falso";"";"";"";"";"es-technology-society-objects"
"La explotación de los recursos naturales no altera los ecosistemas.";"";"";"Falso";"Verdadero";"";"";"";"";"es-technology-society-objects"
"El diferente grado de desarrollo tecnológico produce desigualdades.";"";"";"Verdadero";"Falso";"";"";"";"";"es-technology-society-objects"
"Los objetos técnicos actuales son sencillos y fáciles de usar.";"";"";"Falso";"Verdadero";"";"";"";"";"es-technology-society-objects"
"En los países ricos es más fácil acceder a la tecnología.";"";"";"Verdadero";"Falso";"";"";"";"";"es-technology-society-objects"
"El progreso de la tecnología tiene un carácter acumulativo.";"";"";"Verdadero";"Falso";"";"";"";"";"es-technology-society-objects"
"La evolución de los objetos busca aumentar costes.";"";"";"Falso";"Verdadero";"";"";"";"";"es-technology-society-objects"
"La evolución de los objetos busca mejorar su eficacia.";"";"";"Verdadero";"Falso";"";"";"";"";"es-technology-society-objects"
"La evolución de los objetos hace que estos sean más complejos y complicados de usar.";"";"";"Verdadero";"Falso";"";"";"";"";"es-technology-society-objects"
"Los objetos evolucionan empleando nuevas fuentes de energía.";"";"";"Verdadero";"Falso";"";"";"";"";"es-technology-society-objects"
"La evolución de los objetos no busca conservar el medio ambiente.";"";"";"Falso";"Verdadero";"";"";"";"";"es-technology-society-objects"
"La evolución de los objetos hace que los diseños sean más ergonómicos.";"";"";"Verdadero";"Falso";"";"";"";"";"es-technology-society-objects"
"La evolución de los objetos hace que estos incorporen nuevos materiales más resistentes y duraderos.";"";"";"Verdadero";"Falso";"";"";"";"";"es-technology-society-objects"
"La evolución de los objetos incorpora nuevos elementos que los hacen ser más funcionales.";"";"";"Verdadero";"Falso";"";"";"";"";"es-technology-society-objects"
"La evolución de los objetos responde a un menor coste y a mayor comodidad en el uso.";"";"";"Verdadero";"Falso";"";"";"";"";"es-technology-society-objects"
"La evolución de los objetos hace que estos sean más contaminantes y peligrosos.";"";"";"Falso";"Verdadero";"";"";"";"";"es-technology-society-objects"
"Una ventaja de la normalización para el cliente es:";"";"";"Ajustarse a la norma prueba que un producto es eficaz y seguro";"Realizar muchos productos iguales baja los costes de producción";"";"";"";"";"es-technology-society-objects"
"Una ventaja de la normalización para el fabricante es:";"";"";"Realizar muchos productos iguales baja los costes de producción";"Ajustarse a la norma prueba que un producto es eficaz y seguro";"";"";"";"";"es-technology-society-objects"
"Los productos normalizados no son más baratos ni más eficaces.";"";"";"Falso";"Verdadero";"";"";"";"";"es-technology-society-objects"
"Un producto tiene SIEMPRE todos sus componentes normalizados.";"";"";"Falso";"Verdadero";"";"";"";"";"es-technology-society-objects"
"La normalización crea estándares.";"";"";"Verdadero";"Falso";"";"";"";"";"es-technology-society-objects"
"La normalización influye positivamente en el cliente y en el fabricante.";"";"";"Verdadero";"Falso";"";"";"";"";"es-technology-society-objects"
"Las normas son exclusivamente internacionales.";"";"";"Falso";"Verdadero";"";"";"";"";"es-technology-society-objects"
"Las normas son aprobadas por instituciones poco reconocidas.";"";"";"Falso";"Verdadero";"";"";"";"";"es-technology-society-objects"
"La norma debe ser clara y estar bien definida.";"";"";"Verdadero";"Falso";"";"";"";"";"es-technology-society-objects"
"La CERTIFICACIÓN comprueba si un producto cumple todos los requisitos.";"";"";"Verdadero";"Falso";"";"";"";"";"es-technology-society-objects"
"La norma reduce las incidencias de producción o prestación de servicio.";"";"";"Verdadero";"Falso";"";"";"";"";"es-technology-society-objects"
"Las normas son para siempre.";"";"";"Falso";"Verdadero";"";"";"";"";"es-technology-society-objects"
"Las normas UNE son normas nacionales de ámbito español";"";"";"Verdadero";"Falso";"";"";"";"";"es-technology-society-objects"
"Las normas DIN son normas nacionales de ámbito alemán, aunque también se utiliza en otros países.";"";"";"Verdadero";"Falso";"";"";"";"";"es-technology-society-objects"
"Las normas EN son normas de ámbito mundial";"";"";"Falso";"Verdadero";"";"";"";"";"es-technology-society-objects"
"Las normas ISO son normas de ámbito europeo";"";"";"Falso";"Verdadero";"";"";"";"";"es-technology-society-objects"
"En España las normas UNE son elaboradas por";"";"";"AENOR";"EANOR";"";"";"";"";"es-technology-society-objects"
"De los riesgos que amenazan a España, ¿son los riesgos medioambientales superiores a los riesgos químicos o industriales?";"";"";"Verdadero";"Falso";"";"";"";"";"es-technology-society-objects"
"De los siguientes riesgos, ¿cuáles son industriales?";"";"";"Vertidos tóxicos y emisión de humos";"Deforestación e inundaciones";"";"";"";"";"es-technology-society-objects"
"Según los responsables de las organizaciones ecologistas, las principales amenazas ambientales derivan:";"";"";"De el cambio climático";"De los fenómenos geológicos";"";"";"";"";"es-technology-society-objects"
"En España se incrementarán algunos fenómenos ‘extremos’ como las:";"";"";"Sequías, olas de calor o precipitaciones tormentosas";"Bajas temperaturas, nevadas y hielo";"";"";"";"";"es-technology-society-objects"
"Toda la actividad tecnológica en su conjunto tiene unas consecuencias, por lo tanto a la hora de fabricar un nuevo objeto técnico, o de modificar un objeto ya existente, es importante plantearse su contribución a la sociedad.";"";"";"Verdadero";"Falso";"";"";"";"";"es-technology-society-objects"
"Algunos gases como el CO2 no son tóxicos, pero sí dañinos al impedir que el calor que entra en la Tierra pueda salir, elevando así la temperatura del planeta.";"";"";"Verdadero";"Falso";"";"";"";"";"es-technology-society-objects"
"Para algunos el deterioro del medio ambiente ha ido ya demasiado lejos y el planeta sólo conseguirá sobrevivir frenando o yendo hacia atrás en el desarrollo tecnológico e industrial, rebajando nuestra calidad de vida.";"";"";"Verdadero";"Falso";"";"";"";"";"es-technology-society-objects"
"La evolución tecnológica no sólo consiste en la invención de nuevos objetos, sino que también en la evolución de los objetos ya inventados.";"";"";"Verdadero";"Falso";"";"";"";"";"es-technology-society-objects"
"La normalización asegura que los aparatos sean más baratos, eficaces, cómodos y seguros.";"";"";"Verdadero";"Falso";"";"";"";"";"es-technology-society-objects"
"Las normas son especificaciones técnicas aprobadas por una institución cuya autoridad es ampliamente reconocida y que establecen que los objetos tengan unas determinadas dimensiones o características.";"";"";"Verdadero";"Falso";"";"";"";"";"es-technology-society-objects"
"Existen diferentes niveles de normalización y un mismo producto puede tener algunos componentes normalizados y otros no normalizados.";"";"";"Verdadero";"Falso";"";"";"";"";"es-technology-society-objects"
"La Administración y los poderes públicos son los responsables de decidir qué normas son de obligado cumplimiento y cuales se quedan en la categoría de recomendaciones técnicas.";"";"";"Verdadero";"Falso";"";"";"";"";"es-technology-society-objects"
"Una norma tiene éxito y se cumple, no sólo porque un comité o una autoridad administrativa obligue a ello, también porque supone una ventaja para fabricantes y compradores.";"";"";"Verdadero";"Falso";"";"";"";"";"es-technology-society-objects"
